taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F658196	Glomus cerebriforme	ingroup	3.44	failed	0.00
F588596	Rhizophagus irregularis	ingroup	12.05	failed	0.00
F144538	Paraglomus brasilianum	ingroup	6.13	failed	0.00
F144539	Paraglomus occultum	ingroup	18.00	failed	0.00
F215637	Dimargaris cristalligena	ingroup	8.99	failed	0.00
F1520584	Dispira parvispora	ingroup	31.17	failed	0.00
F78921	Tieghemiomyces parasiticus	ingroup	88.55	failed	0.01
F61424	Furculomyces boomerangus	ingroup	26.21	failed	0.00
F133377	Smittium angustum	ingroup	33.14	failed	0.00
F133385	Smittium simulii	ingroup	26.79	failed	0.00
F1213189	Zancudomyces culisetae	ingroup	64.70	failed	0.00
F2650707	Coemansia brasiliensis	ingroup	31.52	failed	0.00
F4866	Dipsacomyces acuminosporus	ingroup	24.30	failed	0.01
F61397	Kickxella alabastrina	ingroup	18.24	failed	0.00
F61395	Linderina pennispora	ingroup	11.31	failed	0.00
F304332	Ramicandelaber brevisporus	ingroup	14.87	failed	0.00
F164912	Astathelohania contejeani	ingroup	56.67	failed	0.00
F70536	Edhazardia aedis	ingroup	71.79	failed	0.00
F6035	Encephalitozoon cuniculi	ingroup	57.95	failed	0.00
F174680	Glugoides intestinalis	ingroup	67.54	failed	0.00
F174688	Gurleya vavrai	ingroup	73.32	failed	0.00
F1176355	Hamiltosporidium tvaerminnensis	ingroup	71.18	failed	0.00
F1081669	Hepatospora eriocheir	ingroup	77.97	failed	0.00
F1300064	Nucleospora cyclopteri	ingroup	67.65	failed	0.00
F3039483	Ordospora pajunii	ingroup	59.18	failed	0.00
F291195	Tubulinosema ratisbonensis	ingroup	69.26	failed	0.00
F6039	Vairimorpha necatrix	ingroup	59.34	failed	0.00
F103449	Vavraia culicis	ingroup	69.78	failed	0.00
F82268	Hyaloraphidium curvatum	ingroup	3.16	failed	0.00
F1123529	Gonapodya prolifera	ingroup	6.33	failed	0.00
F2725673	Gonapodya sp. JEL0774	ingroup	26.51	failed	0.00
F1343610	Actinomortierella ambigua	ingroup	1.75	failed	0.00
F979620	Dissophora ornata	ingroup	6.67	failed	0.00
F101097	Entomortierella chlamydospora	ingroup	5.31	failed	0.00
F101098	Gamsiella multidivaricata	ingroup	5.14	failed	0.00
F979690	Gryganskiella cystojenkinii	ingroup	4.81	failed	0.00
F1897645	Haplosporangium bisporale	ingroup	21.68	failed	0.00
F604196	Linnemannia exigua	ingroup	11.65	failed	0.00
F64571	Lobosporangium transversale	ingroup	2.99	failed	0.00
F979761	Lunasporangiospora selenospora	ingroup	10.82	failed	0.00
F1440133	Modicella reniformis	ingroup	22.83	failed	0.00
F1343614	Mortierella claussenii	ingroup	3.02	failed	0.00
F64525	Podila minutissima	ingroup	7.12	failed	0.00
F1938954	Bifiguratus adelaidae	ingroup	23.67	failed	0.00
F2340872	Endogone sp. FLAS-F59071	ingroup	30.71	failed	0.01
F994334	Jimgerdemannia flammicorona	ingroup	36.65	failed	0.00
F708070	Mucor velutinosus	ingroup	3.15	failed	0.00
F64632	Mycotypha africana	ingroup	3.90	failed	0.00
F4837	Phycomyces blakesleeanus	ingroup	15.88	failed	0.00
F4840	Rhizomucor pusillus	ingroup	0.78	failed	0.00
F58291	Rhizopus microsporus	ingroup	3.17	failed	0.00
F91625	Umbelopsis isabellina	ingroup	3.03	failed	0.00
F64526	Umbelopsis nana	ingroup	4.17	failed	0.00
F41833	Umbelopsis ramanniana	ingroup	3.97	failed	0.00
F44442	Umbelopsis vinacea	ingroup	5.67	failed	0.00
F1754192	Anaeromyces robustus	ingroup	10.82	failed	0.00
F1754190	Neocallimastix californiae	ingroup	48.72	failed	0.00
F2767002	Neocallimastix lanati (nom. inval.)	ingroup	49.57	failed	0.00
F3108450	Neocallimastix sp. 'constans'	ingroup	45.84	failed	0.00
F1754191	Piromyces finnis	ingroup	5.06	failed	0.00
F73868	Piromyces sp. E2	ingroup	44.38	failed	0.00
F278681	Olpidium bornovanus	ingroup	78.32	failed	0.00
F1246581	Paramicrosporidium saccamoebae	ingroup	22.43	failed	0.00
F281847	Rozella allomycis	ingroup	8.83	failed	0.00
F1907219	Piptocephalis cylindrospora	ingroup	54.68	failed	0.00
F1286916	Piptocephalis tieghemiana	ingroup	11.99	failed	0.00
F1851187	Syncephalis fuscata	ingroup	4.23	failed	0.00
F1851185	Syncephalis plumigaleata	ingroup	8.78	failed	0.00
F1712513	Syncephalis pseudoplumigaleata	ingroup	44.68	failed	0.00
F78915	Thamnocephalis sphaerospora	ingroup	28.66	failed	0.00
F2109901	Amoeboradix gromovi	ingroup	27.73	failed	0.00
F2020955	Sanchytrium tribonematis	ingroup	36.82	failed	0.00
O691883	Fonticula alba	outgroup	19.36	failed	0.00
O81824	Monosiga brevicollis	outgroup	14.66	failed	0.00
O946362	Salpingoeca rosetta	outgroup	7.94	failed	0.00
O192875	Capsaspora owczarzaki	outgroup	10.13	failed	0.00
O72019	Sphaeroforma arctica	outgroup	38.61	failed	0.00
O529818	Thecamonas trahens	outgroup	11.61	failed	0.00
O5755	Acanthamoeba castellanii	outgroup	20.84	failed	0.00
O44689	Dictyostelium discoideum	outgroup	4.28	failed	0.00
O5786	Dictyostelium purpureum	outgroup	6.66	failed	0.00
O133409	Polysphondylium violaceum	outgroup	3.35	failed	0.00
O1890364	Planoprotostelium fungivorum	outgroup	10.98	failed	0.00
O400682	Amphimedon queenslandica	outgroup	12.33	failed	0.00
O45351	Nematostella vectensis	outgroup	26.07	failed	0.00
O10228	Trichoplax adhaerens	outgroup	6.42	failed	0.00
O27923	Mnemiopsis leidyi	outgroup	19.94	failed	0.00
O7227	Drosophila melanogaster	outgroup	38.21	failed	0.00
O6239	Caenorhabditis elegans	outgroup	9.64	failed	0.00
O283909	Capitella teleta	outgroup	9.62	failed	0.00
O225164	Lottia gigantea	outgroup	5.18	failed	0.00
O2700040	Branchiostoma floridae	outgroup	20.53	failed	0.00
OFS5426470	Corallochytrium limacisporum	outgroup	3.70	failed	0.00
OFS5426494	Chromosphaera perkinsii	outgroup	3.78	failed	0.00
OFS5426506	Pirum gemmata	outgroup	97.50	failed	0.00
OFS5426458	Abeoforma whisleri	outgroup	96.32	failed	0.00
OFS1403592	Creolimax fragrantissima	outgroup	3.31	failed	0.00
