source	policy	role	lineage_group	retained_panel_taxa	taxa_with_usable_marker	usable_taxon_marker_cells
AlphaFold	exclude_hybrids_and_uncertain_labels	outgroup	Ichthyosporea	5	1	6
AlphaFold	exclude_hybrids_and_uncertain_labels	outgroup	Metazoa	9	7	41
AlphaFold	exclude_hybrids_and_uncertain_labels	outgroup	Nucleariida	1	1	5
ESMFold	full_frozen_panel	ingroup	Aphelidiomycota	2	1	26
ESMFold	full_frozen_panel	ingroup	Ascomycota	234	121	2821
ESMFold	full_frozen_panel	ingroup	Basidiobolomycota	2	1	25
ESMFold	full_frozen_panel	ingroup	Basidiomycota	157	76	1797
ESMFold	full_frozen_panel	ingroup	Blastocladiomycota	9	0	0
ESMFold	full_frozen_panel	ingroup	Calcarisporiellomycota	1	0	0
ESMFold	full_frozen_panel	ingroup	Chytridiomycota	12	0	0
ESMFold	full_frozen_panel	ingroup	Entomophthoromycota	4	0	0
ESMFold	full_frozen_panel	ingroup	Glomeromycota	12	0	0
ESMFold	full_frozen_panel	ingroup	Kickxellomycota	12	0	0
ESMFold	full_frozen_panel	ingroup	Microsporidia	12	0	0
ESMFold	full_frozen_panel	ingroup	Monoblepharomycota	3	0	0
ESMFold	full_frozen_panel	ingroup	Mortierellomycota	12	0	0
ESMFold	full_frozen_panel	ingroup	Mucoromycota	12	0	0
ESMFold	full_frozen_panel	ingroup	Neocallimastigomycota	6	0	0
ESMFold	full_frozen_panel	ingroup	Olpidiomycota	1	0	0
ESMFold	full_frozen_panel	ingroup	Rozellomycota	2	0	0
ESMFold	full_frozen_panel	ingroup	Sanchytriomycota	2	0	0
ESMFold	full_frozen_panel	ingroup	Zoopagomycota	6	0	0
ESMFold	full_frozen_panel	outgroup	Amoebozoa	5	0	0
ESMFold	full_frozen_panel	outgroup	Apusomonadida	1	0	0
ESMFold	full_frozen_panel	outgroup	Choanoflagellatea	2	0	0
ESMFold	full_frozen_panel	outgroup	Corallochytrea	1	0	0
ESMFold	full_frozen_panel	outgroup	Filasterea	1	0	0
ESMFold	full_frozen_panel	outgroup	Ichthyosporea	5	0	0
ESMFold	full_frozen_panel	outgroup	Metazoa	9	0	0
ESMFold	full_frozen_panel	outgroup	Nucleariida	1	0	0
ESMFold	exclude_curated_hybrids	ingroup	Aphelidiomycota	2	1	26
ESMFold	exclude_curated_hybrids	ingroup	Ascomycota	232	121	2821
ESMFold	exclude_curated_hybrids	ingroup	Basidiobolomycota	2	1	25
ESMFold	exclude_curated_hybrids	ingroup	Basidiomycota	157	76	1797
ESMFold	exclude_curated_hybrids	ingroup	Blastocladiomycota	9	0	0
ESMFold	exclude_curated_hybrids	ingroup	Calcarisporiellomycota	1	0	0
ESMFold	exclude_curated_hybrids	ingroup	Chytridiomycota	12	0	0
ESMFold	exclude_curated_hybrids	ingroup	Entomophthoromycota	4	0	0
ESMFold	exclude_curated_hybrids	ingroup	Glomeromycota	12	0	0
ESMFold	exclude_curated_hybrids	ingroup	Kickxellomycota	12	0	0
ESMFold	exclude_curated_hybrids	ingroup	Microsporidia	12	0	0
ESMFold	exclude_curated_hybrids	ingroup	Monoblepharomycota	3	0	0
ESMFold	exclude_curated_hybrids	ingroup	Mortierellomycota	12	0	0
ESMFold	exclude_curated_hybrids	ingroup	Mucoromycota	12	0	0
ESMFold	exclude_curated_hybrids	ingroup	Neocallimastigomycota	6	0	0
ESMFold	exclude_curated_hybrids	ingroup	Olpidiomycota	1	0	0
ESMFold	exclude_curated_hybrids	ingroup	Rozellomycota	2	0	0
ESMFold	exclude_curated_hybrids	ingroup	Sanchytriomycota	2	0	0
ESMFold	exclude_curated_hybrids	ingroup	Zoopagomycota	6	0	0
ESMFold	exclude_curated_hybrids	outgroup	Amoebozoa	5	0	0
ESMFold	exclude_curated_hybrids	outgroup	Apusomonadida	1	0	0
ESMFold	exclude_curated_hybrids	outgroup	Choanoflagellatea	2	0	0
ESMFold	exclude_curated_hybrids	outgroup	Corallochytrea	1	0	0
ESMFold	exclude_curated_hybrids	outgroup	Filasterea	1	0	0
ESMFold	exclude_curated_hybrids	outgroup	Ichthyosporea	5	0	0
ESMFold	exclude_curated_hybrids	outgroup	Metazoa	9	0	0
ESMFold	exclude_curated_hybrids	outgroup	Nucleariida	1	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Aphelidiomycota	2	1	26
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Ascomycota	225	114	2643
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Basidiobolomycota	2	1	25
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Basidiomycota	148	68	1592
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Blastocladiomycota	9	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Calcarisporiellomycota	1	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Chytridiomycota	12	0	0
ESMFold	exclude_hybrids_and_uncertain_labels	ingroup	Entomophthoromycota	4	0	0
