tree_type	tree_id	fungal_entries	outgroup_entries	status	separating_edge_length	marker_sh_alrt_percent	outgroup_taxa_json	fungal_taxa_sha256	tree_sha256
marker	319730at2759	471	20	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	fc86d5396ad1bdbdf7de245ab397c948e6af2afc92cbee7a0a3d4269268bdaaa	eb5d4676c22e43584920c7d32447a91332bfca67d13fdb0e15c8a500e81a11d0
marker	340246at2759	450	18	exact_fungal_outgroup_split	0.1369755588	98.8	"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O72019"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	d842ea98071178ef800db14eb87689bd018ecf18f79f8bf09fc896aa8674a33c	a9e7512f470520b2882f791959d6c19a553dc5ac1cce28c962311b796d713e4b
marker	345792at2759	459	23	exact_fungal_outgroup_split	0.1287088443	99.3	"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426458"", ""OFS5426470"", ""OFS5426494""]"	41d2fa76b0ddbbe4f4b0ee5b8aed74212bbd9078bcbbd5338d464515aa27400d	699128a1af3bec653608ade22e2ef195afca9043270d978c3be886925bbc1c16
marker	352891at2759	450	22	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	6d72b6cd218d3c33b2c7a8e5f1fc616ee65b736e27cba0ad14b60dec57d6e5cb	55fee9d6e14f52497ac253e92c34f5b443f0aa41e2d86b47bc3e65ba64e14cd6
marker	3643464at2759	443	19	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O7227"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	4a408beb9b61b3f49aeb93dae084eb9390eb1c62157a91da2e2da37646d08f26	a8a02a853b44d85c44cb3e6ae4d4f6475233de142b93f979a9586630d6e1e377
marker	4613677at2759	449	20	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O72019"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	5a5f9a8d37dfc4182f12deb823b41ce2392dedf36a0cac304e33ea024b18dec8	4db6827a0793ca9cf94c309333b39a824b7a87c1c06002d51241b0b5d081b808
marker	4695236at2759	456	17	exact_fungal_outgroup_split	0.0388976941	32.1	"[""O10228"", ""O133409"", ""O1890364"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O529818"", ""O5786"", ""O6239"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	138363451835c967d65a5a641ded185d70e1a09fffe1a65828bf8758910ea644	01a258f8c71bfefc7f38d1d559c3b83673a1e305ba68d7b940d2299879551e32
marker	4747214at2759	462	18	fungal_outgroup_split_absent			"[""O10228"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O283909"", ""O44689"", ""O45351"", ""O5755"", ""O5786"", ""O6239"", ""O691883"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	62318d64df2761b1bdc9f6d7a4766a0a66c7e61554b85100ee6c2dad10527a0f	ff05b79856d75af12abf5d67257a364b96c42190499206b26956a072d1a68da2
marker	4764044at2759	454	21	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O72019"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470"", ""OFS5426494""]"	c23af241c459d604834db96ae8f0035c83f48f9988b639b902b7df13455c4b4f	15a2f3c6382a49a2734540467068af25a7ff025bf5edbb0604416fa934d4dc4c
marker	4803900at2759	398	20	fungal_outgroup_split_absent			"[""O10228"", ""O133409"", ""O1890364"", ""O192875"", ""O225164"", ""O2700040"", ""O27923"", ""O283909"", ""O400682"", ""O44689"", ""O45351"", ""O529818"", ""O5755"", ""O5786"", ""O6239"", ""O7227"", ""O81824"", ""O946362"", ""OFS1403592"", ""OFS5426470""]"	7b885bfd55b3029cfc830f5d3863a003ed3e34419320e23a51dcb51297af861b	5c9a16627de924c86d7477a1f6edad573a61fca96f4ddffc605174c12e8f954d
