model_id	alphabet_model	rate_model	rsa_scale	controls	term	coefficient	marker_cluster_standard_error	t_statistic	p_value_conditional_cluster_t	ci95_lower	ci95_upper	bh_q_across_all_72_focal_tests
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_centered	-0.17203354860902215	0.034076033561146975	-5.048520342026322	2.3820956190590724e-06	-0.2397525047387363	-0.104314592479308	4.9003109877786635e-06
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.017922021234144797	0.04943310636466972	-0.36255098156149507	0.7178096196185353	-0.11615993249977409	0.0803158900314845	0.8910740105609404
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.09529350764410725	0.020988146535230644	4.540348881410173	1.7734471634263192e-05	0.05358397675305198	0.13700303853516252	3.451032318018784e-05
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_centered	-0.21648982492381358	0.03544459613096913	-6.107837260266006	2.675190457035766e-08	-0.2869285115779226	-0.14605113826970456	6.879061175234827e-08
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_by_rsa	-0.002319991313027678	0.049115471491568585	-0.047235448272667804	0.9624326094330788	-0.09992667001462614	0.09528668738857078	0.9759879982983334
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.19356528223040942	0.013237941457870927	14.622007722758184	2.82325190454913e-25	0.16725765533995418	0.21987290912086466	2.903916244679105e-24
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_centered	-0.1466506093218184	0.029209292875385828	-5.020683312926016	2.666370198277497e-06	-0.20469794101195793	-0.08860327763167886	5.332740396554994e-06
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.008271234457733229	0.04169669925601937	-0.19836664784777147	0.8432157610443476	-0.09113466228613387	0.07459219337066741	0.9376194888320681
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.09462351181773693	0.02149228188556932	4.402674053948199	2.995669298001073e-05	0.05191211785445049	0.13733490578102336	5.676004985686243e-05
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	rsa_centered	-0.18932049639402465	0.03021262964826264	-6.266270053222971	1.3287964493589625e-08	-0.24936174908391467	-0.12927924370413463	3.826933774153812e-08
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_by_rsa	0.004150584216738537	0.04130118915081476	0.1004955136178363	0.9201795489585003	-0.07792685038815066	0.08622801882162774	0.974307757720765
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_log1p_rate	0.20913615042106387	0.013887066510247053	15.059778842907212	4.382319996773825e-26	0.18153852389301356	0.23673377694911418	8.34244224545688e-25
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	rsa_centered	-0.2169436887993025	0.03716646315300302	-5.83708188498355	8.711440366272623e-08	-0.2908042243348865	-0.1430831532637185	2.16284036679872e-07
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_by_rsa	0.009896808197255559	0.05199424730620474	0.19034429210930268	0.8494777618712952	-0.09343083250389045	0.11322444889840155	0.9376194888320681
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.09780208655245787	0.023630720222984077	4.138768756499097	7.976290786438542e-05	0.05084099575466067	0.14476317735025507	0.00013673641348180358
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	rsa_centered	-0.26735947624792566	0.03886898252491612	-6.878478902207966	8.439423418579358e-10	-0.3446034112759913	-0.19011554121986002	2.8935166006557796e-09
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_by_rsa	0.022824713896484328	0.05132976363874561	0.44466820570464083	0.6576512912967983	-0.07918240514697429	0.12483183293994295	0.8768683883957311
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.20707566170983127	0.014690410933726701	14.09597475822957	2.73288279478997e-24	0.1778815569510312	0.23626976646863135	1.9402525923269217e-23
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	rsa_centered	-0.18421386054138536	0.031804893881423976	-5.7919973331204115	1.0582780929451924e-07	-0.2474194038039701	-0.12100831727880064	2.457936215872705e-07
3di_af_empirical__freerate__miller1987__coverage_confidence	3di_af_empirical	freerate	miller1987	coverage_confidence	aa_by_rsa	0.016467352550742134	0.04373228261613021	0.37654912036693733	0.7074150963686292	-0.07044136945822574	0.10337607455971001	0.8910740105609404
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.09616114276359425	0.024193028011503564	3.9747460598098967	0.00014400647498007832	0.04808258339675665	0.14423970213043186	0.00023564695905830995
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	rsa_centered	-0.2328721080774002	0.032997225221061244	-7.057323957311543	3.7219593337105023e-10	-0.29844715932676663	-0.16729705682803375	1.4104266948797692e-09
3di_af_empirical__freerate__miller1987__composition_adjusted	3di_af_empirical	freerate	miller1987	composition_adjusted	aa_by_rsa	0.026626232376488413	0.04303683980496355	0.6186846547551929	0.5377223316640674	-0.05890044318227827	0.11215290793525509	0.759137409408095
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.19595361895192004	0.013197391496981096	14.84790528467269	1.0763748818113904e-25	0.16972657658776047	0.2221806613160796	1.2916498581736685e-24
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	rsa_centered	-0.19004876391558992	0.03518367263734905	-5.401618127660858	5.558245623680246e-07	-0.2599689199553314	-0.12012860787584843	1.2127081360756901e-06
3di_llm__gamma__tien2013__coverage_confidence	3di_llm	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.012048639055666024	0.05000387728173984	-0.24095409617497568	0.810151201873484	-0.11142083757992916	0.0873235594685971	0.9376194888320681
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.08071446190365236	0.021641577074010925	3.729601665702139	0.00033893325748072606	0.03770637512550787	0.12372254868179686	0.000530504229100267
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	rsa_centered	-0.24362062375151333	0.03582624199126368	-6.800060799313555	1.206304581775526e-09	-0.31481775135574047	-0.1724234961472862	3.94790590399263e-09
3di_llm__gamma__tien2013__composition_adjusted	3di_llm	gamma	tien2013	composition_adjusted	aa_by_rsa	0.011243741524938537	0.049868982299681175	0.22546563026633934	0.8221398466756903	-0.08786038156866283	0.1103478646185399	0.9376194888320681
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.19486162466704815	0.0139455438738748	13.97303873046476	4.668212140663918e-24	0.16714778666693836	0.22257546266715794	2.800927284398351e-23
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	rsa_centered	-0.16222443321060523	0.03030347256249879	-5.353328166467678	6.800300258541524e-07	-0.2224462171032485	-0.10200264931796196	1.4400635841617344e-06
3di_llm__gamma__miller1987__coverage_confidence	3di_llm	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.0022417972603967023	0.04237118987053055	-0.052908527403802925	0.9579247128989681	-0.08644563345093915	0.08196203893014574	0.9759879982983334
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.07932148471878879	0.022055886558489203	3.596386139747275	0.0005320482170322908	0.03549004490123719	0.12315292453634039	0.0007980723255484362
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	rsa_centered	-0.21196940453281543	0.030643094331408587	-6.9173629216534716	7.066585860774214e-10	-0.2728661153246892	-0.1510726937409417	2.5439709098787167e-09
3di_llm__gamma__miller1987__composition_adjusted	3di_llm	gamma	miller1987	composition_adjusted	aa_by_rsa	0.016286816642075458	0.042098869115423654	0.38687064484847405	0.6997859396436845	-0.06737583927185989	0.0999494725560108	0.8910740105609404
3di_llm__freerate__tien2013__coverage_confidence	3di_llm	freerate	tien2013	coverage_confidence	aa_log1p_rate	0.20976551493216733	0.013573671504895867	15.453852324075127	8.363540846911578e-27	0.18279069512194013	0.23674033474239453	3.010874704888168e-25
3di_llm__freerate__tien2013__coverage_confidence	3di_llm	freerate	tien2013	coverage_confidence	rsa_centered	-0.21912976258057795	0.03770446711016051	-5.811771903322494	9.717726391798385e-08	-0.29405946792746007	-0.14420005723369583	2.3322543340316125e-07
3di_llm__freerate__tien2013__coverage_confidence	3di_llm	freerate	tien2013	coverage_confidence	aa_by_rsa	-0.008108435988321259	0.050380723523767594	-0.16094322235162076	0.8725070243298412	-0.10822953722996585	0.09201266525332334	0.9376194888320681
3di_llm__freerate__tien2013__composition_adjusted	3di_llm	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.09291636874413176	0.022231684274520297	4.179457012648523	6.87406238674679e-05	0.04873556790725109	0.13709716958101242	0.0001237331229614422
3di_llm__freerate__tien2013__composition_adjusted	3di_llm	freerate	tien2013	composition_adjusted	rsa_centered	-0.27606282327505927	0.038365652270038623	-7.195572261667203	1.9698327444309433e-10	-0.35230649518894397	-0.19981915136117456	7.879330977723773e-10
3di_llm__freerate__tien2013__composition_adjusted	3di_llm	freerate	tien2013	composition_adjusted	aa_by_rsa	0.008850293997911448	0.04986613421806295	0.17748105275635379	0.8595384324820889	-0.09024816913195581	0.1079487571277787	0.9376194888320681
3di_llm__freerate__miller1987__coverage_confidence	3di_llm	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.2084306396345947	0.014355934149846244	14.518779304711916	4.395856914986982e-25	0.1799012371984216	0.23696004207076782	3.9562712234882836e-24
3di_llm__freerate__miller1987__coverage_confidence	3di_llm	freerate	miller1987	coverage_confidence	rsa_centered	-0.18629601660980555	0.03242134945270913	-5.746090762864241	1.289385531944804e-07	-0.250726635781324	-0.12186539743828713	2.901117446875809e-07
3di_llm__freerate__miller1987__coverage_confidence	3di_llm	freerate	miller1987	coverage_confidence	aa_by_rsa	0.0011678082068195535	0.04255689208031793	0.027441106474963926	0.9781700473158058	-0.08340507210311011	0.08574068851674922	0.9781700473158058
3di_llm__freerate__miller1987__composition_adjusted	3di_llm	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.09175433924397716	0.02267450801002973	4.046585672482552	0.0001113674387617898	0.04669351928561192	0.1368151592023424	0.00018647571141508992
3di_llm__freerate__miller1987__composition_adjusted	3di_llm	freerate	miller1987	composition_adjusted	rsa_centered	-0.23947984531469257	0.03274730060712912	-7.312964454314674	1.1450749292274898e-10	-0.30455822391181986	-0.1744014667175653	4.84972911202231e-10
3di_llm__freerate__miller1987__composition_adjusted	3di_llm	freerate	miller1987	composition_adjusted	aa_by_rsa	0.014339281355671899	0.041937000786798115	0.3419243409553967	0.7332230497348604	-0.06900169526934875	0.09768025798069256	0.8947806708628805
