split_smaller_side_taxa	smaller_side_taxa	status	profile_branch_length	mafft_branch_length
F2781224;F5580	2	shared	0.047804958	0.0506800103
F2813651;F97331	2	shared	0.0774962982	0.0800622486
F2834505;F467971	2	shared	0.302274431	0.3131283813
F2871812;F318763	2	shared	0.0577013833	0.0682242747
F288795;F796604	2	shared	0.0098255165	0.0108119873
F2939405;F2939408	2	shared	0.0610049435	0.0654164177
F2977754;F3060298	2	shared	0.0886600801	0.0940842402
F29833;F56409	2	shared	0.1040055129	0.0886957487
F29883;F89243	2	shared	0.1242341019	0.140628757
F29889;F63146	2	shared	0.0401910931	0.0441113815
F29898;F5286	2	shared	0.039805421	0.0407632296
F29908;F61273	2	shared	0.0552305776	0.0554730736
F3038894;F418498	2	shared	0.0694624248	0.07885528
F3039483;F6035	2	shared	0.4620995758	0.4391737904
F326681;F326684	2	shared	0.028587315	0.0296813928
F332112;F4932	2	shared	0.008031004	0.0221655426
F342668;F655981	2	shared	0.0073928498	0.007721503
F34406;F80884	2	shared	0.0293748916	0.0305646901
F34480;F423460	2	shared	0.2796343054	0.2993931286
F34485;F348617	2	shared	0.1994742957	0.2254895529
F36050;F5128	2	shared	0.0097650164	0.0086145976
F370292;F56493	2	shared	0.2129617913	0.2321737581
F378194;F5365	2	shared	0.0782117586	0.0846594671
F38799;F5364	2	shared	0.0300202251	0.0324983735
F390894;F574789	2	shared	0.1381881866	0.1374209697
F398673;F63577	2	shared	0.0071676376	0.0099520103
F40410;F5207	2	shared	0.0092307257	0.0094930641
F40492;F984962	2	shared	0.0265855604	0.0266741113
F43959;F54195	2	shared	0.1257601447	0.1300665627
F443868;F90408	2	mafft_only		0.0233424896
F44442;F64526	2	shared	0.0133898633	0.0147905802
F44565;F69979	2	shared	0.0758629831	0.0671548789
F460848;F460854	2	shared	0.0943590651	0.1044740919
F48095;F5022	2	shared	0.0316656397	0.0316958948
F48586;F48587	2	shared	0.0064652629	0.0063856814
F4866;F61395	2	profile_only	0.0377933304	
F4903;F4927	2	shared	0.0508523633	0.055672752
F5059;F5062	2	shared	0.0729675674	0.0769291076
F5482;F5486	2	shared	0.0671919496	0.057397823
F5570;F574774	2	shared	0.0727563199	0.069116746
F578093;F703506	2	shared	0.0317774336	0.0294789859
F58853;F65468	2	shared	0.0324619727	0.0322048908
F588596;F658196	2	shared	0.0408430974	0.0405088782
F64504;F64505	2	shared	0.0182745275	0.0181366978
F64632;F708070	2	shared	0.0424501213	0.045501071
F71933;F87326	2	shared	0.0276732522	0.0304427967
F76775;F76777	2	mafft_only		0.0269745166
F76777;F77020	2	profile_only	0.028053214	
O10228;O45351	2	shared	0.0515428918	0.055734716
O1890364;O5755	2	profile_only	0.0793588439	
O192875;OFS5426470	2	profile_only	0.0609452072	
O225164;O283909	2	shared	0.0808154443	0.0837081044
O44689;O5786	2	shared	0.118823918	0.116730387
O6239;O7227	2	shared	0.141734964	0.1307490173
O72019;OFS1403592	2	shared	0.3580762927	0.520458664
O81824;O946362	2	shared	0.3244598592	0.3190801028
OFS5426458;OFS5426506	2	shared	0.4271180451	0.4018422843
F1005962;F13502;F4909	3	shared	0.2026604627	0.1972580196
F1006475;F443868;F90408	3	mafft_only		0.0214294668
F100910;F29898;F5286	3	shared	0.0436168956	0.0466973162
F101097;F1343614;F64571	3	shared	0.0075377339	0.0088999966
F101098;F1440133;F979620	3	shared	0.0089300835	0.0081183064
F103449;F1176355;F291195	3	shared	0.1284819044	0.1188314006
F1042133;F117187;F5127	3	shared	0.0053081281	0.004233213
F104341;F5630;F599839	3	shared	0.0428523654	0.0449330631
F104355;F38799;F5364	3	shared	0.0847110622	0.0929449704
F104408;F1424756;F89922	3	mafft_only		0.0421037846
F1048519;F2939406;F364730	3	shared	0.1534321504	0.1572342324
