taxon_id	species_name	study_role	marker_slots	recovered_sequence_links	missing_marker_sequences	both	esmfold_only	alphafold_only	neither_catalog
F5507	Fusarium oxysporum	ingroup	125	125	0	0	71	40	14
F36050	Fusarium poae	ingroup	125	124	1	0	41	75	8
F101028	Fusarium pseudograminearum	ingroup	125	123	2	0	0	120	3
F5128	Fusarium sambucinum	ingroup	125	123	2	0	105	6	12
F117187	Fusarium verticillioides	ingroup	125	102	23	0	0	100	2
F173216	Trichoderma aggressivum	ingroup	125	122	3	0	0	119	3
F101201	Trichoderma asperellum	ingroup	125	121	4	0	35	81	5
F63577	Trichoderma atroviride	ingroup	125	117	8	0	46	65	6
F2034170	Trichoderma breve	ingroup	125	124	1	0	0	122	2
F1738374	Trichoderma camerunense	ingroup	125	124	1	0	77	32	15
F58853	Trichoderma citrinoviride	ingroup	125	125	0	0	0	121	4
F549676	Trichoderma evansii	ingroup	125	123	2	0	103	7	13
F398673	Trichoderma gamsii	ingroup	125	117	8	0	0	113	4
F65468	Trichoderma ghanense	ingroup	125	122	3	0	101	5	16
F5544	Trichoderma harzianum	ingroup	125	124	1	0	0	119	5
F2732470	Bacidia gigantensis	ingroup	125	117	8	0	104	0	13
F209136	Lepraria neglecta	ingroup	125	124	1	0	0	122	2
F560253	Letharia lupina	ingroup	125	125	0	0	0	120	5
F2939399	Claussenomyces sp. TS43310	ingroup	125	120	5	0	107	0	13
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	125	125	0	0	113	0	12
F174425	Lichina confinis	ingroup	125	119	6	0	104	0	15
F318774	Phylliscum demangeonii	ingroup	125	121	4	0	103	0	18
F2796175	Watsoniomyces obsoletus	ingroup	125	113	12	0	99	0	14
F578093	Lineolata rhizophorae	ingroup	125	122	3	0	0	120	2
F1125753	Limtongia smithiae	ingroup	125	123	2	0	117	0	6
F383834	Lipomyces doorenjongii	ingroup	125	123	2	0	117	0	6
F44089	Neoaidaea tothii	ingroup	125	124	1	0	117	0	7
F339359	Zalerion maritima	ingroup	125	122	3	0	0	117	5
F36779	Gaeumannomyces tritici	ingroup	125	122	3	0	0	120	2
F148304	Magnaporthiopsis poae	ingroup	125	103	22	0	4	96	3
F148305	Pyricularia grisea	ingroup	125	122	3	0	0	118	4
F2035830	Berkeleyomyces rouxiae	ingroup	125	124	1	0	114	0	10
F2019550	Ceratocystis lukuohia	ingroup	125	123	2	0	110	0	13
F563466	Scedosporium apiospermum	ingroup	125	101	24	0	0	95	6
F703497	Microthyrium microscopicum	ingroup	125	125	0	0	0	123	2
F122368	Cercospora beticola	ingroup	125	125	0	0	9	114	2
F574656	Recurvomyces mirabilis	ingroup	125	125	0	0	12	109	4
F1690608	Saxophila tyrrhenica	ingroup	125	125	0	0	0	122	3
F2601811	Elsinoe batatas	ingroup	125	121	4	0	0	120	1
F147570	Myriangium duriaei	ingroup	125	125	0	0	0	123	2
F2082308	Sphaceloma murrayae	ingroup	125	125	0	0	0	123	2
F741139	Lepidopterella palustris	ingroup	125	125	0	69	0	53	3
F390894	Lophium mytilinum	ingroup	125	124	1	0	0	122	2
F574789	Mytilinidion resinicola	ingroup	125	125	0	0	0	122	3
F48691	Neolecta irregularis	ingroup	125	112	13	0	0	109	3
F92988	Neophaeotheca triangularis	ingroup	125	119	6	0	107	0	12
F199306	Coccidioides posadasii	ingroup	125	118	7	0	109	0	9
F63402	Nannizzia gypsea	ingroup	125	123	2	0	0	121	2
F1048829	Paracoccidioides lutzii	ingroup	125	125	0	0	0	124	1
F226899	Leptographium clavigerum	ingroup	125	122	3	0	0	115	7
F61273	Ophiostoma piceae	ingroup	125	123	2	0	0	120	3
F29908	Sporothrix schenckii	ingroup	125	122	3	0	74	33	15
F97331	Arthrobotrys flagrans	ingroup	125	124	1	0	0	122	2
F1814901	Dactylella cylindrospora	ingroup	125	117	8	0	103	0	14
F2813651	Orbilia oligospora	ingroup	125	125	0	0	0	122	3
F1940652	Gomphillus americanus	ingroup	125	122	3	0	0	118	4
F2704026	Stictis urceolata	ingroup	125	122	3	0	110	0	12
F209281	Thelotrema lepadinum	ingroup	125	114	11	0	102	0	12
F703506	Patellaria atrata	ingroup	125	121	4	0	0	118	3
F669869	Lobaria immixta	ingroup	125	122	3	0	110	0	12
F52883	Peltigera leucophlebia	ingroup	125	92	33	0	78	0	14
F169141	Pseudocyphellaria aurata	ingroup	125	116	9	0	104	0	12
F443868	Agyrium rufum	ingroup	125	124	1	0	111	0	13
F1006475	Circinaria calcarea	ingroup	125	106	19	0	90	0	16
