taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F1738374	Trichoderma camerunense	ingroup	4.24	failed	0.00
F58853	Trichoderma citrinoviride	ingroup	4.05	failed	0.00
F549676	Trichoderma evansii	ingroup	4.81	failed	0.00
F398673	Trichoderma gamsii	ingroup	7.28	failed	0.00
F65468	Trichoderma ghanense	ingroup	5.01	failed	0.00
F5544	Trichoderma harzianum	ingroup	3.42	failed	0.00
F2732470	Bacidia gigantensis	ingroup	9.97	failed	0.00
F209136	Lepraria neglecta	ingroup	3.87	failed	0.00
F560253	Letharia lupina	ingroup	3.19	failed	0.00
F2939399	Claussenomyces sp. TS43310	ingroup	6.90	failed	0.00
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	3.68	failed	0.00
F174425	Lichina confinis	ingroup	7.23	failed	0.00
F318774	Phylliscum demangeonii	ingroup	9.06	failed	0.00
F2796175	Watsoniomyces obsoletus	ingroup	9.51	failed	0.00
F578093	Lineolata rhizophorae	ingroup	4.63	failed	0.00
F1125753	Limtongia smithiae	ingroup	9.73	failed	0.00
F383834	Lipomyces doorenjongii	ingroup	9.85	failed	0.00
F44089	Neoaidaea tothii	ingroup	9.09	failed	0.00
F339359	Zalerion maritima	ingroup	6.25	failed	0.00
F36779	Gaeumannomyces tritici	ingroup	5.83	failed	0.00
F148304	Magnaporthiopsis poae	ingroup	22.36	failed	0.00
F148305	Pyricularia grisea	ingroup	3.88	failed	0.00
F2035830	Berkeleyomyces rouxiae	ingroup	4.87	failed	0.00
F2019550	Ceratocystis lukuohia	ingroup	5.01	failed	0.00
F563466	Scedosporium apiospermum	ingroup	24.72	failed	0.00
F703497	Microthyrium microscopicum	ingroup	3.93	failed	0.00
F122368	Cercospora beticola	ingroup	3.40	failed	0.00
F574656	Recurvomyces mirabilis	ingroup	4.04	failed	0.00
F1690608	Saxophila tyrrhenica	ingroup	3.77	failed	0.00
F2601811	Elsinoe batatas	ingroup	5.97	failed	0.00
F147570	Myriangium duriaei	ingroup	4.35	failed	0.00
F2082308	Sphaceloma murrayae	ingroup	3.75	failed	0.00
F741139	Lepidopterella palustris	ingroup	3.21	failed	0.32
