taxon_id	species_name	study_role	gap_ambiguity_percent_reported	nominal_composition_status	composition_pvalue_percent_reported
F144538	Paraglomus brasilianum	ingroup	12.10	failed	0.00
F144539	Paraglomus occultum	ingroup	21.46	failed	0.00
F215637	Dimargaris cristalligena	ingroup	9.78	failed	0.00
F1520584	Dispira parvispora	ingroup	30.63	failed	0.00
F78921	Tieghemiomyces parasiticus	ingroup	88.78	failed	0.00
F61424	Furculomyces boomerangus	ingroup	31.23	failed	0.00
F133377	Smittium angustum	ingroup	35.98	failed	0.00
F133385	Smittium simulii	ingroup	31.01	failed	0.00
F1213189	Zancudomyces culisetae	ingroup	65.78	failed	0.00
F2650707	Coemansia brasiliensis	ingroup	33.66	failed	0.00
F4866	Dipsacomyces acuminosporus	ingroup	27.89	failed	0.00
F61397	Kickxella alabastrina	ingroup	19.81	failed	0.00
F61395	Linderina pennispora	ingroup	18.35	failed	0.00
F304332	Ramicandelaber brevisporus	ingroup	20.76	failed	0.00
F164912	Astathelohania contejeani	ingroup	62.85	failed	0.00
F70536	Edhazardia aedis	ingroup	73.90	failed	0.00
F6035	Encephalitozoon cuniculi	ingroup	64.06	failed	0.00
F174680	Glugoides intestinalis	ingroup	71.67	failed	0.00
F174688	Gurleya vavrai	ingroup	77.49	failed	0.00
F1176355	Hamiltosporidium tvaerminnensis	ingroup	74.80	failed	0.00
F1081669	Hepatospora eriocheir	ingroup	81.08	failed	0.00
F1300064	Nucleospora cyclopteri	ingroup	72.29	failed	0.00
F3039483	Ordospora pajunii	ingroup	64.91	failed	0.00
F291195	Tubulinosema ratisbonensis	ingroup	74.01	failed	0.00
F6039	Vairimorpha necatrix	ingroup	65.51	failed	0.00
F103449	Vavraia culicis	ingroup	71.49	failed	0.00
F82268	Hyaloraphidium curvatum	ingroup	9.00	failed	0.00
F1123529	Gonapodya prolifera	ingroup	11.84	failed	0.00
F2725673	Gonapodya sp. JEL0774	ingroup	27.11	failed	0.00
F1343610	Actinomortierella ambigua	ingroup	5.53	failed	0.00
F979620	Dissophora ornata	ingroup	10.21	failed	0.00
F101097	Entomortierella chlamydospora	ingroup	9.72	failed	0.00
F101098	Gamsiella multidivaricata	ingroup	10.83	failed	0.00
F979690	Gryganskiella cystojenkinii	ingroup	8.85	failed	0.00
F1897645	Haplosporangium bisporale	ingroup	25.03	failed	0.00
F604196	Linnemannia exigua	ingroup	14.97	failed	0.00
F64571	Lobosporangium transversale	ingroup	9.09	failed	0.00
F979761	Lunasporangiospora selenospora	ingroup	14.18	failed	0.00
F1440133	Modicella reniformis	ingroup	23.34	failed	0.00
F1343614	Mortierella claussenii	ingroup	7.35	failed	0.00
F64525	Podila minutissima	ingroup	11.07	failed	0.00
F1938954	Bifiguratus adelaidae	ingroup	28.03	failed	0.00
F2340872	Endogone sp. FLAS-F59071	ingroup	33.58	failed	0.00
F994334	Jimgerdemannia flammicorona	ingroup	38.20	failed	0.00
F708070	Mucor velutinosus	ingroup	8.55	failed	0.00
F64632	Mycotypha africana	ingroup	10.22	failed	0.00
F4837	Phycomyces blakesleeanus	ingroup	22.61	failed	0.00
F4840	Rhizomucor pusillus	ingroup	6.50	failed	0.00
F58291	Rhizopus microsporus	ingroup	10.34	failed	0.00
F91625	Umbelopsis isabellina	ingroup	7.65	failed	0.00
F64526	Umbelopsis nana	ingroup	8.38	failed	0.00
F41833	Umbelopsis ramanniana	ingroup	10.42	failed	0.00
F44442	Umbelopsis vinacea	ingroup	10.02	failed	0.00
F1754192	Anaeromyces robustus	ingroup	18.33	failed	0.00
F1754190	Neocallimastix californiae	ingroup	51.74	failed	0.00
F2767002	Neocallimastix lanati (nom. inval.)	ingroup	51.16	failed	0.00
F3108450	Neocallimastix sp. 'constans'	ingroup	47.73	failed	0.00
F1754191	Piromyces finnis	ingroup	13.02	failed	0.00
F73868	Piromyces sp. E2	ingroup	50.94	failed	0.00
F278681	Olpidium bornovanus	ingroup	76.20	failed	0.00
F1246581	Paramicrosporidium saccamoebae	ingroup	28.30	failed	0.00
F281847	Rozella allomycis	ingroup	17.66	failed	0.00
F1907219	Piptocephalis cylindrospora	ingroup	57.03	failed	0.00
F1286916	Piptocephalis tieghemiana	ingroup	18.93	failed	0.00
F1851187	Syncephalis fuscata	ingroup	11.29	failed	0.00
F1851185	Syncephalis plumigaleata	ingroup	14.55	failed	0.00
F1712513	Syncephalis pseudoplumigaleata	ingroup	47.81	failed	0.00
F78915	Thamnocephalis sphaerospora	ingroup	32.05	failed	0.00
F2109901	Amoeboradix gromovi	ingroup	37.16	failed	0.00
F2020955	Sanchytrium tribonematis	ingroup	44.54	failed	0.00
O691883	Fonticula alba	outgroup	21.94	failed	0.00
O81824	Monosiga brevicollis	outgroup	23.33	failed	0.00
O946362	Salpingoeca rosetta	outgroup	15.67	failed	0.00
O192875	Capsaspora owczarzaki	outgroup	13.03	failed	0.00
O72019	Sphaeroforma arctica	outgroup	42.32	failed	0.00
O529818	Thecamonas trahens	outgroup	18.11	failed	0.00
O5755	Acanthamoeba castellanii	outgroup	26.23	failed	0.00
O44689	Dictyostelium discoideum	outgroup	11.33	failed	0.00
O5786	Dictyostelium purpureum	outgroup	15.09	failed	0.00
O133409	Polysphondylium violaceum	outgroup	11.16	failed	0.00
O1890364	Planoprotostelium fungivorum	outgroup	18.94	failed	0.00
O400682	Amphimedon queenslandica	outgroup	20.14	failed	0.00
O45351	Nematostella vectensis	outgroup	31.49	failed	0.00
O10228	Trichoplax adhaerens	outgroup	16.48	failed	0.00
O27923	Mnemiopsis leidyi	outgroup	25.75	failed	0.00
O7227	Drosophila melanogaster	outgroup	43.18	failed	0.00
O6239	Caenorhabditis elegans	outgroup	19.23	failed	0.00
O283909	Capitella teleta	outgroup	17.94	failed	0.00
O225164	Lottia gigantea	outgroup	14.28	failed	0.00
O2700040	Branchiostoma floridae	outgroup	28.52	failed	0.00
OFS5426470	Corallochytrium limacisporum	outgroup	10.19	failed	0.00
OFS5426494	Chromosphaera perkinsii	outgroup	9.96	failed	0.00
OFS5426506	Pirum gemmata	outgroup	97.31	failed	0.00
OFS5426458	Abeoforma whisleri	outgroup	96.44	failed	0.00
OFS1403592	Creolimax fragrantissima	outgroup	10.13	failed	0.00
