cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
all_available	0	af_experiment_rmsd_angstrom	39	39	1.846263041326998	0.9571191513357549	3.5732565241479586			
all_available	0	af_experiment_local_mean_absolute_difference_angstrom	39	39	0.5563895538151789	0.36629616798212983	0.7833326469247628			
all_available	0	af_experiment_local_rms_difference_angstrom	39	39	0.7855108057101792	0.529886061398919	1.3230114189072073			
all_available	0	esm_experiment_rmsd_angstrom	39	39	2.837161389790606	1.587849706043263	9.809595547728922			
all_available	0	esm_experiment_local_mean_absolute_difference_angstrom	39	39	0.8258377506811375	0.5049474727314184	1.3705778996073932			
all_available	0	esm_experiment_local_rms_difference_angstrom	39	39	1.3838249813392363	0.8368522017066597	2.820864439992692			
all_available	0	af_esm_rmsd_angstrom	39	39	2.016969356753689	1.2071437030686334	7.136549458431409			
all_available	0	af_esm_local_mean_absolute_difference_angstrom	39	39	0.357202847000044	0.2774014983870102	0.7483604367492014			
all_available	0	af_esm_local_rms_difference_angstrom	39	39	0.8522757569473991	0.5494106315999845	1.9258812102417222			
all_available	0	paired_delta_rmsd_angstrom	39	39	0.6154078827104688	0.2993660589697533	4.517899719073392	34	5	0
all_available	0	paired_delta_local_mean_absolute_difference_angstrom	39	39	0.11610100283729843	0.07747316418163336	0.3366731762787001	37	2	0
all_available	0	paired_delta_local_rms_difference_angstrom	39	39	0.234223457868255	0.10788376995240567	0.7694563983675555	36	3	0
all_available	70	af_experiment_rmsd_angstrom	36	36	1.2156612910328004	0.8485263140841964	1.9700985191712403			
all_available	70	af_experiment_local_mean_absolute_difference_angstrom	36	36	0.3969335948473812	0.3120738835745337	0.5554127009163969			
all_available	70	af_experiment_local_rms_difference_angstrom	36	36	0.5920626456113867	0.4742741682529798	0.7725324487097114			
all_available	70	esm_experiment_rmsd_angstrom	36	36	1.7857826641409509	1.190224690867797	4.28966594981832			
all_available	70	esm_experiment_local_mean_absolute_difference_angstrom	36	36	0.5012036415678762	0.4051670637418993	0.8831608698081383			
all_available	70	esm_experiment_local_rms_difference_angstrom	36	36	0.7971800951281178	0.6322134178190241	1.2506187430088849			
all_available	70	af_esm_rmsd_angstrom	36	36	1.117023342754905	0.7383734441477753	2.391768098975823			
all_available	70	af_esm_local_mean_absolute_difference_angstrom	36	36	0.2630308802999581	0.2157845957246204	0.3102025998447998			
all_available	70	af_esm_local_rms_difference_angstrom	36	36	0.4411372277496899	0.3479008778701319	0.6742808922918617			
all_available	70	paired_delta_rmsd_angstrom	36	36	0.4688373468324512	0.18254096118026414	1.3377847049486615	34	2	0
all_available	70	paired_delta_local_mean_absolute_difference_angstrom	36	36	0.08180188392436691	0.05988838300935409	0.12416868397337846	36	0	0
all_available	70	paired_delta_local_rms_difference_angstrom	36	36	0.12429284808149962	0.08327526755814663	0.22063978680373794	36	0	0
all_available	90	af_experiment_rmsd_angstrom	16	16	0.823201214122433	0.5276339857544241	1.2897153982959528			
all_available	90	af_experiment_local_mean_absolute_difference_angstrom	16	16	0.3323650164952867	0.22432029092986866	0.3853420240048586			
all_available	90	af_experiment_local_rms_difference_angstrom	16	16	0.44930127613085524	0.3062137182816983	0.6097178326800277			
all_available	90	esm_experiment_rmsd_angstrom	16	16	1.2011632246821144	0.7467331618207477	1.7834873700316325			
all_available	90	esm_experiment_local_mean_absolute_difference_angstrom	16	16	0.3676427483252668	0.2818434889927533	0.41881351453763715			
all_available	90	esm_experiment_local_rms_difference_angstrom	16	16	0.4985733634952084	0.38790497445597366	0.6714931825942648			
all_available	90	af_esm_rmsd_angstrom	16	16	0.6645028712643447	0.4386910411554935	1.0952492285954505			
all_available	90	af_esm_local_mean_absolute_difference_angstrom	16	16	0.1774995869039017	0.14821832363233206	0.2044219562420672			
all_available	90	af_esm_local_rms_difference_angstrom	16	16	0.2663370645641872	0.22028224340187436	0.29837652636210366			
all_available	90	paired_delta_rmsd_angstrom	16	16	0.2994818961107869	0.08253796494806073	0.6072028159450437	15	1	0
all_available	90	paired_delta_local_mean_absolute_difference_angstrom	16	16	0.04815865264216297	0.02299223140213058	0.07314135031005244	16	0	0
all_available	90	paired_delta_local_rms_difference_angstrom	16	16	0.06657296326269979	0.022626518646581918	0.11649058214162694	16	0	0
same_proteins_all_thresholds	0	af_experiment_rmsd_angstrom	16	16	1.3925558753318903	0.8245008160418608	3.435926694938658			
same_proteins_all_thresholds	0	af_experiment_local_mean_absolute_difference_angstrom	16	16	0.42592985103882675	0.3166254037041454	0.5660802270659768			
same_proteins_all_thresholds	0	af_experiment_local_rms_difference_angstrom	16	16	0.6830967308844609	0.5184252138495061	0.9239950871037971			
same_proteins_all_thresholds	0	esm_experiment_rmsd_angstrom	16	16	1.9013002383444642	1.4459691726975044	4.172148618040614			
same_proteins_all_thresholds	0	esm_experiment_local_mean_absolute_difference_angstrom	16	16	0.5821850737150207	0.44970997133339774	0.7631341098472983			
same_proteins_all_thresholds	0	esm_experiment_local_rms_difference_angstrom	16	16	1.0042508682137503	0.7498326052375113	1.5524242022643262			
same_proteins_all_thresholds	0	af_esm_rmsd_angstrom	16	16	1.8850159476924262	1.0987837339404627	2.5479645417428087			
same_proteins_all_thresholds	0	af_esm_local_mean_absolute_difference_angstrom	16	16	0.3187835328748307	0.27664597660953705	0.4597149753080373			
same_proteins_all_thresholds	0	af_esm_local_rms_difference_angstrom	16	16	0.8281639519307008	0.5578229273248048	1.1685588922497656			
