taxon_id	species_name	species_taxid	study_role	lineage	assembly_accession	annotation_source_version	proteome_url	cds_url	genome_url	assembly_level	busco_complete_pct	contamination_status	ecology	ecology_source	structure_coverage	inclusion_reason	status
F1048519	Viridothelium virens	1048519	ingroup	Ascomycota;Dothideomycetes;Trypetheliales;Trypetheliaceae;Viridothelium	GCA_010094025.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2020-02-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/094/025/GCA_010094025.1_Tryvi1/GCA_010094025.1_Tryvi1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/094/025/GCA_010094025.1_Tryvi1/GCA_010094025.1_Tryvi1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/094/025/GCA_010094025.1_Tryvi1/GCA_010094025.1_Tryvi1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F318760	Hypocenomyce scalaris	318760	ingroup	Ascomycota;Lecanoromycetes;Umbilicariales;Ophioparmaceae;Hypocenomyce	GCA_022814315.1	University of Graz | Annotation submitted by University of Graz | 2022-04-04	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/814/315/GCA_022814315.1_ASM2281431v1/GCA_022814315.1_ASM2281431v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/814/315/GCA_022814315.1_ASM2281431v1/GCA_022814315.1_ASM2281431v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/814/315/GCA_022814315.1_ASM2281431v1/GCA_022814315.1_ASM2281431v1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F136370	Lasallia pustulata	136370	ingroup	Ascomycota;Lecanoromycetes;Umbilicariales;Umbilicariaceae;Lasallia	GCA_008636195.1	University of Frankfurt | Annotation submitted by University of Frankfurt | 2019-09-23	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/636/195/GCA_008636195.1_ASM863619v1/GCA_008636195.1_ASM863619v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/636/195/GCA_008636195.1_ASM863619v1/GCA_008636195.1_ASM863619v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/636/195/GCA_008636195.1_ASM863619v1/GCA_008636195.1_ASM863619v1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F87287	Umbilicaria vellea	87287	ingroup	Ascomycota;Lecanoromycetes;Umbilicariales;Umbilicariaceae;Umbilicaria	GCA_023645895.1	Royal Botanic Gardens Kew | Annotation submitted by Royal Botanic Gardens Kew | 2022-06-02	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/645/895/GCA_023645895.1_KEW_Uvel/GCA_023645895.1_KEW_Uvel_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/645/895/GCA_023645895.1_KEW_Uvel/GCA_023645895.1_KEW_Uvel_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/645/895/GCA_023645895.1_KEW_Uvel/GCA_023645895.1_KEW_Uvel_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F1048955	Tothia fuscella	1048955	ingroup	Ascomycota;Dothideomycetes;Venturiales;Cylindrosympodiaceae;Tothia	GCA_010583015.1	DOE Joint Genome Institute | Annotation submitted by DOE Joint Genome Institute | 2020-02-14	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/583/015/GCA_010583015.1_Totfu1/GCA_010583015.1_Totfu1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/583/015/GCA_010583015.1_Totfu1/GCA_010583015.1_Totfu1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/583/015/GCA_010583015.1_Totfu1/GCA_010583015.1_Totfu1_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F50376	Venturia effusa	50376	ingroup	Ascomycota;Dothideomycetes;Venturiales;Venturiaceae;Venturia	GCA_007735645.1	Massey University | Annotation submitted by Massey University | 2019-07-31	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/735/645/GCA_007735645.1_ASM773564v1/GCA_007735645.1_ASM773564v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/735/645/GCA_007735645.1_ASM773564v1/GCA_007735645.1_ASM773564v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/735/645/GCA_007735645.1_ASM773564v1/GCA_007735645.1_ASM773564v1_genomic.fna.gz	Complete Genome		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F253628	Verruconis gallopava	253628	ingroup	Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Verruconis	GCF_000836295.1	Broad Institute | Annotation submitted by Broad Institute | 2024-01-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/295/GCF_000836295.1_O_gall_CBS43764/GCF_000836295.1_O_gall_CBS43764_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/295/GCF_000836295.1_O_gall_CBS43764/GCF_000836295.1_O_gall_CBS43764_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/295/GCF_000836295.1_O_gall_CBS43764/GCF_000836295.1_O_gall_CBS43764_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F364733	Endocarpon pusillum	364733	ingroup	Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Endocarpon	GCF_000464535.1	chinese academy of science | Annotation submitted by chinese academy of science | 2024-01-04	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/464/535/GCF_000464535.1_EPUS/GCF_000464535.1_EPUS_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/464/535/GCF_000464535.1_EPUS/GCF_000464535.1_EPUS_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/464/535/GCF_000464535.1_EPUS/GCF_000464535.1_EPUS_genomic.fna.gz	Scaffold		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F2939408	Vezdaea acicularis	2939408	ingroup	Ascomycota;Vezdaeales;Vezdaeaceae;Vezdaea	GCA_026025075.1	University of Alberta | Annotation submitted by University of Alberta | 2022-11-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/025/075/GCA_026025075.1_ASM2602507v1/GCA_026025075.1_ASM2602507v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/025/075/GCA_026025075.1_ASM2602507v1/GCA_026025075.1_ASM2602507v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/025/075/GCA_026025075.1_ASM2602507v1/GCA_026025075.1_ASM2602507v1_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
F2939405	Vezdaea aestivalis	2939405	ingroup	Ascomycota;Vezdaeales;Vezdaeaceae;Vezdaea	GCA_026055935.1	University of Alberta | Annotation submitted by University of Alberta | 2022-11-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/055/935/GCA_026055935.1_ASM2605593v1/GCA_026055935.1_ASM2605593v1_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/055/935/GCA_026055935.1_ASM2605593v1/GCA_026055935.1_ASM2605593v1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/055/935/GCA_026055935.1_ASM2605593v1/GCA_026055935.1_ASM2605593v1_genomic.fna.gz	Contig		not_assessed	unknown		not_assessed	Broad order/family/genus coverage within Dikarya	provisional_file_QC_passed
