taxon_id	species_name	study_role	lineage	models	proteins	intervals	clusters	profile_families	mafft_families
F29889	Calocera cornea	ingroup	Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Calocera	3806	3813	9336	3140	1719	1719
F29898	Rhodotorula graminis	ingroup	Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula	2572	2577	6492	2599	1529	1529
F29899	Cystobasidium minutum	ingroup	Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium	1	1	2	1	1	1
F29902	Mrakia frigida	ingroup	Basidiomycota;Tremellomycetes;Cystofilobasidiales;Mrakiaceae;Mrakia	1	1	5	1	1	1
F29908	Sporothrix schenckii	ingroup	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Sporothrix	20	20	75	47	19	19
F3038894	Phenoliferia sp. Uapishka_3	ingroup	Basidiomycota;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Phenoliferia	0	0	0	0	0	0
F3039483	Ordospora pajunii	ingroup	Microsporidia;Ordosporidae;Ordospora	0	0	0	0	0	0
F304332	Ramicandelaber brevisporus	ingroup	Kickxellomycota;Ramicandelaberales;Ramicandelaberaceae;Ramicandelaber	0	0	0	0	0	0
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota;Lecanoromycetes;Caliciales;Caliciaceae;Dirinaria	3	3	6	3	3	3
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota;Eurotiomycetes;Pyrenulales;Pyrenulaceae;Pyrenula	2	2	4	3	2	2
F3075319	Sorochytrium milnesiophthora	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Sorochytriaceae;Sorochytrium	2	3	5	3	2	2
F3108450	Neocallimastix sp. 'constans'	ingroup	Neocallimastigomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Neocallimastix	19	30	40	20	17	17
F315204	Geoglossum umbratile	ingroup	Ascomycota;Geoglossomycetes;Geoglossales;Geoglossaceae;Geoglossum	0	0	0	0	0	0
F318760	Hypocenomyce scalaris	ingroup	Ascomycota;Lecanoromycetes;Umbilicariales;Ophioparmaceae;Hypocenomyce	5	5	10	5	4	4
F318763	Pleopsidium flavum	ingroup	Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Pleopsidium	4	6	7	4	4	4
F318774	Phylliscum demangeonii	ingroup	Ascomycota;Lichinomycetes;Lichinales;Phylliscaceae;Phylliscum	1	1	1	1	1	1
F326681	Hypoxylon trugodes	ingroup	Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Hypoxylon	2	2	4	2	2	2
F326684	Xylaria bambusicola	ingroup	Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Xylaria	2	2	5	2	2	2
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	42	44	122	73	35	35
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus	39	39	90	41	37	37
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota;Arthoniomycetes;Lichenostigmatales;Phaeococcomycetaceae;Phaeococcomyces	1	1	2	1	1	1
F339359	Zalerion maritima	ingroup	Ascomycota;Sordariomycetes;Lulworthiales;Lulworthiaceae;Zalerion	67	67	214	125	64	64
