taxon_id	species_name	study_role	lineage	models	proteins	intervals	clusters	profile_families	mafft_families
F574656	Recurvomyces mirabilis	ingroup	Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Recurvomyces	60	60	201	117	58	58
F574677	Sympodiomycopsis kandeliae	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Sympodiomycopsis	1	1	1	1	1	1
F574774	Glonium stellatum	ingroup	Ascomycota;Dothideomycetes;Gloniales;Gloniaceae;Glonium	71	71	225	122	67	67
F574789	Mytilinidion resinicola	ingroup	Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Mytilinidion	94	94	267	142	88	88
F578093	Lineolata rhizophorae	ingroup	Ascomycota;Dothideomycetes;Lineolatales;Lineolataceae;Lineolata	3317	3317	8313	3225	1897	1897
F58291	Rhizopus microsporus	ingroup	Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus	4087	4120	10442	3447	1870	1868
F58853	Trichoderma citrinoviride	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	3848	3848	9639	3620	2071	2071
F588596	Rhizophagus irregularis	ingroup	Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Rhizophagus	3757	3760	9318	2720	1581	1581
F58919	Tilletiopsis washingtonensis	ingroup	Basidiomycota;Exobasidiomycetes;Entylomatales;Tilletiopsis	2302	2302	5909	2478	1506	1506
F599730	Waltiozyma pijperi	ingroup	Ascomycota;Saccharomycetes;Phaffomycetales;Wickerhamomycetaceae;Waltiozyma	62	62	203	117	60	60
F599839	Fibroporia radiculosa	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Fibroporiaceae;Fibroporia	60	60	201	116	57	57
F60197	Cronartium quercuum	ingroup	Basidiomycota;Pucciniomycetes;Pucciniales;Coleosporiaceae;Cronartium	65	65	200	119	62	62
F6035	Encephalitozoon cuniculi	ingroup	Microsporidia;Unikaryonidae;Encephalitozoon	36	36	103	61	34	34
F6039	Vairimorpha necatrix	ingroup	Microsporidia;Nosematidae;Vairimorpha	32	32	97	55	30	30
F604196	Linnemannia exigua	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Linnemannia	60	62	200	120	57	57
F610337	Naganishia cerealis	ingroup	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia	1	2	1	1	1	1
F61273	Ophiostoma piceae	ingroup	Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae;Ophiostoma	59	59	194	113	57	57
F61395	Linderina pennispora	ingroup	Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Linderina	2760	2787	6825	2503	1428	1428
F61397	Kickxella alabastrina	ingroup	Kickxellomycota;Kickxellomycetes;Kickxellales;Kickxellaceae;Kickxella	0	0	0	0	0	0
F61424	Furculomyces boomerangus	ingroup	Kickxellomycota;Harpellomycetes;Harpellales;Harpellaceae;Furculomyces	2356	2634	6012	2192	1230	1230
F63146	Calocera viscosa	ingroup	Basidiomycota;Dacrymycetes;Dacrymycetales;Dacrymycetaceae;Calocera	3852	3861	9501	3150	1864	1864
F63378	Exobasidium rhododendri	ingroup	Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiaceae;Exobasidium	2	2	4	2	2	2
F63402	Nannizzia gypsea	ingroup	Ascomycota;Eurotiomycetes;Onygenales;Arthrodermataceae;Nannizzia	71	71	220	131	68	68
F63577	Trichoderma atroviride	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	133	133	334	179	122	122
F64504	Allomyces arbusculus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces	123	125	278	126	102	102
F64505	Allomyces javanicus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Allomyces	101	108	233	108	83	83
F64508	Blastocladiella britannica	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Blastocladiaceae;Blastocladiella	1	1	1	1	1	1
F64517	Rhizophlyctis rosea	ingroup	Chytridiomycota;Chytridiomycetes;Rhizophlyctidales;Rhizophlyctidaceae;Rhizophlyctis	2	2	5	3	2	2
F64525	Podila minutissima	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Podila	8	8	14	12	8	8
F64526	Umbelopsis nana	ingroup	Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis	0	0	0	0	0	0
F64571	Lobosporangium transversale	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Lobosporangium	3700	3736	9411	3287	1832	1832
F64632	Mycotypha africana	ingroup	Mucoromycota;Mucoromycetes;Mucorales;Mycotyphaceae;Mycotypha	1	3	1	1	1	1
F65468	Trichoderma ghanense	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	57	57	122	59	52	52
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota;Leotiomycetes;Thelebolales;Thelebolaceae;Pseudogymnoascus	126	126	329	179	114	114
F65672	Serendipita indica	ingroup	Basidiomycota;Agaricomycetes;Sebacinales;Serendipitaceae;Serendipita	24	24	68	41	22	22
F658196	Glomus cerebriforme	ingroup	Glomeromycota;Glomeromycetes;Glomerales;Glomeraceae;Glomus	4836	4897	11823	3556	1843	1843
F669869	Lobaria immixta	ingroup	Ascomycota;Lecanoromycetes;Peltigerales;Lobariaceae;Lobaria	3	3	6	3	3	3
F67723	Amanita phalloides	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	1	1	5	1	1	1
F68786	Sphaerobolus stellatus	ingroup	Basidiomycota;Agaricomycetes;Geastrales;Sphaerobolaceae;Sphaerobolus	3977	4082	9075	2517	1459	1459
F69979	Phyllozyma linderae	ingroup	Basidiomycota;Spiculogloeomycetes;Spiculogloeales;Spiculogloeaceae;Phyllozyma	2	4	3	2	2	2
F703497	Microthyrium microscopicum	ingroup	Ascomycota;Dothideomycetes;Microthyriales;Microthyriaceae;Microthyrium	64	64	212	120	61	61
F703506	Patellaria atrata	ingroup	Ascomycota;Dothideomycetes;Patellariales;Patellariaceae;Patellaria	67	67	226	129	64	64
F703511	Trichodelitschia bisporula	ingroup	Ascomycota;Dothideomycetes;Phaeotrichales;Phaeotrichaceae;Trichodelitschia	65	65	217	127	62	62
F70536	Edhazardia aedis	ingroup	Microsporidia;Culicosporidae;Edhazardia	25	25	70	42	25	25
F705562	Polychaeton citri	ingroup	Ascomycota;Dothideomycetes;Capnodiales;Capnodiaceae;Polychaeton	65	65	215	124	62	62
F706196	Saccharomyces arboricola	ingroup	Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces	59	60	194	115	57	57
F708070	Mucor velutinosus	ingroup	Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor	73	75	230	140	69	69
F710243	Colletotrichum fioriniae	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	664	664	1589	794	531	531
F71933	Amanita rubescens	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	2	2	4	2	2	2
F72144	Remersonia thermophila	ingroup	Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Remersonia	4	4	17	8	4	4
F73868	Piromyces sp. E2	ingroup	Neocallimastigomycota;Neocallimastigomycetes;Neocallimastigales;Neocallimastigaceae;Piromyces	15	16	36	19	15	15
F741139	Lepidopterella palustris	ingroup	Ascomycota;Dothideomycetes;Mytilinidiales;Argynnaceae;Lepidopterella	68	68	206	117	65	65
F746128	Aspergillus fumigatus	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	48	48	147	91	47	47
F76012	Neoconidiobolus thromboides	ingroup	Entomophthoromycota;Entomophthoromycetes;Entomophthorales;Neoconidiobolaceae;Neoconidiobolus	1	1	1	1	1	1
F76775	Malassezia restricta	ingroup	Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	564	565	1430	727	473	473
F76777	Malassezia sympodialis	ingroup	Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	42	42	121	73	41	41
F77020	Malassezia pachydermatis	ingroup	Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia	1756	1756	4620	2072	1236	1236
F78915	Thamnocephalis sphaerospora	ingroup	Zoopagomycota;Zoopagomycetes;Zoopagales;Sigmoideomycetaceae;Thamnocephalis	2402	2433	5852	2358	1433	1433
F78921	Tieghemiomyces parasiticus	ingroup	Kickxellomycota;Dimargaritomycetes;Dimargaritales;Dimargaritaceae;Tieghemiomyces	10	10	18	12	10	10
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota;Dipodascomycetes;Dipodascales;Trichomonascaceae;Sugiyamaella	2188	2188	5846	2458	1403	1403
F796604	Microbotryum silenes-dioicae	ingroup	Basidiomycota;Microbotryomycetes;Microbotryales;Microbotryaceae;Microbotryum	2903	2953	8142	2729	1516	1518
F80663	Piloderma croceum	ingroup	Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Piloderma	4486	4513	10728	3570	2025	2025
F80884	Colletotrichum higginsianum	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	3011	3014	7706	2626	1485	1485
F82268	Hyaloraphidium curvatum	ingroup	Monoblepharomycota;Hyaloraphidiomycetes;Hyaloraphidiales;Hyaloraphidiaceae;Hyaloraphidium	0	0	0	0	0	0
F82508	Trichosporon asahii	ingroup	Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon	28	28	70	43	28	28
F84751	Pseudozyma flocculosa	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Pseudozyma	1669	1669	4298	1873	1152	1152
F84753	Moesziomyces antarcticus	ingroup	Basidiomycota;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Moesziomyces	2138	2138	5606	2378	1418	1418
F87287	Umbilicaria vellea	ingroup	Ascomycota;Lecanoromycetes;Umbilicariales;Umbilicariaceae;Umbilicaria	10	10	23	14	9	9
F87326	Amanita brunnescens	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	4	5	10	4	3	3
F89243	Laccaria amethystina	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Hydnangiaceae;Laccaria	3453	3456	8370	3090	1799	1799
F89922	Naganishia friedmannii	ingroup	Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;Naganishia	0	0	0	0	0	0
F90408	Icmadophila ericetorum	ingroup	Ascomycota;Lecanoromycetes;Pertusariales;Icmadophilaceae;Icmadophila	1	1	1	1	1	1
F911321	Calcarisporiella thermophila	ingroup	Calcarisporiellomycota;Calcarisporiellomycetes;Calcarisporiellales;Calcarisporiellaceae;Calcarisporiella	2	4	2	1	1	1
F91480	Alyxoria varia	ingroup	Ascomycota;Arthoniomycetes;Arthoniales;Lecanographaceae;Alyxoria	0	0	0	0	0	0
F91625	Umbelopsis isabellina	ingroup	Mucoromycota;Umbelopsidomycetes;Umbelopsidales;Umbelopsidaceae;Umbelopsis	67	67	212	132	65	65
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta	19	19	37	15	16	16
F92988	Neophaeotheca triangularis	ingroup	Ascomycota;Dothideomycetes;Neophaeothecales;Neophaeothecaceae;Neophaeotheca	4	4	9	4	4	4
F933333	Amanita inopinata	ingroup	Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita	4	4	6	4	4	4
F945690	Coelomomyces lativittatus	ingroup	Blastocladiomycota;Blastocladiomycetes;Blastocladiales;Coelomomycetaceae;Coelomomyces	0	0	0	0	0	0
F97331	Arthrobotrys flagrans	ingroup	Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Arthrobotrys	3498	3501	8822	3512	2080	2076
F979620	Dissophora ornata	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Dissophora	8	8	14	10	8	8
F979690	Gryganskiella cystojenkinii	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Gryganskiella	2	3	3	2	2	2
F979761	Lunasporangiospora selenospora	ingroup	Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Lunasporangiospora	59	59	200	111	57	57
F984962	Heterobasidion irregulare	ingroup	Basidiomycota;Agaricomycetes;Russulales;Bondarzewiaceae;Heterobasidion	75	76	227	132	70	70
F994334	Jimgerdemannia flammicorona	ingroup	Mucoromycota;Endogonomycetes;Endogonales;Endogonaceae;Jimgerdemannia	2610	2611	6257	2582	1521	1520
O10228	Trichoplax adhaerens	outgroup	Metazoa;Placozoa	67	67	222	133	64	64
O133409	Polysphondylium violaceum	outgroup	Amoebozoa	69	69	225	127	66	66
O1890364	Planoprotostelium fungivorum	outgroup	Amoebozoa	4982	5076	13657	4096	2242	2242
O192875	Capsaspora owczarzaki	outgroup	Filasterea	2288	2288	6323	2522	1380	1380
O225164	Lottia gigantea	outgroup	Metazoa;Mollusca	69	95	217	131	66	66
O2700040	Branchiostoma floridae	outgroup	Metazoa;Chordata	1	5	1	1	1	1
O27923	Mnemiopsis leidyi	outgroup	Metazoa;Ctenophora	1	1	1	1	1	1
O283909	Capitella teleta	outgroup	Metazoa;Annelida	66	84	190	115	64	64
O400682	Amphimedon queenslandica	outgroup	Metazoa;Porifera	3804	3810	10517	3491	1937	1937
O44689	Dictyostelium discoideum	outgroup	Amoebozoa	73	73	242	140	70	70
O45351	Nematostella vectensis	outgroup	Metazoa;Cnidaria	34	41	75	50	28	28
O529818	Thecamonas trahens	outgroup	Apusomonadida	3408	3414	9082	3236	1670	1670
O5755	Acanthamoeba castellanii	outgroup	Amoebozoa	53	53	175	101	51	51
O5786	Dictyostelium purpureum	outgroup	Amoebozoa	59	59	182	97	56	56
O6239	Caenorhabditis elegans	outgroup	Metazoa;Nematoda	319	319	1012	480	262	262
O691883	Fonticula alba	outgroup	Nucleariida	1549	1549	3959	1716	1018	1018
O72019	Sphaeroforma arctica	outgroup	Ichthyosporea	2920	2922	7198	2875	1770	1768
O7227	Drosophila melanogaster	outgroup	Metazoa;Arthropoda	395	418	1085	554	306	306
O81824	Monosiga brevicollis	outgroup	Choanoflagellatea	52	52	148	91	52	52
O946362	Salpingoeca rosetta	outgroup	Choanoflagellatea	60	60	193	121	58	58
OFS1403592	Creolimax fragrantissima	outgroup	Ichthyosporea	4	4	10	5	4	4
OFS5426458	Abeoforma whisleri	outgroup	Ichthyosporea	0	0	0	0	0	0
OFS5426470	Corallochytrium limacisporum	outgroup	Corallochytrea	1	1	1	1	1	1
OFS5426494	Chromosphaera perkinsii	outgroup	Ichthyosporea	1	1	1	1	1	1
OFS5426506	Pirum gemmata	outgroup	Ichthyosporea	0	0	0	0	0	0
