taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	125	0	0	0	49027	0	5483	43544	0	0	0	0.0
F5580	Aureobasidium pullulans	ingroup	Ascomycota	125	0	0	0	49027	0	714	48313	0	0	0	0.0
F2781224	Neodothiora populina	ingroup	Ascomycota	125	28	25	25	49027	3406	3401	41310	8	894	8	0.06947192363391601
F2024903	Zalaria obscura	ingroup	Ascomycota	125	28	23	23	49027	3992	5378	38442	6	1202	7	0.08142452118220572
F1341166	Eremomyces bilateralis	ingroup	Ascomycota	125	0	0	0	49027	0	1286	47741	0	0	0	0.0
F182096	Aspergillus chevalieri	ingroup	Ascomycota	125	0	0	0	49027	0	1686	47341	0	0	0	0.0
F5059	Aspergillus flavus	ingroup	Ascomycota	125	0	0	0	49027	0	696	48331	0	0	0	0.0
F746128	Aspergillus fumigatus	ingroup	Ascomycota	125	20	19	19	49027	3952	689	43540	5	837	4	0.08060864421645215
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	125	0	0	0	49027	0	1047	47980	0	0	0	0.0
F41759	Aspergillus multicolor	ingroup	Ascomycota	125	28	28	28	49027	3673	732	43927	9	683	3	0.07491790238032105
F162425	Aspergillus nidulans	ingroup	Ascomycota	125	2	1	1	49027	113	1999	46707	1	207	0	0.002304852428253819
F5062	Aspergillus oryzae	ingroup	Ascomycota	125	2	2	2	49027	466	2020	46491	0	50	0	0.009504966651029024
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	125	0	0	0	49027	0	536	48491	0	0	0	0.0
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	125	28	28	28	49027	3866	1379	43238	8	531	5	0.078854508740082
F1810928	Aspergillus undulatus	ingroup	Ascomycota	125	28	28	28	49027	3634	706	43953	9	724	1	0.07412242233871132
F315204	Geoglossum umbratile	ingroup	Ascomycota	125	28	24	24	49027	3509	2048	42523	8	933	6	0.07157280682073143
F1670608	Glutinoglossum americanum	ingroup	Ascomycota	125	0	0	0	49027	0	3079	45948	0	0	0	0.0
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	125	28	25	25	49027	3613	3411	41248	6	742	7	0.0736940869316907
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	125	6	6	6	49027	1177	656	47075	0	118	1	0.02400717971729863
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	125	0	0	0	49027	0	621	48406	0	0	0	0.0
F34406	Colletotrichum destructivum	ingroup	Ascomycota	125	0	0	0	49027	0	1468	47559	0	0	0	0.0
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	125	28	23	23	49027	4219	2020	41545	6	1236	1	0.08605462296285721
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	125	0	0	0	49027	0	1770	47257	0	0	0	0.0
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	125	0	0	0	49027	0	1759	47268	0	0	0	0.0
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	125	28	26	26	49027	3751	1252	43195	6	816	7	0.0765088624635405
F1095194	Colletotrichum karsti	ingroup	Ascomycota	125	0	0	0	49027	0	1238	47789	0	0	0	0.0
F145971	Colletotrichum lupini	ingroup	Ascomycota	125	0	0	0	49027	0	1258	47769	0	0	0	0.0
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	125	23	20	20	49027	4669	658	42616	4	1074	6	0.0952332388275848
F5570	Cenococcum geophilum	ingroup	Ascomycota	125	28	28	28	49027	3729	2811	41681	9	794	3	0.07606013013237604
F574774	Glonium stellatum	ingroup	Ascomycota	125	0	0	0	49027	0	2254	46773	0	0	0	0.0
F5101	Amorphotheca resinae	ingroup	Ascomycota	125	0	0	0	49027	0	704	48323	0	0	0	0.0
F40559	Botrytis cinerea	ingroup	Ascomycota	125	0	0	0	49027	0	3696	45331	0	0	0	0.0
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	125	0	0	0	49027	0	712	48315	0	0	0	0.0
F195108	Fusarium falciforme	ingroup	Ascomycota	125	24	21	21	49027	5455	2117	40161	5	1279	10	0.11126522120464234
F5127	Fusarium fujikuroi	ingroup	Ascomycota	125	0	0	0	49027	0	2125	46902	0	0	0	0.0
F5518	Fusarium graminearum	ingroup	Ascomycota	125	7	7	7	49027	1800	748	46189	2	288	0	0.0367144634589104
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	125	28	25	25	49027	4717	849	42237	6	1212	6	0.09621229118648908
F1042133	Fusarium musae	ingroup	Ascomycota	125	0	0	0	49027	0	1349	47678	0	0	0	0.0
F5507	Fusarium oxysporum	ingroup	Ascomycota	125	28	25	25	49027	5618	707	41359	6	1324	13	0.11458991984008811
F36050	Fusarium poae	ingroup	Ascomycota	125	20	19	19	49027	4361	690	43288	5	679	4	0.08895098619128236
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	125	0	0	0	49027	0	1085	47942	0	0	0	0.0
F5128	Fusarium sambucinum	ingroup	Ascomycota	125	28	26	26	49027	4057	883	43240	9	827	11	0.08275032125155526
F117187	Fusarium verticillioides	ingroup	Ascomycota	125	0	0	0	49027	0	11293	37734	0	0	0	0.0
F173216	Trichoderma aggressivum	ingroup	Ascomycota	125	0	0	0	49027	0	1841	47186	0	0	0	0.0
F101201	Trichoderma asperellum	ingroup	Ascomycota	125	20	19	19	49027	3927	2499	41400	5	1175	21	0.08009872111285618
F63577	Trichoderma atroviride	ingroup	Ascomycota	125	20	20	19	49027	4593	4254	39630	4	530	16	0.09368307259265303
F2034170	Trichoderma breve	ingroup	Ascomycota	125	0	0	0	49027	0	1122	47905	0	0	0	0.0
F1738374	Trichoderma camerunense	ingroup	Ascomycota	125	28	24	24	49027	4771	1170	41531	8	1521	26	0.09731372509025639
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	125	0	0	0	49027	0	742	48285	0	0	0	0.0
F549676	Trichoderma evansii	ingroup	Ascomycota	125	29	27	27	49027	4030	1566	42657	6	751	17	0.08219960429967162
