taxon_id	species_name	study_role	lineage	candidate_proteins	TFIIB_hit_proteins	BRF1_hit_proteins	Zn_Ribbon_TF_hit_proteins	unresolved_gene_candidates
F1052096	Cladosporium halotolerans	ingroup	Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cladosporium	2	2	1	1	0
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Cryoendolithus	4	4	2	2	0
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota;Dothideomycetes;Cladosporiales;Cladosporiaceae;Rachicladosporium	2	2	1	0	0
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta	2	2	1	1	0
F177197	Coniochaeta ligniaria	ingroup	Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta	2	2	1	1	0
F177199	Coniochaeta pulveracea	ingroup	Ascomycota;Sordariomycetes;Coniochaetales;Coniochaetaceae;Coniochaeta	3	3	1	1	0
F164576	Chaenotheca gracillima	ingroup	Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Chaenotheca	2	2	1	1	0
F2939403	Sclerophora amabilis	ingroup	Ascomycota;Coniocybomycetes;Coniocybales;Coniocybaceae;Sclerophora	2	2	1	1	0
F5116	Cryphonectria parasitica	ingroup	Ascomycota;Sordariomycetes;Diaporthales;Cryphonectriaceae;Cryphonectria	2	2	1	1	0
F1214568	Diaporthe amygdali	ingroup	Ascomycota;Sordariomycetes;Diaporthales;Diaporthaceae;Diaporthe	2	2	1	1	0
F148313	Discula destructiva	ingroup	Ascomycota;Sordariomycetes;Diaporthales;Gnomoniaceae;Discula	2	2	1	1	0
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota;Dipodascomycetes;Dipodascales;Trichomonascaceae;Blastobotrys	2	2	1	2	0
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota;Dipodascomycetes;Dipodascales;Dipodascaceae;Magnusiomyces	2	2	1	1	0
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota;Dipodascomycetes;Dipodascales;Trichomonascaceae;Sugiyamaella	2	2	1	2	0
F5580	Aureobasidium pullulans	ingroup	Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium	2	2	1	1	0
F2781224	Neodothiora populina	ingroup	Ascomycota;Dothideomycetes;Dothideales;Dothioraceae;Neodothiora	2	2	1	1	0
F2024903	Zalaria obscura	ingroup	Ascomycota;Dothideomycetes;Dothideales;Zalariaceae;Zalaria	2	2	0	1	0
F1341166	Eremomyces bilateralis	ingroup	Ascomycota;Dothideomycetes;Eremomycetales;Eremomycetaceae;Eremomyces	2	2	1	1	0
F182096	Aspergillus chevalieri	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F5059	Aspergillus flavus	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F746128	Aspergillus fumigatus	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F1069201	Aspergillus luchuensis	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F41759	Aspergillus multicolor	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F162425	Aspergillus nidulans	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F5062	Aspergillus oryzae	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F1810926	Aspergillus stella-maris	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F1810928	Aspergillus undulatus	ingroup	Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus	2	2	1	1	0
F315204	Geoglossum umbratile	ingroup	Ascomycota;Geoglossomycetes;Geoglossales;Geoglossaceae;Geoglossum	2	2	1	1	0
F1670608	Glutinoglossum americanum	ingroup	Ascomycota;Geoglossomycetes;Geoglossales;Geoglossaceae;Glutinoglossum	2	2	1	1	0
F265104	Trichoglossum hirsutum	ingroup	Ascomycota;Geoglossomycetes;Geoglossales;Geoglossaceae;Trichoglossum	2	2	1	1	0
F1671311	Colletotrichum abscissum	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F1209916	Colletotrichum costaricense	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F34406	Colletotrichum destructivum	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F710243	Colletotrichum fioriniae	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
F80884	Colletotrichum higginsianum	ingroup	Ascomycota;Sordariomycetes;Glomerellales;Glomerellaceae;Colletotrichum	2	2	1	1	0
