taxon_id	proteins	cds_records	proteins_without_cds	exact_translation	translation_mismatch	non_triplet_length	annotation_exception_requires_review	missing_or_ambiguous_protein_id	multiple_cds_records_for_protein
F34349	6838	6838	0	6817		21			
F112072	10411	10411	0	10296	12	103			
F1419009	10514	10514	0	10500		14			
F378194	13761	13761	0	13744		17			
F599839	9184	9184	0	9184					
F5630	13744	13744	0	13637		107			
F5365	15367	15376	0	15303		64		9	
F231932	13918	13918	0	13639		279			
F104341	12539	12539	0	12472		67			
F181123	133973	133973	0	131367	26	2580			
F60197	13767	13772	0	13463		304		5	
F203908	16255	16263	0	16208		47		8	
F170000	19617	19617	0	19139		478			
F208348	12736	12736	0	12723		13			
F48021	15125	15125	0	15006		119			
F135208	11007	11007	0	10383		624			
F984962	13273	13274	0	13200		73		1	
F152956	12062	12062	0	11902	19	141			
F40492	14062	14064	0	13975		87		2	
F1314805	10966	10966	0	10890		76			
F65672	9435	9441	0	9415	1	19		6	
F2600213	12384	12384	0	11479		905			
F2600215	12042	12042	0	11194		848			
F2600216	12019	12019	0	11239		780			
F109899	15245	15245	0	14916		329			
F2834505	13076	13076	0	12936		140			
F467971	13654	13654	0	13553		101			
F69979	9061	9061	0	9029	8	24			
F100910	9040	9040	0	9030		10			
F29898	7225	7225	0	7202		23			
F5286	8140	8140	0	8125	1	14			
F500713	6591	6591	0	6570		21			
F183962	7657	7657	0	7593		64			
F370292	12640	12641	0	12481		159		1	
F56493	13337	13337	0	13216		121			
F13290	10043	10052	0	9374	8	661		9	
F13291	10042	10066	0	9102	11	929		24	
F157183	10311	10334	0	9336	10	965		23	
F1031713	9992	9992	0	9894	11	87			
F117179	7842	7842	0	7725		117			
F104669	10306	10306	0	10304			2		
F552467	6694	6694	0	6694					
F1859122	6557	6557	0	6557					
F40410	6863	6863	0	6860			3		
F5208	6341	6341	0	6340		1			
F1859096	6408	6408	0	6408					
F37769	6565	6575	0	6565				10	
F5207	7826	7826	0	7826					
F1859121	6646	6646	0	6646					
F5619	8094	8094	0	8086		2	6		
F105984	9143	9143	0	9137		6			
F1890679	7058	7058	0	7056		2			
F279322	7753	7753	0	7753					
F82508	8311	8311	0	8309	2				
F143232	10002	10002	0	10002					
F1055551	7254	7254	0	7198	14	42			
F1269715	7011	7011	0	7008		3			
F84753	6764	6764	0	6728		36			
F84751	6877	6877	0	6877					
F280036	6591	6596	0	6591				5	
F1882483	7069	7069	0	6985		40	44		
F120017	7449	7449	0	7449					
F1673888	8058	8058	0	7979		79			
F1708542	5087	5087	0	5073		14			
F1540922	4115	4115	0	4115					
F245174	4863	4863	0	4862			1		
F1708541	5277	5277	0	5252		25			
F64504	8889	8889	0	8819		70			
F64505	9981	9981	0	9802		179			
F28583	19447	19447	0	19443	1		3		
F64508	9427	9427	0	9177		250			
F4808	10031	10031	0	10019		12			
F109876	12763	12763	0	12076		687			
F945690	7608	7608	0	7207		401			
F3075319	8697	8697	0	8648		49			
F1500003	10857	10857	0	10685		172			
F911321	11722	11722	0	11702		20			
F1555241	6168	6168	0	6118		44	6		
F1774096	10332	10332	0	9448		884			
F109932	9698	9698	0	9494		204			
F1604274	15890	15890	0	12422		3468			
F109889	9112	9112	0	8772		340			
F110093	10669	10670	0	10595		74		1	
F2735257	11278	11278	0	10153		1125			
F64517	12571	12571	0	12271		300			
F382532	11534	11534	0	11211		323			
F1396493	10065	10065	0	10026		39			
F109760	9422	9422	0	9421		1			
F1806994	6304	6304	0	6304					
F34488	10572	10572	0	10228		344			
F34485	42657	42657	0	42514		143			
F348617	5453	5453	0	4876		577			
F76012	8866	8866	0	8693		173			
F144530	13690	13690	0	12426	15	1249			
F144679	14642	14642	0	12533	24	2085			
F50956	23936	23936	0	23762	1	173			
F27376	14505	14505	0	11278	68	3159			
F1348612	28348	28348	0	28348					
F4874	29544	30022	0	29443		101		478	
F2562287	14662	14662	0	13716	9	937			
F1117311	20094	20094	0	17282	17	2795			
F658196	21158	21158	0	20643		515			
F588596	31153	31153	0	31153					
F144538	11842	11842	0	10938	13	891			
F144539	11385	11385	0	10020	23	1342			
F215637	7102	7102	0	6873		229			
F1520584	6829	6829	0	5961		868			
F78921	12150	12150	0	11746		404			
F61424	7338	7338	0	7180		158			
F133377	7385	7385	0	7205		180			
F133385	6519	6519	0	6405		114			
F1213189	8068	8068	0	7645		423			
F2650707	6212	6212	0	5523		689			
F4866	6346	6346	0	5737		609			
F61397	7284	7284	0	7131		153			
F61395	9350	9350	0	9190		160			
F304332	9222	9222	0	8957		265			
F164912	2865	2865	0	2865					
F70536	4190	4190	0	4152	4	33	1		
F6035	2122	2122	0	2122					
F174680	2331	2331	0	2328		3			
F174688	3537	3537	0	3526		11			
F1176355	3595	3595	0	3594		1			
F1081669	2691	2691	0	2688		3			
F1300064	2636	2636	0	2515	115	6			
F3039483	1826	1826	0	1824		2			
F291195	3013	3013	0	2940	1	72			
F6039	3161	3161	0	3142	19				
F103449	2773	2773	0	2719	11	42	1		
F82268	15173	15175	0	15037		136		2	
F1123529	13831	13831	0	13726		105			
F2725673	10034	10034	0	8909		1125			
F1343610	9892	9892	0	9523		369			
F979620	12578	12579	0	12400		178		1	
F101097	11098	11098	0	10485		613			
F101098	12220	12220	0	12098		122			
F979690	12079	12079	0	11523		556			
F1897645	13339	13339	0	10872		2467			
F604196	12120	12120	0	10971		1149			
F64571	11822	11822	0	11714		108			
F979761	10951	10951	0	9442		1509			
F1440133	12900	12900	0	10553		2347			
F1343614	10414	10414	0	10188		226			
F64525	11885	11885	0	11213		672			
F1938954	5719	5719	0	5503		216			
F2340872	9491	9546	0	9366			125	55	
F994334	13535	13616	0	13283		1	251	81	
F708070	13295	13295	0	13290		5			
F64632	10914	10914	0	10719		195			
F4837	16543	16543	0	16429		114			
F4840	10974	10974	0	10968		6			
F58291	10890	10890	0	10773		117			
F91625	9033	9033	0	9014	19				
F64526	8971	8971	0	8966		5			
F41833	9923	9923	0	9887		36			
F44442	8240	8240	0	8234		6			
F1754192	12833	12833	0	12658		175			
F1754190	20214	20214	0	20004		210			
F2767002	27675	27675	0	27429		246			
F3108450	23663	23663	0	23474		189			
F1754191	10978	10978	0	10830		148			
F73868	14612	14612	0	13993		619			
F278681	8476	8476	0	8395			81		
F1246581	3766	3766	0	3764	2				
F281847	6350	6350	0	6135	12	203			
F1907219	4301	4301	0	4186		115			
F1286916	5811	5811	0	5804		7			
F1851187	8845	8845	0	8721		124			
F1851185	8032	8032	0	7927		105			
F1712513	6118	6118	0	5973		141	4		
F78915	6857	6857	0	6713		144			
O691883	6309	6309	0	6306	3				
O81824	9202	9205	0	9095		107		3	
O946362	11725	11725	0	11681		43	1		
O192875	8792	8792	0	8719	18	55			
O72019	18730	18730	0	16601	58	2071			
O529818	10598	10598	0	10595	1	2			
O5755	14969	14969	0	14851		115	3		
O44689	13315	13315	0	13221		54	40		
O5786	12395	12399	0	12346		49		4	
O133409	10622	10651	0	10365	2	255		29	
O1890364	17124	17124	0	16835	14	275			
O400682	23542	23543	0	22511	2	865	163		2
O45351	32370	32370	0	32225			145		
O10228	11306	11306	0	11268		38			
O27923	26504	26504	0	25824	621	59			
O7227	30802	30802	0	29980	45		777		
O6239	28602	30560	0	28542	43		17	1958	
O283909	31978	31978	0	31261		717			
O225164	23822	23831	0	23626		196		9	
O2700040	48498	48498	0	48309		3	186		
