taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	125	113	112	112	49027	35005	5483	1788	25	6688	38	0.713994329655088
F5580	Aureobasidium pullulans	ingroup	Ascomycota	125	123	122	122	49027	37818	714	3310	20	7134	31	0.7713708772717074
F2781224	Neodothiora populina	ingroup	Ascomycota	125	0	0	0	49027	0	3401	45626	0	0	0	0.0
F2024903	Zalaria obscura	ingroup	Ascomycota	125	0	0	0	49027	0	5378	43649	0	0	0	0.0
F1341166	Eremomyces bilateralis	ingroup	Ascomycota	125	120	118	118	49027	37389	1286	4074	19	6232	27	0.7626205968140004
F182096	Aspergillus chevalieri	ingroup	Ascomycota	125	122	121	121	49027	37899	1686	2893	19	6499	31	0.7730230281273583
F5059	Aspergillus flavus	ingroup	Ascomycota	125	123	123	123	49027	38761	696	3310	18	6214	28	0.7906051767393477
F746128	Aspergillus fumigatus	ingroup	Ascomycota	125	90	90	90	49027	28014	689	16058	13	4197	56	0.5713994329655088
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	125	122	122	122	49027	38525	1047	3307	20	6082	46	0.7857915026414016
F41759	Aspergillus multicolor	ingroup	Ascomycota	125	0	0	0	49027	0	732	48295	0	0	0	0.0
F162425	Aspergillus nidulans	ingroup	Ascomycota	125	117	117	117	49027	36368	1999	4925	18	5640	77	0.7417953372631407
F5062	Aspergillus oryzae	ingroup	Ascomycota	125	114	114	114	49027	36954	2020	3825	20	6174	34	0.7537479348114304
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	125	123	123	123	49027	38768	536	3307	20	6351	45	0.7907479552083546
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	125	0	0	0	49027	0	1379	47648	0	0	0	0.0
F1810928	Aspergillus undulatus	ingroup	Ascomycota	125	0	0	0	49027	0	706	48321	0	0	0	0.0
F315204	Geoglossum umbratile	ingroup	Ascomycota	125	0	0	0	49027	0	2048	46979	0	0	0	0.0
F1670608	Glutinoglossum americanum	ingroup	Ascomycota	125	117	117	117	49027	34801	3079	4698	14	6408	27	0.7098333571297448
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	125	0	0	0	49027	0	3411	45616	0	0	0	0.0
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	125	104	104	104	49027	32665	656	10685	16	4988	17	0.6662655271585045
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	125	122	122	122	49027	38478	621	3309	19	6569	31	0.7848328472066413
F34406	Colletotrichum destructivum	ingroup	Ascomycota	125	121	121	121	49027	37805	1468	3287	19	6412	36	0.7711057172578375
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	125	32	32	32	49027	9652	2020	36326	8	1015	6	0.19687111183633507
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	125	116	116	116	49027	35557	1770	5837	15	5817	31	0.7252534317824872
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	125	118	118	118	49027	36397	1759	4576	18	6245	32	0.742386848063312
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	125	2	2	2	49027	260	1252	47510	0	5	0	0.005303200277398169
F1095194	Colletotrichum karsti	ingroup	Ascomycota	125	120	118	118	49027	36918	1238	4712	16	6112	31	0.7530136455422523
F145971	Colletotrichum lupini	ingroup	Ascomycota	125	115	114	114	49027	35593	1258	6074	15	6054	33	0.7259877210516654
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	125	62	62	62	49027	19579	658	26159	13	2607	11	0.3993513778122259
F5570	Cenococcum geophilum	ingroup	Ascomycota	125	1	1	1	49027	127	2811	46083	0	6	0	0.0025904093662675667
F574774	Glonium stellatum	ingroup	Ascomycota	125	119	118	118	49027	36786	2254	3271	16	6656	44	0.7503212515552654
F5101	Amorphotheca resinae	ingroup	Ascomycota	125	122	122	122	49027	37737	704	3888	23	6647	28	0.7697187264160564
F40559	Botrytis cinerea	ingroup	Ascomycota	125	115	115	115	49027	36068	3696	3305	19	5897	42	0.735676260019989
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	125	121	120	120	49027	37737	712	3749	18	6739	72	0.7697187264160564
F195108	Fusarium falciforme	ingroup	Ascomycota	125	60	60	60	49027	17647	2117	26846	11	2385	21	0.35994452036632874
F5127	Fusarium fujikuroi	ingroup	Ascomycota	125	119	119	119	49027	36308	2125	4089	18	6450	37	0.7405715218145104
F5518	Fusarium graminearum	ingroup	Ascomycota	125	101	101	101	49027	30060	748	13034	17	5139	29	0.6131315397638036
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	125	22	22	22	49027	4724	849	43013	6	427	8	0.09635506965549595
F1042133	Fusarium musae	ingroup	Ascomycota	125	120	120	120	49027	37663	1349	3305	18	6644	48	0.7682093540294124
