split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x14500000000000000000000000000000000000000000000000000000000000000000000000000000000000000029000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	8	0	8	473	559	481	0.0	56.0	1e-06
0x54500000000000000000000000000000000000000000000000000000000000000000000000000000000000000029000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	9	0	9	473	558	482	77.2	65.0	0.0067034319
0x55500000000000000000000000000000000000000000000000000000000000000000000000000000000000000029000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	10	0	10	473	557	483	94.5	96.0	0.033352748
0x400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	97.3	100.0	0.0399841789
0x400000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	51.4	64.0	0.0195715795
0x400000000000000000000000000000000000000000000000000000400000000055500000000000000000000000000000000000000010000000000000000000000000000000000000000000000029000000000000000000000000000000000000000000000000000000000000000400000000000000000000000	13	0	13	473	554	486	71.9	52.0	0.0167810692
0x400800050000000000000080000000000000100000440000000000a000000400000000055500400000000020080009080000000000000000010000000000000000200000000000000284000004000800029000000000000000000000000001000000000000000600000010000000000000400000000000000002800002	41	0	41	473	526	514	74.6	55.0	0.0086880288
0x4000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	80.9	88.0	0.0113306422
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	69.8	72.0	0.0128639762
0x100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000004000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000	4	0	4	473	563	477	84.8	79.0	0.0141816627
0x400800050010000000000080000000000000100000440000000000a000000400000000055500400000000020080009080000000000000000010000000004000004200000000000000284000004000800029000000000100000000000000001000000000000000600000010000000000000400000000000000002800002	45	0	45	473	522	518	99.5	100.0	0.0754772995
0x1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000	2	0	2	473	565	475	87.0	85.0	0.016310999
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000	3	0	3	473	564	476	83.6	87.0	0.0263985361
0x22000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	0.0	43.0	2.1476e-06
0x32000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	81.4	100.0	0.033275521
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000	6	0	6	473	561	479	100.0	100.0	0.4474325008
0x14000000000000000000000000000000000000000	2	0	2	473	565	475	39.3	58.0	0.0275784754
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014000000000000000000000000000000000000000	3	0	3	473	564	476	26.8	53.0	0.0410001773
0x20000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000014000000000000000000000000000000000000000	4	0	4	473	563	477	97.0	97.0	0.0858833279
0x20000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000800001000000000032000000000000000000000000000000000000000000000000000000000000000000014000000000000000000000004000000000000000	10	0	10	473	557	483	22.3	50.0	0.0209383771
0x4000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	100.0	100.0	0.1248769904
0x20000000000000000000000000000000020000000000000000000004000000000000000000000000000000000000000000010800001000000000032000000000000000000000000000000000000000000000000000000000000000000014000000000000000000000004000000000000000	12	0	12	473	555	485	82.6	66.0	0.0178529957
0x400800050010000000000082000000000000100000440000000000a020000400000000055500404000000020080009080000000000000000010000000014800005200000000032000284000004000800029000000000100000000000000001000000000000000600014010000000000000400000004000000002800002	983	473	510	0	57	510	89.8	80.0	0.0428744451
0x80000000000100000000000000000000000000000000000000000000000	2	0	2	473	565	475	90.7	74.0	0.0274188595
0x80000000000100000000000000000000000000040000000000000000000	3	0	3	473	564	476	72.3	59.0	0.0104020004
0x80000000000100000000000000000000000000840000000000000000000	4	0	4	473	563	477	87.7	69.0	0.0273972717
