group	genes	taxa	distinct_sequences	genes_with_within_taxon_exact_duplicate	sequence_length_q0	sequence_length_q0.1	sequence_length_q0.5	sequence_length_q0.9	sequence_length_q1	canonical_fraction_q0	canonical_fraction_q0.1	canonical_fraction_q0.5	canonical_fraction_q0.9	canonical_fraction_q1	canonical_entropy_bits_q0	canonical_entropy_bits_q0.1	canonical_entropy_bits_q0.5	canonical_entropy_bits_q0.9	canonical_entropy_bits_q1	effective_residue_alphabet_q0	effective_residue_alphabet_q0.1	effective_residue_alphabet_q0.5	effective_residue_alphabet_q0.9	effective_residue_alphabet_q1	maximum_canonical_residue_fraction_q0	maximum_canonical_residue_fraction_q0.1	maximum_canonical_residue_fraction_q0.5	maximum_canonical_residue_fraction_q0.9	maximum_canonical_residue_fraction_q1	source_retention_fraction_q0	source_retention_fraction_q0.1	source_retention_fraction_q0.5	source_retention_fraction_q0.9	source_retention_fraction_q1	alignment_nongap_fraction_q0	alignment_nongap_fraction_q0.1	alignment_nongap_fraction_q0.5	alignment_nongap_fraction_q0.9	alignment_nongap_fraction_q1
all	55981	346	55596	571	37.0	102.0	183.0	484.0	3792.0	0.8666666666666667	1.0	1.0	1.0	1.0	3.1967336932867094	4.01957021611797	4.136080301897887	4.205642942973236	4.284680047909847	9.16880486223712	16.218519403431355	17.58264612225936	18.451202571024297	19.49024131284947	0.0653061224489796	0.08955223880597014	0.1065989847715736	0.13157894736842105	0.2786885245901639	1.0	1.0	1.0	1.0	1.0	0.0013358847528613207	0.003682709318698776	0.006607213777665451	0.0174748167671589	0.13691013467162508
focal	46787	1	46782	10	50.0	102.0	172.0	346.0	1566.0	0.9512195121951219	1.0	1.0	1.0	1.0	3.5273238150046415	4.0227436024346686	4.1350332741431295	4.208988678665716	4.284680047909847	11.530025631350505	16.254233309162885	17.569890245733557	18.494042175068817	19.49024131284947	0.06666666666666667	0.09	0.10743801652892562	0.13178294573643412	0.21666666666666667	1.0	1.0	1.0	1.0	1.0	0.0018052496660288118	0.003682709318698776	0.006210058851139112	0.012492327688919377	0.05654041954002238
other	9194	345	8814	561	37.0	103.0	417.0	1453.7000000000007	3792.0	0.8666666666666667	1.0	1.0	1.0	1.0	3.1967336932867094	3.9986558722713115	4.14159235031288	4.188243927740033	4.269062272120305	9.16880486223712	15.985100088513356	17.649951950498114	18.23001606704126	19.28038923575319	0.0653061224489796	0.08823529411764706	0.10215581891543613	0.13106381213177332	0.2786885245901639	1.0	1.0	1.0	1.0	1.0	0.0013358847528613207	0.003718814312019352	0.015055782214680291	0.0524858287901217	0.13691013467162508
