taxon_id	species_name	study_role	lineage	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
F104355	Gloeophyllum trabeum	ingroup	Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Gloeophyllum	8	8	0	1	7	1.0	1.0	8	8	1	1
F5364	Heliocybe sulcata	ingroup	Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Heliocybe	6	6	0	0	6	1.0	1.0	6	6	1	1
F38799	Neolentinus lepideus	ingroup	Basidiomycota;Agaricomycetes;Gloeophyllales;Gloeophyllaceae;Neolentinus	7	6	1	0	6	0.8571428571428571	0.8571428571428571	7	6	1	1
F112417	Gautieria morchelliformis	ingroup	Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Gautieria	28	24	4	3	21	0.8571428571428571	0.84	28	24	1	1
F113071	Ramaria rubella	ingroup	Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Ramaria	28	25	3	4	21	0.8928571428571429	0.875	28	25	1	1
F45228	Heterogastridium pycnidioideum	ingroup	Basidiomycota;Microbotryomycetes;Heterogastridiales;Heterogastridiaceae;Heterogastridium	28	28	0	5	23	1.0	1.0	28	28	1	1
F257869	Holtermanniella festucosa	ingroup	Basidiomycota;Tremellomycetes;Holtermanniales;Holtermanniella	28	26	2	3	23	0.9285714285714286	0.92	28	26	1	1
F135589	Coniferiporia weirii	ingroup	Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Coniferiporia	28	26	2	3	23	0.9285714285714286	0.92	28	26	1	1
F208960	Fomitiporia mediterranea	ingroup	Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Fomitiporia	30	25	5	4	21	0.8333333333333334	0.8076923076923077	30	25	1	1
F2282107	Pyrrhoderma noxium	ingroup	Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Pyrrhoderma	8	8	0	1	7	1.0	1.0	8	8	1	1
F50990	Rickenella mellea	ingroup	Basidiomycota;Agaricomycetes;Hymenochaetales;Rickenellaceae;Rickenella	7	7	0	0	7	1.0	1.0	7	7	1	1
F27342	Schizopora paradoxa	ingroup	Basidiomycota;Agaricomycetes;Hymenochaetales;Schizoporaceae;Schizopora	8	8	0	2	6	1.0	1.0	8	8	1	1
F150792	Hysterangium stoloniferum	ingroup	Basidiomycota;Agaricomycetes;Hysterangiales;Hysterangiaceae;Hysterangium	28	23	5	4	19	0.8214285714285714	0.7916666666666666	28	23	1	1
F202697	Jaapia argillacea	ingroup	Basidiomycota;Agaricomycetes;Jaapiales;Jaapiaceae;Jaapia	8	8	0	1	7	1.0	1.0	8	8	1	1
F1323573	Meredithblackwellia eburnea	ingroup	Basidiomycota;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Meredithblackwellia	28	26	2	7	19	0.9285714285714286	0.9047619047619048	28	26	1	1
F418498	Phenoliferia psychrophenolica	ingroup	Basidiomycota;Microbotryomycetes;Kriegeriales;Kriegeriaceae;Phenoliferia	28	28	0	5	23	1.0	1.0	28	28	1	1
