cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
same_proteins_all_thresholds	0	esm_experiment_rmsd_angstrom	1	1	24.086126793638925	24.086126793638925	24.086126793638925			
same_proteins_all_thresholds	0	esm_experiment_local_mean_absolute_difference_angstrom	1	1	2.216618622091988	2.216618622091988	2.216618622091988			
same_proteins_all_thresholds	0	esm_experiment_local_rms_difference_angstrom	1	1	8.826411803838967	8.826411803838967	8.826411803838967			
same_proteins_all_thresholds	0	af_esm_rmsd_angstrom	1	1	24.21191704283307	24.21191704283307	24.21191704283307			
same_proteins_all_thresholds	0	af_esm_local_mean_absolute_difference_angstrom	1	1	2.03045441196745	2.03045441196745	2.03045441196745			
same_proteins_all_thresholds	0	af_esm_local_rms_difference_angstrom	1	1	8.586174381369274	8.586174381369274	8.586174381369274			
same_proteins_all_thresholds	0	paired_delta_rmsd_angstrom	1	1	22.461145568166863	22.461145568166863	22.461145568166863	1	0	0
same_proteins_all_thresholds	0	paired_delta_local_mean_absolute_difference_angstrom	1	1	1.7607224969848752	1.7607224969848752	1.7607224969848752	1	0	0
same_proteins_all_thresholds	0	paired_delta_local_rms_difference_angstrom	1	1	7.949194833279762	7.949194833279762	7.949194833279762	1	0	0
same_proteins_all_thresholds	70	af_experiment_rmsd_angstrom	1	1	1.386457602061525	1.386457602061525	1.386457602061525			
same_proteins_all_thresholds	70	af_experiment_local_mean_absolute_difference_angstrom	1	1	0.37605163260026137	0.37605163260026137	0.37605163260026137			
same_proteins_all_thresholds	70	af_experiment_local_rms_difference_angstrom	1	1	0.644879976413735	0.644879976413735	0.644879976413735			
same_proteins_all_thresholds	70	esm_experiment_rmsd_angstrom	1	1	22.87817830515762	22.87817830515762	22.87817830515762			
same_proteins_all_thresholds	70	esm_experiment_local_mean_absolute_difference_angstrom	1	1	1.260988794497945	1.260988794497945	1.260988794497945			
same_proteins_all_thresholds	70	esm_experiment_local_rms_difference_angstrom	1	1	6.17369018364225	6.17369018364225	6.17369018364225			
same_proteins_all_thresholds	70	af_esm_rmsd_angstrom	1	1	23.128323112955673	23.128323112955673	23.128323112955673			
same_proteins_all_thresholds	70	af_esm_local_mean_absolute_difference_angstrom	1	1	1.1220267547798861	1.1220267547798861	1.1220267547798861			
same_proteins_all_thresholds	70	af_esm_local_rms_difference_angstrom	1	1	6.157714495311457	6.157714495311457	6.157714495311457			
same_proteins_all_thresholds	70	paired_delta_rmsd_angstrom	1	1	21.584792599661494	21.584792599661494	21.584792599661494	1	0	0
same_proteins_all_thresholds	70	paired_delta_local_mean_absolute_difference_angstrom	1	1	0.8848103730637668	0.8848103730637668	0.8848103730637668	1	0	0
same_proteins_all_thresholds	70	paired_delta_local_rms_difference_angstrom	1	1	5.466335244598694	5.466335244598694	5.466335244598694	1	0	0
same_proteins_all_thresholds	90	af_experiment_rmsd_angstrom	1	1	1.1345583593622606	1.1345583593622606	1.1345583593622606			
same_proteins_all_thresholds	90	af_experiment_local_mean_absolute_difference_angstrom	1	1	0.30004411812942844	0.30004411812942844	0.30004411812942844			
same_proteins_all_thresholds	90	af_experiment_local_rms_difference_angstrom	1	1	0.38589968415403597	0.38589968415403597	0.38589968415403597			
same_proteins_all_thresholds	90	esm_experiment_rmsd_angstrom	1	1	22.03627413721388	22.03627413721388	22.03627413721388			
same_proteins_all_thresholds	90	esm_experiment_local_mean_absolute_difference_angstrom	1	1	0.4077257482490882	0.4077257482490882	0.4077257482490882			
same_proteins_all_thresholds	90	esm_experiment_local_rms_difference_angstrom	1	1	1.590589737788411	1.590589737788411	1.590589737788411			
same_proteins_all_thresholds	90	af_esm_rmsd_angstrom	1	1	22.296889611481557	22.296889611481557	22.296889611481557			
same_proteins_all_thresholds	90	af_esm_local_mean_absolute_difference_angstrom	1	1	0.23430978749745707	0.23430978749745707	0.23430978749745707			
same_proteins_all_thresholds	90	af_esm_local_rms_difference_angstrom	1	1	1.5809338761700051	1.5809338761700051	1.5809338761700051			
same_proteins_all_thresholds	90	paired_delta_rmsd_angstrom	1	1	20.898718841958466	20.898718841958466	20.898718841958466	1	0	0
same_proteins_all_thresholds	90	paired_delta_local_mean_absolute_difference_angstrom	1	1	0.10202182793807102	0.10202182793807102	0.10202182793807102	1	0	0
same_proteins_all_thresholds	90	paired_delta_local_rms_difference_angstrom	1	1	1.195811692377475	1.195811692377475	1.195811692377475	1	0	0
