taxon_id	species_name	study_role	lineage_group	dataset	selection_reason	broad_markers	broad_complete_percent	broad_single_copy_percent	broad_duplicated_percent	broad_fragmented_percent	broad_missing_percent	lineage_qc_status	lineage_markers	lineage_complete	lineage_single_copy	lineage_duplicated	lineage_fragmented	lineage_missing	lineage_complete_percent	lineage_single_copy_percent	lineage_duplicated_percent	lineage_fragmented_percent	lineage_missing_percent
F1590129	Xylographa bjoerkii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	96.0	96.0	0.0	0.0	4.0	audited_lineage_panel	2557	2434	2388	46	29	94	95.18967540086038	93.39069221744232	1.798983183418068	1.1341415721548689	3.6761830269847477
F462254	Aplosporella prunicola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	98.4	1.6	0.0	0.0	audited_lineage_panel	2557	2535	2507	28	11	11	99.13961673836528	98.0445834962847	1.095033242080563	0.4301916308173641	0.4301916308173641
F236234	Diplodia corticola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	99.2	0.8	0.0	0.0	audited_lineage_panel	2557	2547	2544	3	2	8	99.60891669925694	99.49159170903403	0.11732499022291748	0.07821666014861166	0.31286664059444663
F121624	Phyllosticta capitalensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2520	2519	1	24	13	98.55299178725069	98.51388345717638	0.03910833007430583	0.9385999217833398	0.5084082909659757
F3058885	Dirinaria sp. TL-2023a	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	77.6	77.6	0.0	4.0	18.4	audited_lineage_panel	2557	1979	1976	3	106	472	77.39538521705123	77.27806022682832	0.11732499022291748	4.1454829878764174	18.459131795072352
F116794	Heterodermia speciosa	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	97.6	96.8	0.8	0.0	2.4	audited_lineage_panel	2557	2461	2458	3	28	68	96.24560031286664	96.12827532264372	0.11732499022291748	1.095033242080563	2.6593664450527963
F116821	Physcia stellaris	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	97.6	97.6	0.0	0.0	2.4	audited_lineage_panel	2557	2293	2291	2	46	218	89.67540086038326	89.59718420023465	0.07821666014861166	1.798983183418068	8.52561595619867
F41990	Pleurostoma richardsiae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	98.4	1.6	0.0	0.0	audited_lineage_panel	2557	2529	2522	7	18	10	98.90496675791944	98.6312084473993	0.27375831052014077	0.7039499413375049	0.39108330074305825
F460848	Candelaria pacifica	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	96.0	95.2	0.8	0.8	3.2	audited_lineage_panel	2557	2342	2341	1	37	178	91.59170903402425	91.55260070394993	0.03910833007430583	1.4470082127493156	6.961282753226437
F460854	Candelina submexicana	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	96.0	96.0	0.0	0.0	4.0	audited_lineage_panel	2557	2363	2357	6	48	146	92.41298396558467	92.17833398513883	0.23464998044583496	1.8771998435666797	5.709816190848651
F1453791	Pycnora praestabilis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	96.0	96.0	0.0	2.4	1.6	audited_lineage_panel	2557	2458	2458	0	28	71	96.12827532264372	96.12827532264372	0.0	1.095033242080563	2.7766914352757137
F147573	Piedraia hortae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	97.6	97.6	0.0	0.8	1.6	audited_lineage_panel	2557	2293	2287	6	113	151	89.67540086038326	89.44075087993743	0.23464998044583496	4.4192412983965585	5.90535784122018
F705562	Polychaeton citri	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2516	2513	3	24	17	98.39655846695346	98.27923347673054	0.11732499022291748	0.9385999217833398	0.6648416112631991
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	99.2	99.2	0.0	0.0	0.8	audited_lineage_panel	2557	2502	2482	20	7	48	97.84904184591318	97.06687524442707	0.7821666014861165	0.27375831052014077	1.8771998435666797
F223376	Phialemonium thermophilum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	86.4	85.6	0.8	2.4	11.2	audited_lineage_panel	2557	1902	1892	10	91	564	74.38404380132968	73.99296050058662	0.39108330074305825	3.5588580367618303	22.05709816190849
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	97.6	2.4	0.0	0.0	audited_lineage_panel	2557	2527	2507	20	12	18	98.82675009777083	98.0445834962847	0.7821666014861165	0.4692999608916699	0.7039499413375049
F293227	Cyphellophora europaea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	99.2	0.8	0.0	0.0	audited_lineage_panel	2557	2511	2509	2	13	33	98.20101681658193	98.12280015643331	0.07821666014861166	0.5084082909659757	1.2905748924520923
F2486360	Exophiala viscosa	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2519	2516	3	5	33	98.51388345717638	98.39655846695346	0.11732499022291748	0.19554165037152912	1.2905748924520923
F1690604	Lithohypha guttulata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	96.0	95.2	0.8	0.0	4.0	audited_lineage_panel	2557	2344	2342	2	31	182	91.66992569417286	91.59170903402425	0.07821666014861166	1.2123582323034807	7.117716073523661
F1052096	Cladosporium halotolerans	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	100.0	0.0	0.0	0.0	audited_lineage_panel	2557	2541	2534	7	8	8	99.3742667188111	99.10050840829096	0.27375831052014077	0.31286664059444663	0.31286664059444663
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel	125	100.0	12.0	88.0	0.0	0.0	audited_lineage_panel	2557	2527	248	2279	5	25	98.82675009777083	9.698865858427846	89.12788423934298	0.19554165037152912	0.9777082518576456
