taxon_id	species_name	study_role	lineage	marker_links	unique_source_cds	no_source_cds	multiple_source_cds_records	alternative_product_markers	unresolved_gene_markers
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	120	120	0	0	0	0
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	124	124	0	0	0	0
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	124	124	0	0	0	0
F34406	Colletotrichum destructivum	ingroup	Ascomycota	123	123	0	0	0	0
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	120	120	0	0	0	0
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	122	122	0	0	0	0
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	122	122	0	0	0	0
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	124	124	0	0	0	0
F1095194	Colletotrichum karsti	ingroup	Ascomycota	124	124	0	0	0	0
F145971	Colletotrichum lupini	ingroup	Ascomycota	123	123	0	0	0	0
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	124	124	0	0	0	0
F5570	Cenococcum geophilum	ingroup	Ascomycota	121	121	0	0	0	0
F574774	Glonium stellatum	ingroup	Ascomycota	121	121	0	0	0	0
F5101	Amorphotheca resinae	ingroup	Ascomycota	125	125	0	0	0	0
F40559	Botrytis cinerea	ingroup	Ascomycota	117	117	0	0	0	0
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	125	125	0	0	0	0
F195108	Fusarium falciforme	ingroup	Ascomycota	121	121	0	0	0	0
F5127	Fusarium fujikuroi	ingroup	Ascomycota	122	122	0	0	0	0
F5518	Fusarium graminearum	ingroup	Ascomycota	124	124	0	0	0	0
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	123	123	0	0	0	0
F1042133	Fusarium musae	ingroup	Ascomycota	122	122	0	0	0	0
F5507	Fusarium oxysporum	ingroup	Ascomycota	125	125	0	0	0	0
F36050	Fusarium poae	ingroup	Ascomycota	124	124	0	0	0	0
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	123	123	0	0	0	0
F5128	Fusarium sambucinum	ingroup	Ascomycota	123	123	0	0	0	0
F117187	Fusarium verticillioides	ingroup	Ascomycota	102	102	0	0	0	0
F173216	Trichoderma aggressivum	ingroup	Ascomycota	122	122	0	0	0	0
