taxon_id	species_name	study_role	lineage	marker_links	unique_source_cds	no_source_cds	multiple_source_cds_records	alternative_product_markers	unresolved_gene_markers
F574677	Sympodiomycopsis kandeliae	ingroup	Basidiomycota	125	125	0	0	0	0
F34349	Mixia osmundae	ingroup	Basidiomycota	124	124	0	0	0	0
F112072	Naohidea sebacea	ingroup	Basidiomycota	123	123	0	0	0	0
F1419009	Clathrus columnatus	ingroup	Basidiomycota	117	117	0	0	0	0
F378194	Epithele typhae	ingroup	Basidiomycota	119	119	0	0	0	0
F599839	Fibroporia radiculosa	ingroup	Basidiomycota	117	117	0	0	0	0
F5630	Laetiporus sulphureus	ingroup	Basidiomycota	123	123	0	0	0	0
F5365	Lentinus tigrinus	ingroup	Basidiomycota	122	122	0	0	0	0
F231932	Phanerochaete carnosa	ingroup	Basidiomycota	114	114	0	0	0	0
F104341	Rhodonia placenta	ingroup	Basidiomycota	122	122	0	0	0	0
F181123	Austropuccinia psidii	ingroup	Basidiomycota	122	122	0	0	0	0
F60197	Cronartium quercuum	ingroup	Basidiomycota	120	120	0	0	0	0
F203908	Melampsora laricis-populina	ingroup	Basidiomycota	122	122	0	0	0	0
F170000	Phakopsora pachyrhizi	ingroup	Basidiomycota	99	99	0	0	0	0
F208348	Puccinia triticina	ingroup	Basidiomycota	117	117	0	0	0	0
F48021	Artomyces pyxidatus	ingroup	Basidiomycota	123	123	0	0	0	0
F135208	Hericium alpestre	ingroup	Basidiomycota	102	102	0	0	0	0
F984962	Heterobasidion irregulare	ingroup	Basidiomycota	120	120	0	0	0	0
F152956	Russula decolorans	ingroup	Basidiomycota	121	121	0	0	0	0
F40492	Stereum hirsutum	ingroup	Basidiomycota	120	120	0	0	0	0
F1314805	Vararia minispora	ingroup	Basidiomycota	124	124	0	0	0	0
F65672	Serendipita indica	ingroup	Basidiomycota	118	118	0	0	0	0
F2600213	Serendipita sp. 400	ingroup	Basidiomycota	93	93	0	0	0	0
F2600215	Serendipita sp. 405	ingroup	Basidiomycota	105	105	0	0	0	0
F2600216	Serendipita sp. 411	ingroup	Basidiomycota	102	102	0	0	0	0
F109899	Serendipita vermifera	ingroup	Basidiomycota	115	115	0	0	0	0
F2834505	Sertulicium niveocremeum	ingroup	Basidiomycota	122	122	0	0	0	0
F467971	Sistotremastrum suecicum	ingroup	Basidiomycota	121	121	0	0	0	0
F69979	Phyllozyma linderae	ingroup	Basidiomycota	125	125	0	0	0	0
F100910	Rhodosporidiobolus nylandii	ingroup	Basidiomycota	123	123	0	0	0	0
F29898	Rhodotorula graminis	ingroup	Basidiomycota	123	123	0	0	0	0
F5286	Rhodotorula toruloides	ingroup	Basidiomycota	125	125	0	0	0	0
F500713	Sporobolomyces koalae	ingroup	Basidiomycota	125	125	0	0	0	0
F183962	Sporobolomyces salmoneus	ingroup	Basidiomycota	124	124	0	0	0	0
F370292	Thelephora ganbajun	ingroup	Basidiomycota	125	125	0	0	0	0
F56493	Thelephora terrestris	ingroup	Basidiomycota	121	121	0	0	0	0
F13290	Tilletia caries	ingroup	Basidiomycota	121	121	0	0	0	0
F13291	Tilletia controversa	ingroup	Basidiomycota	120	120	0	0	0	0
F157183	Tilletia laevis	ingroup	Basidiomycota	122	122	0	0	0	0
F1031713	Tilletia maclaganii	ingroup	Basidiomycota	124	124	0	0	0	0
F117179	Tilletia walkeri	ingroup	Basidiomycota	124	124	0	0	0	0
F104669	Cryptococcus amylolentus	ingroup	Basidiomycota	106	106	0	0	0	0
F552467	Cryptococcus bacillisporus	ingroup	Basidiomycota	124	124	0	0	0	0
F1859122	Cryptococcus decagattii	ingroup	Basidiomycota	125	125	0	0	0	0
F40410	Cryptococcus deneoformans	ingroup	Basidiomycota	125	125	0	0	0	0
F5208	Cryptococcus depauperatus	ingroup	Basidiomycota	124	124	0	0	0	0
F1859096	Cryptococcus deuterogattii	ingroup	Basidiomycota	123	123	0	0	0	0
F37769	Cryptococcus gattii	ingroup	Basidiomycota	124	124	0	0	0	0
F5207	Cryptococcus neoformans	ingroup	Basidiomycota	123	123	0	0	0	0
F1859121	Cryptococcus tetragattii	ingroup	Basidiomycota	124	124	0	0	0	0
F5619	Cryptococcus wingfieldii	ingroup	Basidiomycota	124	124	0	0	0	0
F105984	Apiotrichum porosum	ingroup	Basidiomycota	124	124	0	0	0	0
F1890679	Cryptotrichosporon argae	ingroup	Basidiomycota	125	125	0	0	0	0
F279322	Cutaneotrichosporon cavernicola	ingroup	Basidiomycota	124	124	0	0	0	0
F82508	Trichosporon asahii	ingroup	Basidiomycota	118	118	0	0	0	0
F143232	Vanrija pseudolonga	ingroup	Basidiomycota	121	121	0	0	1	0
F1055551	Tritirachium sp. CBS 265.96	ingroup	Basidiomycota	123	123	0	0	0	0
F1269715	Thecaphora frezii	ingroup	Basidiomycota	117	117	0	0	0	0
F84753	Moesziomyces antarcticus	ingroup	Basidiomycota	122	122	0	0	0	0
F84751	Pseudozyma flocculosa	ingroup	Basidiomycota	124	124	0	0	0	0
F280036	Sporisorium graminicola	ingroup	Basidiomycota	122	122	0	0	0	0
F1882483	Testicularia cyperi	ingroup	Basidiomycota	125	125	0	0	0	0
F120017	Ustilago hordei	ingroup	Basidiomycota	124	124	0	0	0	0
F1673888	Violaceomyces palustris	ingroup	Basidiomycota	121	121	0	0	0	0
F1708542	Wallemia canadensis	ingroup	Basidiomycota	124	124	0	0	0	0
F1540922	Wallemia hederae	ingroup	Basidiomycota	122	122	0	0	0	0
F245174	Wallemia ichthyophaga	ingroup	Basidiomycota	122	122	0	0	0	0
F1708541	Wallemia mellicola	ingroup	Basidiomycota	124	124	0	0	0	0
F64504	Allomyces arbusculus	ingroup	Blastocladiomycota	125	125	0	0	0	0
F64505	Allomyces javanicus	ingroup	Blastocladiomycota	106	106	0	0	0	0
F28583	Allomyces macrogynus	ingroup	Blastocladiomycota	25	25	0	0	0	0
F64508	Blastocladiella britannica	ingroup	Blastocladiomycota	122	122	0	0	0	0
F4808	Blastocladiella emersonii	ingroup	Blastocladiomycota	123	123	0	0	0	0
F109876	Catenaria anguillulae	ingroup	Blastocladiomycota	116	116	0	0	0	0
F945690	Coelomomyces lativittatus	ingroup	Blastocladiomycota	108	108	0	0	0	0
F3075319	Sorochytrium milnesiophthora	ingroup	Blastocladiomycota	120	120	0	0	0	0
F1500003	Paraphysoderma sedebokerense	ingroup	Blastocladiomycota	118	118	0	0	0	0
F911321	Calcarisporiella thermophila	ingroup	Calcarisporiellomycota	121	121	0	0	0	0
F1555241	Caulochytrium protostelioides	ingroup	Chytridiomycota	123	123	0	0	0	0
F1774096	Dinochytrium kinnereticum	ingroup	Chytridiomycota	107	107	0	0	0	0
F109932	Entophlyctis luteolus	ingroup	Chytridiomycota	115	115	0	0	0	0
F1604274	Cladochytrium tenue	ingroup	Chytridiomycota	69	69	0	0	0	0
F109889	Lobulomyces angularis	ingroup	Chytridiomycota	117	117	0	0	0	0
F110093	Polychytrium aggregatum	ingroup	Chytridiomycota	122	122	0	0	0	0
F2735257	Borealophlyctis nickersoniae	ingroup	Chytridiomycota	117	117	0	0	0	0
F64517	Rhizophlyctis rosea	ingroup	Chytridiomycota	123	123	0	0	0	0
F382532	Globomyces pollinis-pini	ingroup	Chytridiomycota	124	124	0	0	0	0
F1396493	Fimicolochytrium jonesii	ingroup	Chytridiomycota	119	119	0	0	0	0
F109760	Spizellomyces punctatus	ingroup	Chytridiomycota	120	120	0	0	0	0
F1806994	Synchytrium microbalum	ingroup	Chytridiomycota	122	122	0	0	0	0
F34488	Conidiobolus coronatus	ingroup	Entomophthoromycota	121	121	0	0	0	0
F34485	Entomophthora muscae	ingroup	Entomophthoromycota	29	29	0	0	0	0
F348617	Massospora cicadina	ingroup	Entomophthoromycota	81	81	0	0	0	0
F76012	Neoconidiobolus thromboides	ingroup	Entomophthoromycota	120	120	0	0	0	0
F144530	Ambispora gerdemannii	ingroup	Glomeromycota	123	123	0	0	0	0
F144679	Ambispora leptoticha	ingroup	Glomeromycota	121	121	0	0	0	0
F50956	Geosiphon pyriformis	ingroup	Glomeromycota	120	120	0	0	0	0
F27376	Acaulospora colombiana	ingroup	Glomeromycota	86	86	0	0	0	0
F1348612	Diversispora epigaea	ingroup	Glomeromycota	120	120	0	0	0	0
F4874	Gigaspora margarita	ingroup	Glomeromycota	98	98	0	0	0	0
F2562287	Entrophospora sp. SA101	ingroup	Glomeromycota	116	116	0	0	0	0
F1117311	Funneliformis geosporum	ingroup	Glomeromycota	121	121	0	0	0	0
F658196	Glomus cerebriforme	ingroup	Glomeromycota	124	124	0	0	0	0
F588596	Rhizophagus irregularis	ingroup	Glomeromycota	118	118	0	0	0	0
F144538	Paraglomus brasilianum	ingroup	Glomeromycota	121	121	0	0	0	0
F144539	Paraglomus occultum	ingroup	Glomeromycota	114	114	0	0	0	0
F215637	Dimargaris cristalligena	ingroup	Kickxellomycota	121	121	0	0	0	0
F1520584	Dispira parvispora	ingroup	Kickxellomycota	100	100	0	0	0	0
F78921	Tieghemiomyces parasiticus	ingroup	Kickxellomycota	23	23	0	0	0	0
F61424	Furculomyces boomerangus	ingroup	Kickxellomycota	97	97	0	0	0	0
F133377	Smittium angustum	ingroup	Kickxellomycota	88	88	0	0	0	0
F133385	Smittium simulii	ingroup	Kickxellomycota	93	93	0	0	0	0
F1213189	Zancudomyces culisetae	ingroup	Kickxellomycota	57	57	0	0	0	0
F2650707	Coemansia brasiliensis	ingroup	Kickxellomycota	97	97	0	0	0	0
F4866	Dipsacomyces acuminosporus	ingroup	Kickxellomycota	101	101	0	0	0	0
F61397	Kickxella alabastrina	ingroup	Kickxellomycota	117	117	0	0	0	0
F61395	Linderina pennispora	ingroup	Kickxellomycota	117	117	0	0	0	0
F304332	Ramicandelaber brevisporus	ingroup	Kickxellomycota	113	113	0	0	0	0
F164912	Astathelohania contejeani	ingroup	Microsporidia	64	64	0	0	0	0
F70536	Edhazardia aedis	ingroup	Microsporidia	54	54	0	0	0	0
F6035	Encephalitozoon cuniculi	ingroup	Microsporidia	62	62	0	0	0	0
F174680	Glugoides intestinalis	ingroup	Microsporidia	49	49	0	0	0	0
F174688	Gurleya vavrai	ingroup	Microsporidia	42	42	0	0	0	0
F1176355	Hamiltosporidium tvaerminnensis	ingroup	Microsporidia	46	46	0	0	0	0
F1081669	Hepatospora eriocheir	ingroup	Microsporidia	36	36	0	0	0	0
F1300064	Nucleospora cyclopteri	ingroup	Microsporidia	51	51	0	0	0	0
F3039483	Ordospora pajunii	ingroup	Microsporidia	60	60	0	0	0	0
F291195	Tubulinosema ratisbonensis	ingroup	Microsporidia	49	49	0	0	0	0
F6039	Vairimorpha necatrix	ingroup	Microsporidia	60	60	0	0	0	0
F103449	Vavraia culicis	ingroup	Microsporidia	52	52	0	0	0	0
F82268	Hyaloraphidium curvatum	ingroup	Monoblepharomycota	123	123	0	0	0	0
F1123529	Gonapodya prolifera	ingroup	Monoblepharomycota	122	122	0	0	0	0
F2725673	Gonapodya sp. JEL0774	ingroup	Monoblepharomycota	104	104	0	0	0	0
F1343610	Actinomortierella ambigua	ingroup	Mortierellomycota	125	125	0	0	0	0
F979620	Dissophora ornata	ingroup	Mortierellomycota	119	119	0	0	0	0
F101097	Entomortierella chlamydospora	ingroup	Mortierellomycota	120	120	0	0	0	0
F101098	Gamsiella multidivaricata	ingroup	Mortierellomycota	118	118	0	0	0	0
F979690	Gryganskiella cystojenkinii	ingroup	Mortierellomycota	119	119	0	0	0	0
F1897645	Haplosporangium bisporale	ingroup	Mortierellomycota	100	100	0	0	0	0
F604196	Linnemannia exigua	ingroup	Mortierellomycota	114	114	0	0	0	0
F64571	Lobosporangium transversale	ingroup	Mortierellomycota	121	121	0	0	0	0
F979761	Lunasporangiospora selenospora	ingroup	Mortierellomycota	116	116	0	0	0	0
F1440133	Modicella reniformis	ingroup	Mortierellomycota	107	107	0	0	0	0
F1343614	Mortierella claussenii	ingroup	Mortierellomycota	121	121	0	0	0	0
F64525	Podila minutissima	ingroup	Mortierellomycota	118	118	0	0	0	0
F1938954	Bifiguratus adelaidae	ingroup	Mucoromycota	98	98	0	0	0	0
F2340872	Endogone sp. FLAS-F59071	ingroup	Mucoromycota	91	91	0	0	1	0
F994334	Jimgerdemannia flammicorona	ingroup	Mucoromycota	85	85	0	0	0	0
F708070	Mucor velutinosus	ingroup	Mucoromycota	121	121	0	0	0	0
F64632	Mycotypha africana	ingroup	Mucoromycota	122	122	0	0	0	0
F4837	Phycomyces blakesleeanus	ingroup	Mucoromycota	113	113	0	0	0	0
F4840	Rhizomucor pusillus	ingroup	Mucoromycota	125	125	0	0	0	0
F58291	Rhizopus microsporus	ingroup	Mucoromycota	121	121	0	0	0	0
F91625	Umbelopsis isabellina	ingroup	Mucoromycota	122	122	0	0	0	0
F64526	Umbelopsis nana	ingroup	Mucoromycota	122	122	0	0	0	0
F41833	Umbelopsis ramanniana	ingroup	Mucoromycota	120	120	0	0	0	0
F44442	Umbelopsis vinacea	ingroup	Mucoromycota	123	123	0	0	0	0
F1754192	Anaeromyces robustus	ingroup	Neocallimastigomycota	109	109	0	0	0	0
F1754190	Neocallimastix californiae	ingroup	Neocallimastigomycota	65	65	0	0	0	0
F2767002	Neocallimastix lanati (nom. inval.)	ingroup	Neocallimastigomycota	63	63	0	0	0	0
F3108450	Neocallimastix sp. 'constans'	ingroup	Neocallimastigomycota	68	68	0	0	0	0
F1754191	Piromyces finnis	ingroup	Neocallimastigomycota	117	117	0	0	0	0
F73868	Piromyces sp. E2	ingroup	Neocallimastigomycota	70	70	0	0	0	0
F278681	Olpidium bornovanus	ingroup	Olpidiomycota	52	52	0	0	0	0
F1246581	Paramicrosporidium saccamoebae	ingroup	Rozellomycota	108	108	0	0	0	0
F281847	Rozella allomycis	ingroup	Rozellomycota	117	117	0	0	0	0
F1907219	Piptocephalis cylindrospora	ingroup	Zoopagomycota	65	65	0	0	0	0
F1286916	Piptocephalis tieghemiana	ingroup	Zoopagomycota	111	111	0	0	0	0
F1851187	Syncephalis fuscata	ingroup	Zoopagomycota	123	123	0	0	0	0
F1851185	Syncephalis plumigaleata	ingroup	Zoopagomycota	120	120	0	0	0	0
F1712513	Syncephalis pseudoplumigaleata	ingroup	Zoopagomycota	80	80	0	0	0	0
F78915	Thamnocephalis sphaerospora	ingroup	Zoopagomycota	96	96	0	0	0	0
F2109901	Amoeboradix gromovi	ingroup	Sanchytriomycota	98	98	0	0	0	98
F2020955	Sanchytrium tribonematis	ingroup	Sanchytriomycota	91	91	0	0	0	91
O691883	Fonticula alba	outgroup	Nucleariida	109	109	0	0	0	0
O81824	Monosiga brevicollis	outgroup	Choanoflagellatea	115	115	0	0	0	0
O946362	Salpingoeca rosetta	outgroup	Choanoflagellatea	118	118	0	0	0	0
O192875	Capsaspora owczarzaki	outgroup	Filasterea	119	119	0	0	0	0
O72019	Sphaeroforma arctica	outgroup	Ichthyosporea	87	87	0	0	0	0
O529818	Thecamonas trahens	outgroup	Apusomonadida	115	115	0	0	0	0
O5755	Acanthamoeba castellanii	outgroup	Amoebozoa	104	104	0	0	0	0
O44689	Dictyostelium discoideum	outgroup	Amoebozoa	121	121	0	0	0	0
O5786	Dictyostelium purpureum	outgroup	Amoebozoa	118	118	0	0	0	0
O133409	Polysphondylium violaceum	outgroup	Amoebozoa	122	122	0	0	0	0
O1890364	Planoprotostelium fungivorum	outgroup	Amoebozoa	116	116	0	0	0	0
O400682	Amphimedon queenslandica	outgroup	Metazoa	110	110	0	0	1	0
O45351	Nematostella vectensis	outgroup	Metazoa	100	100	0	0	0	0
O10228	Trichoplax adhaerens	outgroup	Metazoa	121	121	0	0	0	0
O27923	Mnemiopsis leidyi	outgroup	Metazoa	110	110	0	0	0	0
O7227	Drosophila melanogaster	outgroup	Metazoa	80	80	0	0	0	0
O6239	Caenorhabditis elegans	outgroup	Metazoa	115	115	0	0	0	0
O283909	Capitella teleta	outgroup	Metazoa	118	118	0	0	0	0
O225164	Lottia gigantea	outgroup	Metazoa	120	120	0	0	0	0
O2700040	Branchiostoma floridae	outgroup	Metazoa	100	100	0	0	0	0
OFS5426470	Corallochytrium limacisporum	outgroup	Corallochytrea	125	125	0	0	0	0
OFS5426494	Chromosphaera perkinsii	outgroup	Ichthyosporea	121	121	0	0	0	0
OFS5426506	Pirum gemmata	outgroup	Ichthyosporea	7	7	0	0	0	0
OFS5426458	Abeoforma whisleri	outgroup	Ichthyosporea	7	7	0	0	0	0
OFS1403592	Creolimax fragrantissima	outgroup	Ichthyosporea	122	122	0	0	0	0
