sequence_sha256	joint_predicted_plddt_cutoff	accepted_chain_model_rows	excluded_chain_model_rows	accepted_entries	status
7a62d9f4588a540c2ee4fce89a48807730170c6d41ccf518d5920959a781660b	0	3	0	3	included
7a62d9f4588a540c2ee4fce89a48807730170c6d41ccf518d5920959a781660b	70	3	0	3	included
7a62d9f4588a540c2ee4fce89a48807730170c6d41ccf518d5920959a781660b	90	0	3	0	no_eligible_chain_model
8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	0	631	0	324	included
8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	70	631	0	324	included
8283ba552d1a3cf6c49a4d151043a7ef16df99a3d9c30a2b73e7692d36d2c844	90	631	0	324	included
83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	0	157	1	152	included
83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	70	157	1	152	included
83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a	90	0	158	0	no_eligible_chain_model
84d2c25c65d615286c613fa6cb43c3a6ded04bf3ea656def6fecf3a43dcb69c6	0	42	1	42	included
84d2c25c65d615286c613fa6cb43c3a6ded04bf3ea656def6fecf3a43dcb69c6	70	42	1	42	included
84d2c25c65d615286c613fa6cb43c3a6ded04bf3ea656def6fecf3a43dcb69c6	90	0	43	0	no_eligible_chain_model
85dcd5871dfdeb57dcae53d0446978c992ec78de47a5bc1c3e5476b17ce02de9	0	17	0	17	included
85dcd5871dfdeb57dcae53d0446978c992ec78de47a5bc1c3e5476b17ce02de9	70	0	17	0	no_eligible_chain_model
85dcd5871dfdeb57dcae53d0446978c992ec78de47a5bc1c3e5476b17ce02de9	90	0	17	0	no_eligible_chain_model
85fc271b1d6b5812d61cfbb942b4fdd1dd7974c91c1550dcda620f88377454a0	0	49	0	49	included
85fc271b1d6b5812d61cfbb942b4fdd1dd7974c91c1550dcda620f88377454a0	70	49	0	49	included
85fc271b1d6b5812d61cfbb942b4fdd1dd7974c91c1550dcda620f88377454a0	90	49	0	49	included
9290d7c5d79158df0e0dcb67b0c05aa7e2a325310393e00f30c9a05ae73b9018	0	5	0	4	included
9290d7c5d79158df0e0dcb67b0c05aa7e2a325310393e00f30c9a05ae73b9018	70	5	0	4	included
9290d7c5d79158df0e0dcb67b0c05aa7e2a325310393e00f30c9a05ae73b9018	90	5	0	4	included
96d19daa18e83769d4a23f65b801e1dec1a3c4176e1b4edb640a3ceeb7ed20f1	0	6	1	6	included
96d19daa18e83769d4a23f65b801e1dec1a3c4176e1b4edb640a3ceeb7ed20f1	70	5	2	5	included
96d19daa18e83769d4a23f65b801e1dec1a3c4176e1b4edb640a3ceeb7ed20f1	90	0	7	0	no_eligible_chain_model
9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	0	14	7	14	included
9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	70	14	7	14	included
9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	90	10	11	10	included
9e04036772422792dba04f1ee5510efa70bab5493b0a62a87dd0300b26fc7f86	0	44	0	44	included
9e04036772422792dba04f1ee5510efa70bab5493b0a62a87dd0300b26fc7f86	70	44	0	44	included
9e04036772422792dba04f1ee5510efa70bab5493b0a62a87dd0300b26fc7f86	90	44	0	44	included
9fb69cb67e3079fd58481686b3e32f9badf14994da061a3c837e6c9b88b2ab82	0	33	0	29	included
9fb69cb67e3079fd58481686b3e32f9badf14994da061a3c837e6c9b88b2ab82	70	33	0	29	included
9fb69cb67e3079fd58481686b3e32f9badf14994da061a3c837e6c9b88b2ab82	90	33	0	29	included
a1522f5f794bdfcd1daf2f6cc27f18008a39cec9d87ee10935e6e31b5feae501	0	76	0	38	included
a1522f5f794bdfcd1daf2f6cc27f18008a39cec9d87ee10935e6e31b5feae501	70	76	0	38	included
a1522f5f794bdfcd1daf2f6cc27f18008a39cec9d87ee10935e6e31b5feae501	90	75	1	38	included
a6b32a264dc4356f9e3046c543340e02100714d88b1b4a3842cb39bcaf4bff97	0	38	0	10	included
a6b32a264dc4356f9e3046c543340e02100714d88b1b4a3842cb39bcaf4bff97	70	38	0	10	included
a6b32a264dc4356f9e3046c543340e02100714d88b1b4a3842cb39bcaf4bff97	90	38	0	10	included
a9c859214bc288900788ea22094f6779f5e80a857b1a76ad3d655a47854cced8	0	62	0	62	included
a9c859214bc288900788ea22094f6779f5e80a857b1a76ad3d655a47854cced8	70	62	0	62	included
a9c859214bc288900788ea22094f6779f5e80a857b1a76ad3d655a47854cced8	90	62	0	62	included
b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	0	341	2	331	included
b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	70	341	2	331	included
b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	90	0	343	0	no_eligible_chain_model
c23ebf76afa06aa1be095f20e72e07bc9da9e0a2d92d4a1370bc697d290b748b	0	12	2	12	included
c23ebf76afa06aa1be095f20e72e07bc9da9e0a2d92d4a1370bc697d290b748b	70	0	14	0	no_eligible_chain_model
c23ebf76afa06aa1be095f20e72e07bc9da9e0a2d92d4a1370bc697d290b748b	90	0	14	0	no_eligible_chain_model
c6aefbc99f7f43afb83ce630b7d6a0e3a45e1678cbca2b0dab88f0c807f377be	0	25	0	25	included
c6aefbc99f7f43afb83ce630b7d6a0e3a45e1678cbca2b0dab88f0c807f377be	70	25	0	25	included
c6aefbc99f7f43afb83ce630b7d6a0e3a45e1678cbca2b0dab88f0c807f377be	90	0	25	0	no_eligible_chain_model
ccce9788f3915b66b10c95984805423f74edfc35c20dbe56dbd8840477ad22bc	0	5	0	5	included
ccce9788f3915b66b10c95984805423f74edfc35c20dbe56dbd8840477ad22bc	70	5	0	5	included
ccce9788f3915b66b10c95984805423f74edfc35c20dbe56dbd8840477ad22bc	90	5	0	5	included
cd4149ad98b80658ca48d1b1c160820504480c2e79c00295f239251b3c5dee20	0	10	0	10	included
cd4149ad98b80658ca48d1b1c160820504480c2e79c00295f239251b3c5dee20	70	10	0	10	included
cd4149ad98b80658ca48d1b1c160820504480c2e79c00295f239251b3c5dee20	90	0	10	0	no_eligible_chain_model
ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	0	343	0	333	included
ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	70	343	0	333	included
ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d	90	0	343	0	no_eligible_chain_model
cf91b4c59edaf90cca66b436e170d980254b8459f21b45789691b88e2ac340a6	0	6	0	6	included
cf91b4c59edaf90cca66b436e170d980254b8459f21b45789691b88e2ac340a6	70	6	0	6	included
cf91b4c59edaf90cca66b436e170d980254b8459f21b45789691b88e2ac340a6	90	6	0	6	included
d67c4c11fd7bf43a5857862aa91cdb933dd70b6ddbe5bbd1703a9f039481ff49	0	2	0	2	included
d67c4c11fd7bf43a5857862aa91cdb933dd70b6ddbe5bbd1703a9f039481ff49	70	2	0	2	included
d67c4c11fd7bf43a5857862aa91cdb933dd70b6ddbe5bbd1703a9f039481ff49	90	0	2	0	no_eligible_chain_model
d93f7257bb249fb169016330c2e75b78069fe0b18d330a7b0aa84aac019fa3e3	0	6	0	6	included
d93f7257bb249fb169016330c2e75b78069fe0b18d330a7b0aa84aac019fa3e3	70	6	0	6	included
d93f7257bb249fb169016330c2e75b78069fe0b18d330a7b0aa84aac019fa3e3	90	6	0	6	included
db0c848d26f2719aa11d159afc8f0b1133f6037749ff3b62a403b4993a55b53d	0	7	0	7	included
db0c848d26f2719aa11d159afc8f0b1133f6037749ff3b62a403b4993a55b53d	70	7	0	7	included
db0c848d26f2719aa11d159afc8f0b1133f6037749ff3b62a403b4993a55b53d	90	7	0	7	included
e3bbd87e97b3dc0432d0814633b368f3604cb00d07d43c01354e6d8a64f9ea67	0	2	0	2	included
e3bbd87e97b3dc0432d0814633b368f3604cb00d07d43c01354e6d8a64f9ea67	70	2	0	2	included
e3bbd87e97b3dc0432d0814633b368f3604cb00d07d43c01354e6d8a64f9ea67	90	0	2	0	no_eligible_chain_model
e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	0	266	0	262	included
e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	70	266	0	262	included
e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b	90	0	266	0	no_eligible_chain_model
f9d25f45a2a3eee589a6c556661ee99fe05c787d87bf2ba89aea44dae9063aac	0	28	0	22	included
f9d25f45a2a3eee589a6c556661ee99fe05c787d87bf2ba89aea44dae9063aac	70	28	0	22	included
f9d25f45a2a3eee589a6c556661ee99fe05c787d87bf2ba89aea44dae9063aac	90	0	28	0	no_eligible_chain_model
