model_id	alphabet_model_full	rate_model_full	rsa_scale_full	controls_full	term	coefficient_full	marker_cluster_standard_error_full	t_statistic_full	p_value_conditional_cluster_t_full	ci95_lower_full	ci95_upper_full	bh_q_across_all_72_focal_tests_full	alphabet_model_omission	rate_model_omission	rsa_scale_omission	controls_omission	coefficient_omission	marker_cluster_standard_error_omission	t_statistic_omission	p_value_conditional_cluster_t_omission	ci95_lower_omission	ci95_upper_omission	bh_q_across_all_72_focal_tests_omission	omission_minus_full
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_centered	-0.2217618051381559	0.0268064039195316	-8.272717437364896	1.810865910716577e-13	-0.2748234380640109	-0.168700172212301	4.940850369288187e-13	3di_af	freerate	tien2013	coverage_confidence	-0.2224014880592098	0.0269876252451838	-8.240869140529467	2.2457134874496326e-13	-0.2758261877144818	-0.1689767884039378	5.988569299865686e-13	-0.0006396829210539023
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_by_rsa	-0.1748786205854526	0.0338271839964087	-5.169765848792462	9.200950270444116e-07	-0.2418374571948264	-0.1079197839760789	1.5056100442544915e-06	3di_af	freerate	tien2013	coverage_confidence	-0.1726654003069904	0.0339494618634514	-5.08595396891621	1.3398212458602888e-06	-0.2398717508856386	-0.1054590497283422	2.1924347659531994e-06	0.0022132202784621857
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.0939313145745519	0.0197724924081522	4.750605671535059	5.548986440650827e-06	0.05479287820166	0.1330697509474439	7.833863210330578e-06	3di_af	freerate	tien2013	composition_adjusted	0.0933630618760664	0.0198740427664397	4.69773880298396	6.964088664057079e-06	0.0540204092311269	0.132705714521006	1.0232946608410402e-05	-0.0005682526984854969
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_centered	-0.2925662999593362	0.0253805848206098	-11.5271693708871	2.6953923775950365e-21	-0.342805611402878	-0.2423269885157945	1.386201794191733e-20	3di_af	freerate	tien2013	composition_adjusted	-0.2933693965941657	0.0255591155075753	-11.47807311670137	3.9499925969013165e-21	-0.3439662185464899	-0.2427725746418415	1.9131029075078982e-20	-0.0008030966348295254
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_by_rsa	-0.1586315821057061	0.0333592139058452	-4.755255401204473	5.442231542178341e-06	-0.2246641006143643	-0.092599063597048	7.833863210330578e-06	3di_af	freerate	tien2013	composition_adjusted	-0.1564973951586908	0.0334842929485488	-4.673755405233163	7.69032545883068e-06	-0.2227828974099348	-0.0902118929074469	1.107406866071618e-05	0.0021341869470153096
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.196020994759177	0.0132618876146173	14.780776346130446	4.7755839210766086e-29	0.1697699013777913	0.2222720881405628	4.912029175964512e-28	3di_af	freerate	miller1987	coverage_confidence	0.1961773434582452	0.013314435542952	14.734184023452004	7.430393275959442e-29	0.1698200884756628	0.2225345984408276	7.64269022670114e-28	0.00015634869906819282
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_centered	-0.1877977443626828	0.0232042037789484	-8.093263882342656	4.750332139994686e-13	-0.2337290429789134	-0.1418664457464522	1.2215139788557764e-12	3di_af	freerate	miller1987	coverage_confidence	-0.1882218792660359	0.0233676413747099	-8.05480862393509	6.079458101995638e-13	-0.2344804592912929	-0.1419632992407789	1.56328922622745e-12	-0.0004241349033531072
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_by_rsa	-0.1400479468308099	0.0286607067386095	-4.886409400440498	3.131331092839396e-06	-0.1967800584905766	-0.0833158351710432	4.796932737966734e-06	3di_af	freerate	miller1987	coverage_confidence	-0.13842456262127	0.0287834055268257	-4.809179459055327	4.374303816955038e-06	-0.1954041887038199	-0.0814449365387201	6.57654332592016e-06	0.001623384209539891
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.0987099548887973	0.0198795203665475	4.965409278933231	2.234764557331649e-06	0.059359663234674	0.1380602465429206	3.575623291730638e-06	3di_af	freerate	miller1987	composition_adjusted	0.098112712853126	0.0199770015517051	4.911283237336066	2.840196994504132e-06	0.0585662430093886	0.1376591826968633	4.54431519120661e-06	-0.0005972420356712971
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_centered	-0.2545942940118619	0.0220500610902406	-11.54619449669213	2.4238516562928663e-21	-0.2982410379419769	-0.2109475500817469	1.3424409173314336e-20	3di_af	freerate	miller1987	composition_adjusted	-0.255155805111127	0.0222125367102996	-11.48701782416478	3.758383630954816e-21	-0.2991277400831097	-0.2111838701391443	1.9131029075078982e-20	-0.0005615110992651107
