lower_plddt_cutoff	higher_plddt_cutoff	same_controls	lower_cutoff_median_rmsd_angstrom	higher_cutoff_median_rmsd_angstrom	median_within_control_rmsd_change_angstrom
0	70	209	7.615210771065245	1.1140372311101618	-3.545250119924509
0	90	88	3.8397610909252196	0.5349081622901999	-2.9226894135855517
70	90	88	0.8787564133311374	0.5349081622901999	-0.2573909317689741
