model_id	alphabet_model_full	rate_model_full	rsa_scale_full	controls_full	term	coefficient_full	marker_cluster_standard_error_full	t_statistic_full	p_value_conditional_cluster_t_full	ci95_lower_full	ci95_upper_full	bh_q_across_all_72_focal_tests_full	alphabet_model_omission	rate_model_omission	rsa_scale_omission	controls_omission	coefficient_omission	marker_cluster_standard_error_omission	t_statistic_omission	p_value_conditional_cluster_t_omission	ci95_lower_omission	ci95_upper_omission	bh_q_across_all_72_focal_tests_omission	omission_minus_full
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_centered	-0.2504479305149423	0.0365543733379431	-6.851380769123442	9.549444238242974e-10	-0.3230920661646915	-0.1778037948651932	3.125272659788609e-09	3di_af	freerate	tien2013	coverage_confidence	-0.2527623284292544	0.036717112561865	-6.884046995889783	8.586888508207181e-10	-0.3257415654332555	-0.1797830914252532	2.810254420867804e-09	-0.002314397914312094
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_by_rsa	-0.0319350818964237	0.0504454871143446	-0.6330612255569388	0.5283354052817337	-0.1321848871652321	0.0683147233723846	0.7315413303900928	3di_af	freerate	tien2013	coverage_confidence	-0.0271729732149377	0.0505018380112413	-0.5380590941836471	0.5919101068923641	-0.1275508446815507	0.0732048982516751	0.788045881649394	0.004762108681486004
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.09767161207436	0.0229075567706738	4.2637289106011895	5.038317411654421e-05	0.0521476566759552	0.1431955674727646	9.3015090676697e-05	3di_af	freerate	tien2013	composition_adjusted	0.0996489087250738	0.0231869206985565	4.297634430227616	4.484642799398985e-05	0.0535623931200738	0.1457354243300738	8.279340552736588e-05	0.0019772966507138057
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_centered	-0.3108218166826744	0.0375095842337081	-8.286463927354154	1.20229393773722e-12	-0.3853642332643536	-0.2362794001009953	6.183225965505702e-12	3di_af	freerate	tien2013	composition_adjusted	-0.3124278672682879	0.0377474612358346	-8.276791525563373	1.3524528399158704e-12	-0.3874550338295952	-0.2374007007069806	6.955471748138762e-12	-0.0016060505856135276
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_by_rsa	-0.0132790171412086	0.0498719661896736	-0.2662621539865859	0.7906601913980453	-0.1123890700891498	0.0858310358067324	0.9181860287203106	3di_af	freerate	tien2013	composition_adjusted	-0.0094581843911839	0.0500689949127051	-0.188903020874978	0.8506088020284512	-0.1089757333305176	0.0900593645481498	0.963378084057924	0.0038208327500247
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate	0.2137600010705564	0.0150897284447309	14.165927627756409	2.016808595319416e-24	0.1837723366692879	0.2437476654718249	1.6134468762555325e-23	3di_af	freerate	miller1987	coverage_confidence	0.2131130163937459	0.0151634300309983	14.054406948697162	4.19581192639948e-24	0.1829740572868373	0.2432519755006546	3.356649541119584e-23	-0.0006469846768104859
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_centered	-0.2137786308578704	0.0313556686725637	-6.817862284816372	1.1124488929813823e-09	-0.2760914334158605	-0.1514658282998803	3.378257984436297e-09	3di_af	freerate	miller1987	coverage_confidence	-0.2159634728666985	0.031492255090197	-6.857669361821098	9.68003860515493e-10	-0.2785577398898897	-0.1533692058435074	3.0302729546571954e-09	-0.0021848420088280973
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_by_rsa	-0.0177410564153621	0.0425486975322911	-0.4169588599486064	0.6777238889139028	-0.1022976517830512	0.0668155389523269	0.856072280733351	3di_af	freerate	miller1987	coverage_confidence	-0.0135531629645942	0.0425834734446817	-0.3182728384569319	0.7510407398561525	-0.098192427442072	0.0710861015128835	0.901248887827383	0.0041878934507679
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate	0.0972148369610312	0.0234110416425264	4.152520782519948	7.585993411092051e-05	0.0506903111796978	0.1437393627423645	0.0001332174452679	3di_af	freerate	miller1987	composition_adjusted	0.0990359627165389	0.0237049699478134	4.177856497374462	6.97505780237801e-05	0.0519197681334448	0.1461521572996331	0.0001224888199441	0.0018211257555077048
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_centered	-0.2698334162572404	0.0319461939738166	-8.446496520943873	5.645984237847193e-13	-0.3333197637613367	-0.206347068753144	3.1270066548076764e-12	3di_af	freerate	miller1987	composition_adjusted	-0.2712697517515055	0.0321536949493578	-8.43665874726858	6.380935042305846e-13	-0.3351787021165378	-0.2073608013864731	3.534056331123238e-12	-0.0014363354942650841
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_by_rsa	-0.0035757110607694	0.0418471652782159	-0.0854469122817937	0.9321002047331522	-0.0867381584900827	0.0795867363685438	0.9847541591226832	3di_af	freerate	miller1987	composition_adjusted	-0.0001831872329553	0.0419968449529984	-0.0043619284534429	0.9965296820941014	-0.0836564640621471	0.0832900895962365	0.9995786905329904	0.0033925238278141
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_log1p_rate	0.1946810610765301	0.0125732036385717	15.48380720402018	7.380099079571306e-27	0.169694460917138	0.2196676612359221	3.266646796096368e-25	3di_af_empirical	gamma	tien2013	coverage_confidence	0.193941452835068	0.0126306236372961	15.354859617730222	1.6962357020348574e-26	0.1688367206919435	0.2190461849781926	7.388793620081413e-25	-0.000739608241462103
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_centered	-0.1745503432011847	0.0339814052138908	-5.136642881673188	1.663815103281346e-06	-0.242081245375471	-0.1070194410268983	3.422705355321626e-06	3di_af_empirical	gamma	tien2013	coverage_confidence	-0.1751502345346445	0.0341631020657443	-5.126883214456963	1.7614418518361993e-06	-0.2430530991252906	-0.1072473699439984	3.623537523777324e-06	-0.0005998913334598066
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_by_rsa	-0.0143148745678435	0.0493430392279169	-0.2901092999505508	0.7724151349898607	-0.1123737963254496	0.0837440471897625	0.9117031101519668	3di_af_empirical	gamma	tien2013	coverage_confidence	-0.0089391814258553	0.0493425206427383	-0.1811658851111197	0.8566587643288949	-0.1070127840898417	0.0891344212381309	0.963378084057924	0.0053756931419882
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_log1p_rate	0.0965698464780733	0.0212232654275598	4.5501879438717605	1.707657782603543e-05	0.0543930661952618	0.1387466267608848	3.323009739120408e-05	3di_af_empirical	gamma	tien2013	composition_adjusted	0.0976135045632498	0.021524476592627	4.535000149396716	1.831102177725722e-05	0.0548312766308742	0.1403957324956254	3.563225859358162e-05	0.0010436580851764937
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	rsa_centered	-0.2196495931254983	0.035345532578195	-6.21435234112167	1.6724033544715657e-08	-0.2898914117852051	-0.1494077744657915	4.300465768641169e-08	3di_af_empirical	gamma	tien2013	composition_adjusted	-0.2199817814675882	0.0355683204340894	-6.184767196843878	1.9659571950346936e-08	-0.2906776697245982	-0.1492858932105782	5.055318501517784e-08	-0.00033218834208989523
3di_af_empirical__gamma__tien2013__composition_adjusted	3di_af_empirical	gamma	tien2013	composition_adjusted	aa_by_rsa	0.0013849262553305	0.049014238203728	0.0282555907443482	0.977522280540998	-0.0960205725593588	0.0987904250700199	0.9847541591226832	3di_af_empirical	gamma	tien2013	composition_adjusted	0.0063880807042824	0.0491070221377682	0.1300848723093179	0.8967995818625396	-0.0912174431809234	0.1039936045894883	0.978326816577316	0.005003154448951899
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_log1p_rate	0.1939132764887476	0.0133202878655524	14.557739175459297	3.718787905983681e-25	0.1674420034169017	0.2203845495605935	3.8250389890117865e-24	3di_af_empirical	gamma	miller1987	coverage_confidence	0.193018874180655	0.0133715305771	14.435062094627929	8.1802745354289905e-25	0.1664415092680894	0.2195962390932205	8.413996665012676e-24	-0.0008944023080925956
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	rsa_centered	-0.1485420432020894	0.0291156976874193	-5.101785462838934	1.918266113425373e-06	-0.2064033741237863	-0.0906807122803925	3.836532226850746e-06	3di_af_empirical	gamma	miller1987	coverage_confidence	-0.1492129503721844	0.0292747207450404	-5.096989709029527	1.9892778470667423e-06	-0.2073996277662341	-0.0910262729781346	3.978555694133485e-06	-0.000670907170094992
3di_af_empirical__gamma__miller1987__coverage_confidence	3di_af_empirical	gamma	miller1987	coverage_confidence	aa_by_rsa	-0.00570339307114	0.0416203646373738	-0.1370337122423617	0.8913171828728689	-0.0884151218855706	0.0770083357432905	0.9578333905499486	3di_af_empirical	gamma	miller1987	coverage_confidence	-0.0011189631627455	0.0416167394504626	-0.0268873337392875	0.9786111749521345	-0.0838367391472196	0.0815988128217285	0.9995786905329904	0.0045844299083945
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_log1p_rate	0.0958531713184253	0.0217191838709103	4.413295264137728	2.87784412326976e-05	0.0526908573393605	0.1390154852974901	5.452757286195334e-05	3di_af_empirical	gamma	miller1987	composition_adjusted	0.0967129668817207	0.0220328068657159	4.389498236478009	3.180870615569324e-05	0.0529203774887712	0.1405055562746703	6.0269127452892446e-05	0.000859795563295393
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	rsa_centered	-0.1917440123689016	0.0301200781026062	-6.3659865593877765	8.527801270111291e-09	-0.2516013383101343	-0.1318866864276689	2.456006765792052e-08	3di_af_empirical	gamma	miller1987	composition_adjusted	-0.1920271756979573	0.0303166075570238	-6.334058826890996	1.016437089748928e-08	-0.2522847159479838	-0.1317696354479309	2.9273388184769125e-08	-0.0002831633290557023
3di_af_empirical__gamma__miller1987__composition_adjusted	3di_af_empirical	gamma	miller1987	composition_adjusted	aa_by_rsa	0.00676810286768	0.0412174196063864	0.1642049146286527	0.8699464023290175	-0.0751428573705852	0.0886790631059453	0.9518296537969212	3di_af_empirical	gamma	miller1987	composition_adjusted	0.0110616821312032	0.0412866794824199	0.267923753372158	0.7893922058956283	-0.0710000639273681	0.0931234281897745	0.928155936511396	0.004293579263523201
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_log1p_rate	0.2089262580837361	0.0139598684796444	14.96620533269215	6.512665782139433e-26	0.1811839529397625	0.2366685632277096	1.172279840785098e-24	3di_af_empirical	freerate	tien2013	coverage_confidence	0.2085024026078809	0.0140325457939481	14.85848723884456	1.3555976122127112e-25	0.1806111983760516	0.2363936068397101	2.44007570198288e-24	-0.0004238554758552171
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	rsa_centered	-0.2230745008362531	0.0369380280797469	-6.039155646171723	3.61605300565309e-08	-0.2964810696659833	-0.149667932006523	8.977786772655948e-08	3di_af_empirical	freerate	tien2013	coverage_confidence	-0.2242607438143303	0.0371385989891954	-6.038481523753044	3.73254292255878e-08	-0.2980777307318707	-0.1504437568967899	8.958103014141072e-08	-0.0011862429780772066
3di_af_empirical__freerate__tien2013__coverage_confidence	3di_af_empirical	freerate	tien2013	coverage_confidence	aa_by_rsa	0.0189452757699732	0.0513457298097067	0.3689747100720293	0.7130328474908618	-0.0830935726832165	0.1209841242231631	0.8851442244714146	3di_af_empirical	freerate	tien2013	coverage_confidence	0.0256110731124763	0.0511846656778027	0.5003661306238261	0.6180806925327651	-0.0761239922790922	0.1273461385040449	0.7946751761135551	0.0066657973425031
3di_af_empirical__freerate__tien2013__composition_adjusted	3di_af_empirical	freerate	tien2013	composition_adjusted	aa_log1p_rate	0.0978803869615255	0.0239364040697022	4.089185103848517	9.550132060101138e-05	0.0503118137533026	0.1454489601697484	0.0001637165496017	3di_af_empirical	freerate	tien2013	composition_adjusted	0.0991619311364806	0.0243067526082193	4.079604245568743	9.966749167140996e-05	0.0508496283538471	0.147474233919114	0.0001668851023335	0.0012815441749551015
