taxon_id	root_missing_nonsingleton_genes
F61397	31
F61424	25
F63146	46
F63378	21
F63402	37
F63577	54
F64504	27
F64505	25
F64508	43
F64517	155
F64525	53
F64526	27
F64571	42
F64632	79
F65468	5
F655981	31
F65672	27
F658196	102
F669869	96
F67723	46
F68786	492
F69979	67
F703497	102
F703506	32
F703511	29
F70536	24
F705562	63
F706196	3
F708070	66
F710243	14
F71933	137
F72144	12
F73868	62
F741139	221
F746128	61
F76012	67
F76775	2
F76777	4
F77020	5
F78915	45
F78921	43
F796027	49
F796604	15
F80663	342
F80884	25
F82268	261
F82508	32
F84751	8
F84753	6
F87287	32
F87326	81
F89243	110
F89922	18
F90408	96
F911321	142
F91480	17
F91625	31
F91930	84
F92988	25
F933333	9
F945690	212
F97331	12
F979620	53
F979690	31
F979761	70
F984962	61
F994334	292
O10228	124
O133409	81
O1890364	288
O192875	158
O225164	148
O2700040	137
O27923	130
O283909	299
O400682	183
O44689	53
O45351	122
O529818	288
O5755	349
O5786	40
O6239	169
O691883	218
O72019	346
O7227	151
O81824	170
O946362	225
OFS1403592	113
OFS5426458	170
OFS5426470	174
OFS5426494	192
OFS5426506	329
