taxon_id	columns	canonical_before	canonical_after	masked_marker_observations
F215250	63750	59012	59012	0
F215637	63750	57513	57513	0
F223192	63750	57315	57315	0
F223376	63750	49263	49263	0
F223409	63750	60797	60797	0
F223818	63750	57256	57256	0
F226899	63750	58845	58845	0
F2268995	63750	58638	58638	0
F2282107	63750	59760	59760	0
F2283408	63750	61095	61095	0
F230603	63750	56262	56262	0
F231932	63750	55093	55093	0
F2340872	63750	42343	42343	0
F235537	63750	59776	59776	0
F236234	63750	61705	61705	0
F241526	63750	31985	31985	0
F245174	63750	57740	57740	0
F2486360	63750	61566	61566	0
F253628	63750	51617	51617	0
F2545709	63750	57489	57489	0
F2562287	63750	51031	51031	0
F257869	63750	59933	59933	0
F2600213	63750	38524	38524	0
F2600215	63750	45738	45738	0
F2600216	63750	47460	47460	0
F2601811	63750	59944	59944	0
F2606893	63750	59574	59574	0
F2609844	63750	61538	61538	0
F263815	63750	57757	57757	0
F264124	63750	59419	59419	0
F264483	63750	60112	60112	0
F2650707	63750	42291	42291	0
F265104	63750	58801	58801	0
F2656787	63750	61870	61870	0
F269621	63750	60482	60482	0
F2704026	63750	60298	60298	0
F2725673	63750	46469	46469	0
F27291	63750	56929	56929	0
F27292	63750	7644	7644	0
F2732470	63750	57391	57391	0
F273283	63750	61837	61837	0
F27342	63750	60571	60571	0
F2735257	63750	56103	56103	0
F27376	63750	35490	32093	9
F2748771	63750	20935	20935	0
F2754530	63750	57548	57548	0
F2767002	63750	31138	31138	0
F2778381	63750	57446	57446	0
F2781224	63750	58740	58740	0
F278681	63750	15173	15173	0
F279322	63750	60074	60074	0
F2796175	63750	57686	57686	0
F280036	63750	59522	59522	0
F2813651	63750	60625	60625	0
F281847	63750	52490	52490	0
F2829486	63750	58663	58663	0
F2831993	63750	59690	59690	0
F2834505	63750	58379	58379	0
F28583	63750	11038	11038	0
F2871812	63750	60550	60550	0
F2878321	63750	60214	60214	0
F288795	63750	58122	58122	0
F289078	63750	58499	58499	0
F291195	63750	16571	16571	0
F2918522	63750	61314	61314	0
F293227	63750	60995	60995	0
F2939399	63750	59354	59354	0
F2939400	63750	59336	59336	0
F2939403	63750	58195	58195	0
F2939404	63750	59833	59833	0
F2939405	63750	59532	59532	0
F2939406	63750	59941	59941	0
F2939408	63750	60363	60363	0
F2977754	63750	56964	56964	0
F29833	63750	45552	45552	0
F29883	63750	51478	51478	0
F29889	63750	59643	59643	0
F29898	63750	57400	57400	0
F29899	63750	59943	59943	0
F29902	63750	59954	59954	0
F29908	63750	60430	60430	0
F3038894	63750	49366	49366	0
F3039483	63750	22369	22369	0
F304332	63750	50517	50517	0
F3058885	63750	48396	48396	0
F3060298	63750	55238	55238	0
F3075319	63750	55672	55672	0
F3108450	63750	33320	33320	0
F315204	63750	60516	60516	0
F318760	63750	60933	60933	0
F318763	63750	51162	51162	0
F318774	63750	57974	57974	0
F326681	63750	61635	61635	0
F326684	63750	61645	61645	0
F332112	63750	25179	25179	0
F3342545	63750	57263	57263	0
F3384825	63750	61406	61406	0
F339359	63750	59763	59763	0
F342668	63750	61817	61817	0
F34349	63750	59108	59108	0
F34406	63750	60857	60857	0
F34480	63750	44093	44093	0
F34485	63750	10292	10292	0
F34488	63750	55870	55870	0
F348617	63750	44495	44495	0
F36035	63750	55108	55108	0
F36050	63750	61750	61750	0
F364730	63750	51917	51917	0
F364733	63750	58624	58624	0
F36779	63750	60036	60036	0
F370292	63750	60177	60177	0
F37769	63750	59923	59923	0
F378194	63750	58203	58203	0
F382532	63750	56315	56315	0
F383834	63750	57472	57472	0
F38799	63750	58867	58867	0
F390894	63750	61020	61020	0
F393283	63750	59077	59077	0
F39416	63750	54873	54873	0
F398673	63750	59111	59111	0
F400354	63750	59906	59906	0
F401625	63750	49109	49109	0
F40410	63750	60545	60545	0
F40492	63750	58403	58403	0
F40559	63750	57735	57735	0
F41759	63750	61655	61655	0
F41833	63750	57105	57105	0
F418498	63750	58618	58618	0
F41956	63750	57556	57556	0
F41990	63750	61025	61025	0
F42068	63750	57999	57999	0
F423460	63750	51429	51429	0
F42374	63750	55373	55373	0
F43433	63750	57980	57980	0
F43959	63750	57598	57598	0
F44089	63750	57954	57954	0
F443868	63750	60930	60930	0
F44442	63750	57361	57361	0
F44565	63750	58897	58897	0
F45228	63750	58452	58452	0
F456999	63750	55448	55448	0
F460848	63750	59431	59431	0
F460854	63750	58955	58955	0
F462254	63750	60910	60910	0
F467971	63750	58375	58375	0
F470096	63750	60403	60403	0
F474922	63750	60449	60449	0
F4754	63750	57499	57499	0
F48021	63750	59912	59912	0
F4808	63750	57886	57886	0
F48095	63750	60160	60160	0
F4837	63750	49334	49334	0
F4840	63750	59609	59609	0
F48563	63750	60032	60032	0
F48565	63750	58660	58660	0
F48578	63750	57799	57799	0
F48586	63750	57838	57838	0
F48587	63750	55742	55742	0
F48593	63750	59225	59225	0
F4866	63750	45968	45968	0
F48691	63750	49020	49020	0
F4874	63750	44474	44474	0
F4896	63750	57306	57306	0
F4897	63750	57202	57202	0
F4903	63750	55079	55079	0
F4909	63750	55719	55719	0
F4918	63750	55744	55744	0
F4927	63750	53481	53481	0
F4932	63750	57305	57305	0
F500713	63750	60325	60325	0
F5011	63750	52846	52846	0
F5022	63750	61084	61084	0
F50376	63750	61238	61238	0
F5059	63750	61611	61611	0
F5062	63750	59910	59910	0
F50956	63750	56493	56493	0
F50990	63750	56646	56646	0
F5101	63750	61652	61652	0
F5116	63750	53008	53008	0
F5127	63750	60253	60253	0
F5128	63750	61493	61493	0
F5147	63750	61365	61365	0
F51930	63750	54922	54922	0
F5207	63750	60077	60077	0
F5208	63750	59230	59230	0
F5210	63750	60465	60465	0
F5219	63750	44794	44794	0
F5281	63750	59149	59149	0
F5286	63750	60452	60452	0
F52883	63750	50065	50065	0
F5364	63750	60145	60145	0
F5365	63750	58904	58904	0
F5414	63750	59151	59151	0
F54195	63750	55922	55922	0
F5454	63750	61763	61763	0
F5476	63750	55411	55411	0
F5479	63750	52453	52453	0
