taxon_id	columns	canonical_before	canonical_after	masked_marker_observations
F215250	49027	46377	46377	0
F215637	49027	44619	44619	0
F223192	49027	45318	45318	0
F223376	49027	38893	38893	0
F223409	49027	46927	46927	0
F223818	49027	46305	46305	0
F226899	49027	45948	45948	0
F2268995	49027	48310	48310	0
F2282107	49027	47370	47370	0
F2283408	49027	47775	47775	0
F230603	49027	45790	45790	0
F231932	49027	44753	44753	0
F2340872	49027	33970	33970	0
F235537	49027	48160	48160	0
F236234	49027	48093	48093	0
F241526	49027	25371	25371	0
F245174	49027	47019	47019	0
F2486360	49027	48353	48353	0
F253628	49027	40205	40205	0
F2545709	49027	47339	47339	0
F2562287	49027	42435	42435	0
F257869	49027	47890	47890	0
F2600213	49027	29648	29648	0
F2600215	49027	36285	36285	0
F2600216	49027	37797	37797	0
F2601811	49027	46851	46851	0
F2606893	49027	47332	47332	0
F2609844	49027	47847	47847	0
F263815	49027	47310	47310	0
F264124	49027	47454	47454	0
F264483	49027	46965	46965	0
F2650707	49027	33575	33575	0
F265104	49027	45616	45616	0
F2656787	49027	48315	48315	0
F269621	49027	47267	47267	0
F2704026	49027	47042	47042	0
F2725673	49027	36028	36028	0
F27291	49027	46453	46453	0
F27292	49027	6214	6214	0
F2732470	49027	45050	45050	0
F273283	49027	47989	47989	0
F27342	49027	48216	48216	0
F2735257	49027	45335	45335	0
F27376	49027	27112	24174	9
F2748771	49027	16480	16480	0
F2754530	49027	47251	47251	0
F2767002	49027	24724	24724	0
F2778381	49027	45385	45385	0
F2781224	49027	45626	45626	0
F278681	49027	10629	10629	0
F279322	49027	48137	48137	0
F2796175	49027	44819	44819	0
F280036	49027	46278	46278	0
F2813651	49027	48092	48092	0
F281847	49027	44699	44699	0
F2829486	49027	46964	46964	0
F2831993	49027	47695	47695	0
F2834505	49027	47066	47066	0
F28583	49027	8368	8368	0
F2871812	49027	47139	47139	0
F2878321	49027	46748	46748	0
F288795	49027	45655	45655	0
F289078	49027	45737	45737	0
F291195	49027	15071	15071	0
F2918522	49027	47691	47691	0
F293227	49027	48185	48185	0
F2939399	49027	46583	46583	0
F2939400	49027	46782	46782	0
F2939403	49027	45207	45207	0
F2939404	49027	46749	46749	0
F2939405	49027	47090	47090	0
F2939406	49027	46858	46858	0
F2939408	49027	47216	47216	0
F2977754	49027	44857	44857	0
F29833	49027	37071	37071	0
F29883	49027	42155	42155	0
F29889	49027	47859	47859	0
