taxon_id	species_name	study_role	lineage_group	reference_only	local_only	both	neither	reference_usable	local_usable	union_usable
F1684307	Microstroma glucosiphilum	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1463510	Parajaminaea phylloscopi	ingroup	Basidiomycota	0	27	0	98	0	27	27
F574677	Sympodiomycopsis kandeliae	ingroup	Basidiomycota	0	26	0	99	0	26	26
F34349	Mixia osmundae	ingroup	Basidiomycota	7	9	0	109	7	9	16
F112072	Naohidea sebacea	ingroup	Basidiomycota	0	25	0	100	0	25	25
F1419009	Clathrus columnatus	ingroup	Basidiomycota	8	0	0	117	8	0	8
F378194	Epithele typhae	ingroup	Basidiomycota	0	24	0	101	0	24	24
F599839	Fibroporia radiculosa	ingroup	Basidiomycota	6	0	0	119	6	0	6
F5630	Laetiporus sulphureus	ingroup	Basidiomycota	6	0	0	119	6	0	6
F5365	Lentinus tigrinus	ingroup	Basidiomycota	6	8	0	111	6	8	14
F231932	Phanerochaete carnosa	ingroup	Basidiomycota	8	0	0	117	8	0	8
F104341	Rhodonia placenta	ingroup	Basidiomycota	8	0	0	117	8	0	8
F181123	Austropuccinia psidii	ingroup	Basidiomycota	8	0	0	117	8	0	8
F60197	Cronartium quercuum	ingroup	Basidiomycota	6	0	0	119	6	0	6
F203908	Melampsora laricis-populina	ingroup	Basidiomycota	7	0	0	118	7	0	7
F170000	Phakopsora pachyrhizi	ingroup	Basidiomycota	8	25	0	92	8	25	33
F208348	Puccinia triticina	ingroup	Basidiomycota	8	24	0	93	8	24	32
F48021	Artomyces pyxidatus	ingroup	Basidiomycota	0	27	0	98	0	27	27
F135208	Hericium alpestre	ingroup	Basidiomycota	8	0	0	117	8	0	8
F984962	Heterobasidion irregulare	ingroup	Basidiomycota	6	0	0	119	6	0	6
F152956	Russula decolorans	ingroup	Basidiomycota	0	27	0	98	0	27	27
F40492	Stereum hirsutum	ingroup	Basidiomycota	6	27	0	92	6	27	33
F1314805	Vararia minispora	ingroup	Basidiomycota	0	26	0	99	0	26	26
F65672	Serendipita indica	ingroup	Basidiomycota	6	21	0	98	6	21	27
F2600213	Serendipita sp. 400	ingroup	Basidiomycota	0	25	0	100	0	25	25
F2600215	Serendipita sp. 405	ingroup	Basidiomycota	0	35	0	90	0	35	35
F2600216	Serendipita sp. 411	ingroup	Basidiomycota	0	40	0	85	0	40	40
F109899	Serendipita vermifera	ingroup	Basidiomycota	8	0	0	117	8	0	8
F2834505	Sertulicium niveocremeum	ingroup	Basidiomycota	10	0	0	115	10	0	10
F467971	Sistotremastrum suecicum	ingroup	Basidiomycota	10	0	0	115	10	0	10
F69979	Phyllozyma linderae	ingroup	Basidiomycota	0	27	0	98	0	27	27
F100910	Rhodosporidiobolus nylandii	ingroup	Basidiomycota	0	27	0	98	0	27	27
F29898	Rhodotorula graminis	ingroup	Basidiomycota	7	0	0	118	7	0	7
F5286	Rhodotorula toruloides	ingroup	Basidiomycota	6	0	0	119	6	0	6
F500713	Sporobolomyces koalae	ingroup	Basidiomycota	0	27	0	98	0	27	27
F183962	Sporobolomyces salmoneus	ingroup	Basidiomycota	0	27	0	98	0	27	27
F370292	Thelephora ganbajun	ingroup	Basidiomycota	0	26	0	99	0	26	26
F56493	Thelephora terrestris	ingroup	Basidiomycota	6	0	0	119	6	0	6
F13290	Tilletia caries	ingroup	Basidiomycota	19	9	0	97	19	9	28
F13291	Tilletia controversa	ingroup	Basidiomycota	18	3	0	104	18	3	21
F157183	Tilletia laevis	ingroup	Basidiomycota	19	4	0	102	19	4	23
F1031713	Tilletia maclaganii	ingroup	Basidiomycota	0	0	0	125	0	0	0
F117179	Tilletia walkeri	ingroup	Basidiomycota	8	0	0	117	8	0	8
F104669	Cryptococcus amylolentus	ingroup	Basidiomycota	8	0	0	117	8	0	8
F552467	Cryptococcus bacillisporus	ingroup	Basidiomycota	0	0	0	125	0	0	0
F1859122	Cryptococcus decagattii	ingroup	Basidiomycota	1	0	0	124	1	0	1
F40410	Cryptococcus deneoformans	ingroup	Basidiomycota	6	0	0	119	6	0	6
F5208	Cryptococcus depauperatus	ingroup	Basidiomycota	7	0	0	118	7	0	7
F1859096	Cryptococcus deuterogattii	ingroup	Basidiomycota	8	0	0	117	8	0	8
F37769	Cryptococcus gattii	ingroup	Basidiomycota	7	0	0	118	7	0	7
F5207	Cryptococcus neoformans	ingroup	Basidiomycota	7	0	0	118	7	0	7
F1859121	Cryptococcus tetragattii	ingroup	Basidiomycota	0	0	0	125	0	0	0
F5619	Cryptococcus wingfieldii	ingroup	Basidiomycota	6	0	0	119	6	0	6
F105984	Apiotrichum porosum	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1890679	Cryptotrichosporon argae	ingroup	Basidiomycota	0	0	0	125	0	0	0
F279322	Cutaneotrichosporon cavernicola	ingroup	Basidiomycota	8	0	0	117	8	0	8
F82508	Trichosporon asahii	ingroup	Basidiomycota	6	0	0	119	6	0	6
F143232	Vanrija pseudolonga	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1055551	Tritirachium sp. CBS 265.96	ingroup	Basidiomycota	0	0	0	125	0	0	0
F1269715	Thecaphora frezii	ingroup	Basidiomycota	0	0	0	125	0	0	0
F84753	Moesziomyces antarcticus	ingroup	Basidiomycota	6	0	0	119	6	0	6
F84751	Pseudozyma flocculosa	ingroup	Basidiomycota	6	0	0	119	6	0	6
F280036	Sporisorium graminicola	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1882483	Testicularia cyperi	ingroup	Basidiomycota	8	0	0	117	8	0	8
F120017	Ustilago hordei	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1673888	Violaceomyces palustris	ingroup	Basidiomycota	0	0	0	125	0	0	0
F1708542	Wallemia canadensis	ingroup	Basidiomycota	0	0	0	125	0	0	0
F1540922	Wallemia hederae	ingroup	Basidiomycota	8	0	0	117	8	0	8
F245174	Wallemia ichthyophaga	ingroup	Basidiomycota	8	0	0	117	8	0	8
F1708541	Wallemia mellicola	ingroup	Basidiomycota	8	0	0	117	8	0	8
F64504	Allomyces arbusculus	ingroup	Blastocladiomycota	0	0	0	125	0	0	0
F64505	Allomyces javanicus	ingroup	Blastocladiomycota	0	0	0	125	0	0	0
F28583	Allomyces macrogynus	ingroup	Blastocladiomycota	8	0	0	117	8	0	8
F64508	Blastocladiella britannica	ingroup	Blastocladiomycota	0	0	0	125	0	0	0
F4808	Blastocladiella emersonii	ingroup	Blastocladiomycota	0	0	0	125	0	0	0
F109876	Catenaria anguillulae	ingroup	Blastocladiomycota	8	0	0	117	8	0	8
F945690	Coelomomyces lativittatus	ingroup	Blastocladiomycota	0	0	0	125	0	0	0
F3075319	Sorochytrium milnesiophthora	ingroup	Blastocladiomycota	0	0	0	125	0	0	0
F1500003	Paraphysoderma sedebokerense	ingroup	Blastocladiomycota	0	0	0	125	0	0	0
F911321	Calcarisporiella thermophila	ingroup	Calcarisporiellomycota	0	0	0	125	0	0	0
F1555241	Caulochytrium protostelioides	ingroup	Chytridiomycota	8	0	0	117	8	0	8
F1774096	Dinochytrium kinnereticum	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F109932	Entophlyctis luteolus	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F1604274	Cladochytrium tenue	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F109889	Lobulomyces angularis	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F110093	Polychytrium aggregatum	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F2735257	Borealophlyctis nickersoniae	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F64517	Rhizophlyctis rosea	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F382532	Globomyces pollinis-pini	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F1396493	Fimicolochytrium jonesii	ingroup	Chytridiomycota	0	0	0	125	0	0	0
F109760	Spizellomyces punctatus	ingroup	Chytridiomycota	8	0	0	117	8	0	8
F1806994	Synchytrium microbalum	ingroup	Chytridiomycota	8	0	0	117	8	0	8
F34488	Conidiobolus coronatus	ingroup	Entomophthoromycota	7	0	0	118	7	0	7
F34485	Entomophthora muscae	ingroup	Entomophthoromycota	0	0	0	125	0	0	0
F348617	Massospora cicadina	ingroup	Entomophthoromycota	0	0	0	125	0	0	0
F76012	Neoconidiobolus thromboides	ingroup	Entomophthoromycota	0	0	0	125	0	0	0
F144530	Ambispora gerdemannii	ingroup	Glomeromycota	8	0	0	117	8	0	8
F144679	Ambispora leptoticha	ingroup	Glomeromycota	8	0	0	117	8	0	8
F50956	Geosiphon pyriformis	ingroup	Glomeromycota	0	0	0	125	0	0	0
F27376	Acaulospora colombiana	ingroup	Glomeromycota	0	0	0	125	0	0	0
F1348612	Diversispora epigaea	ingroup	Glomeromycota	8	0	0	117	8	0	8
F4874	Gigaspora margarita	ingroup	Glomeromycota	7	0	0	118	7	0	7
F2562287	Entrophospora sp. SA101	ingroup	Glomeromycota	0	0	0	125	0	0	0
F1117311	Funneliformis geosporum	ingroup	Glomeromycota	8	0	0	117	8	0	8
F658196	Glomus cerebriforme	ingroup	Glomeromycota	6	0	0	119	6	0	6
F588596	Rhizophagus irregularis	ingroup	Glomeromycota	6	0	0	119	6	0	6
F144538	Paraglomus brasilianum	ingroup	Glomeromycota	8	0	0	117	8	0	8
F144539	Paraglomus occultum	ingroup	Glomeromycota	8	0	0	117	8	0	8
F215637	Dimargaris cristalligena	ingroup	Kickxellomycota	8	0	0	117	8	0	8
F1520584	Dispira parvispora	ingroup	Kickxellomycota	8	0	0	117	8	0	8
F78921	Tieghemiomyces parasiticus	ingroup	Kickxellomycota	6	0	0	119	6	0	6
F61424	Furculomyces boomerangus	ingroup	Kickxellomycota	7	0	0	118	7	0	7
F133377	Smittium angustum	ingroup	Kickxellomycota	10	0	0	115	10	0	10
F133385	Smittium simulii	ingroup	Kickxellomycota	8	0	0	117	8	0	8
F1213189	Zancudomyces culisetae	ingroup	Kickxellomycota	8	0	0	117	8	0	8
F2650707	Coemansia brasiliensis	ingroup	Kickxellomycota	8	0	0	117	8	0	8
F4866	Dipsacomyces acuminosporus	ingroup	Kickxellomycota	0	0	0	125	0	0	0
F61397	Kickxella alabastrina	ingroup	Kickxellomycota	0	0	0	125	0	0	0
F61395	Linderina pennispora	ingroup	Kickxellomycota	6	0	0	119	6	0	6
F304332	Ramicandelaber brevisporus	ingroup	Kickxellomycota	0	0	0	125	0	0	0
F164912	Astathelohania contejeani	ingroup	Microsporidia	0	0	0	125	0	0	0
F70536	Edhazardia aedis	ingroup	Microsporidia	6	0	0	119	6	0	6
F6035	Encephalitozoon cuniculi	ingroup	Microsporidia	6	0	0	119	6	0	6
F174680	Glugoides intestinalis	ingroup	Microsporidia	0	0	0	125	0	0	0
F174688	Gurleya vavrai	ingroup	Microsporidia	0	0	0	125	0	0	0
F1176355	Hamiltosporidium tvaerminnensis	ingroup	Microsporidia	8	0	0	117	8	0	8
F1081669	Hepatospora eriocheir	ingroup	Microsporidia	7	0	0	118	7	0	7
F1300064	Nucleospora cyclopteri	ingroup	Microsporidia	0	0	0	125	0	0	0
F3039483	Ordospora pajunii	ingroup	Microsporidia	0	0	0	125	0	0	0
F291195	Tubulinosema ratisbonensis	ingroup	Microsporidia	8	0	0	117	8	0	8
F6039	Vairimorpha necatrix	ingroup	Microsporidia	6	0	0	119	6	0	6
F103449	Vavraia culicis	ingroup	Microsporidia	8	0	0	117	8	0	8
F82268	Hyaloraphidium curvatum	ingroup	Monoblepharomycota	0	0	0	125	0	0	0
F1123529	Gonapodya prolifera	ingroup	Monoblepharomycota	8	0	0	117	8	0	8
F2725673	Gonapodya sp. JEL0774	ingroup	Monoblepharomycota	0	0	0	125	0	0	0
F1343610	Actinomortierella ambigua	ingroup	Mortierellomycota	8	0	0	117	8	0	8
F979620	Dissophora ornata	ingroup	Mortierellomycota	0	0	0	125	0	0	0
F101097	Entomortierella chlamydospora	ingroup	Mortierellomycota	8	0	0	117	8	0	8
F101098	Gamsiella multidivaricata	ingroup	Mortierellomycota	0	0	0	125	0	0	0
F979690	Gryganskiella cystojenkinii	ingroup	Mortierellomycota	0	0	0	125	0	0	0
F1897645	Haplosporangium bisporale	ingroup	Mortierellomycota	0	0	0	125	0	0	0
F604196	Linnemannia exigua	ingroup	Mortierellomycota	6	0	0	119	6	0	6
F64571	Lobosporangium transversale	ingroup	Mortierellomycota	6	0	0	119	6	0	6
F979761	Lunasporangiospora selenospora	ingroup	Mortierellomycota	6	0	0	119	6	0	6
F1440133	Modicella reniformis	ingroup	Mortierellomycota	7	0	0	118	7	0	7
F1343614	Mortierella claussenii	ingroup	Mortierellomycota	0	0	0	125	0	0	0
F64525	Podila minutissima	ingroup	Mortierellomycota	6	0	0	119	6	0	6
F1938954	Bifiguratus adelaidae	ingroup	Mucoromycota	8	0	0	117	8	0	8
F2340872	Endogone sp. FLAS-F59071	ingroup	Mucoromycota	0	0	0	125	0	0	0
F994334	Jimgerdemannia flammicorona	ingroup	Mucoromycota	5	0	0	120	5	0	5
F708070	Mucor velutinosus	ingroup	Mucoromycota	6	0	0	119	6	0	6
F64632	Mycotypha africana	ingroup	Mucoromycota	0	0	0	125	0	0	0
F4837	Phycomyces blakesleeanus	ingroup	Mucoromycota	7	0	0	118	7	0	7
F4840	Rhizomucor pusillus	ingroup	Mucoromycota	0	0	0	125	0	0	0
F58291	Rhizopus microsporus	ingroup	Mucoromycota	6	0	0	119	6	0	6
F91625	Umbelopsis isabellina	ingroup	Mucoromycota	6	0	0	119	6	0	6
F64526	Umbelopsis nana	ingroup	Mucoromycota	0	0	0	125	0	0	0
F41833	Umbelopsis ramanniana	ingroup	Mucoromycota	7	0	0	118	7	0	7
F44442	Umbelopsis vinacea	ingroup	Mucoromycota	0	0	0	125	0	0	0
F1754192	Anaeromyces robustus	ingroup	Neocallimastigomycota	8	0	0	117	8	0	8
F1754190	Neocallimastix californiae	ingroup	Neocallimastigomycota	0	0	0	125	0	0	0
F2767002	Neocallimastix lanati (nom. inval.)	ingroup	Neocallimastigomycota	0	0	0	125	0	0	0
F3108450	Neocallimastix sp. 'constans'	ingroup	Neocallimastigomycota	0	0	0	125	0	0	0
F1754191	Piromyces finnis	ingroup	Neocallimastigomycota	8	0	0	117	8	0	8
F73868	Piromyces sp. E2	ingroup	Neocallimastigomycota	0	0	0	125	0	0	0
F278681	Olpidium bornovanus	ingroup	Olpidiomycota	4	0	0	121	4	0	4
F1246581	Paramicrosporidium saccamoebae	ingroup	Rozellomycota	8	0	0	117	8	0	8
F281847	Rozella allomycis	ingroup	Rozellomycota	7	0	0	118	7	0	7
F1907219	Piptocephalis cylindrospora	ingroup	Zoopagomycota	8	0	0	117	8	0	8
F1286916	Piptocephalis tieghemiana	ingroup	Zoopagomycota	0	0	0	125	0	0	0
F1851187	Syncephalis fuscata	ingroup	Zoopagomycota	0	0	0	125	0	0	0
F1851185	Syncephalis plumigaleata	ingroup	Zoopagomycota	0	0	0	125	0	0	0
F1712513	Syncephalis pseudoplumigaleata	ingroup	Zoopagomycota	8	0	0	117	8	0	8
F78915	Thamnocephalis sphaerospora	ingroup	Zoopagomycota	6	0	0	119	6	0	6
F2109901	Amoeboradix gromovi	ingroup	Sanchytriomycota	0	0	0	125	0	0	0
F2020955	Sanchytrium tribonematis	ingroup	Sanchytriomycota	0	0	0	125	0	0	0
O691883	Fonticula alba	outgroup	Nucleariida	5	0	0	120	5	0	5
O81824	Monosiga brevicollis	outgroup	Choanoflagellatea	6	0	0	119	6	0	6
O946362	Salpingoeca rosetta	outgroup	Choanoflagellatea	6	0	0	119	6	0	6
O192875	Capsaspora owczarzaki	outgroup	Filasterea	5	0	0	120	5	0	5
O72019	Sphaeroforma arctica	outgroup	Ichthyosporea	6	0	0	119	6	0	6
O529818	Thecamonas trahens	outgroup	Apusomonadida	6	0	0	119	6	0	6
O5755	Acanthamoeba castellanii	outgroup	Amoebozoa	6	0	0	119	6	0	6
O44689	Dictyostelium discoideum	outgroup	Amoebozoa	6	0	0	119	6	0	6
O5786	Dictyostelium purpureum	outgroup	Amoebozoa	6	0	0	119	6	0	6
O133409	Polysphondylium violaceum	outgroup	Amoebozoa	6	0	0	119	6	0	6
O1890364	Planoprotostelium fungivorum	outgroup	Amoebozoa	6	0	0	119	6	0	6
O400682	Amphimedon queenslandica	outgroup	Metazoa	6	0	0	119	6	0	6
O45351	Nematostella vectensis	outgroup	Metazoa	6	0	0	119	6	0	6
O10228	Trichoplax adhaerens	outgroup	Metazoa	6	0	0	119	6	0	6
O27923	Mnemiopsis leidyi	outgroup	Metazoa	0	0	0	125	0	0	0
O7227	Drosophila melanogaster	outgroup	Metazoa	5	0	0	120	5	0	5
O6239	Caenorhabditis elegans	outgroup	Metazoa	6	0	0	119	6	0	6
O283909	Capitella teleta	outgroup	Metazoa	6	0	0	119	6	0	6
O225164	Lottia gigantea	outgroup	Metazoa	6	0	0	119	6	0	6
O2700040	Branchiostoma floridae	outgroup	Metazoa	0	0	0	125	0	0	0
OFS5426470	Corallochytrium limacisporum	outgroup	Corallochytrea	0	0	0	125	0	0	0
OFS5426494	Chromosphaera perkinsii	outgroup	Ichthyosporea	0	0	0	125	0	0	0
OFS5426506	Pirum gemmata	outgroup	Ichthyosporea	0	0	0	125	0	0	0
OFS5426458	Abeoforma whisleri	outgroup	Ichthyosporea	0	0	0	125	0	0	0
OFS1403592	Creolimax fragrantissima	outgroup	Ichthyosporea	0	0	0	125	0	0	0
