taxon_id	species_name	study_role	lineage	stage	proteins	source_sha256	input_path	reason
F5507	Fusarium oxysporum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	additional	16197	123c49c8c0ac962acddc36bdf67c631064f3bc95091d2e4fd1c2588c70f19d98	data/orthology_inputs/v1/additional/F5507.faa	Included in full-cohort species assignment and gene-tree analysis
F5518	Fusarium graminearum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium	additional	13312	e423e0b9a1909c3897708a529d905085fef5231e65bffb5ef84e2ffe79db19e8	data/orthology_inputs/v1/additional/F5518.faa	Included in full-cohort species assignment and gene-tree analysis
F552467	Cryptococcus bacillisporus	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	additional	6694	ad02b031fa6e9812130227d48adef77330c36519d1badf140e03be6ad90f487d	data/orthology_inputs/v1/additional/F552467.faa	Included in full-cohort species assignment and gene-tree analysis
F5544	Trichoderma harzianum	ingroup	Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma	additional	14064	c79ba6a0d00e9f95641bb4d3b84d06e4c76eb64f387c61a6bdeb387e75c15e28	data/orthology_inputs/v1/additional/F5544.faa	Included in full-cohort species assignment and gene-tree analysis
F5570	Cenococcum geophilum	ingroup	Ascomycota;Dothideomycetes;Gloniales;Gloniaceae;Cenococcum	additional	14695	cd2bff1df5fcab92eaf1aa1b5aaa667afb34cf89827447d067b6cf1c00218c18	data/orthology_inputs/v1/additional/F5570.faa	Included in full-cohort species assignment and gene-tree analysis
F5580	Aureobasidium pullulans	ingroup	Ascomycota;Dothideomycetes;Dothideales;Saccotheciaceae;Aureobasidium	additional	11844	772f4310eee604d872f64aa073c2f75a9a259e0a251c406c65e75f7ce4be546f	data/orthology_inputs/v1/additional/F5580.faa	Included in full-cohort species assignment and gene-tree analysis
F560253	Letharia lupina	ingroup	Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Letharia	core	11013	bd9a7df53dca7c90cf6936c29572bb6356096c753b7885301057270cfe39dc16	data/orthology_inputs/v1/core/F560253.faa	Additional core taxonomic-prefix diversity; QC tie-break
F5606	Saitoella complicata	ingroup	Ascomycota;Saitoellomycetes;Saitoellales;Saitoellaceae;Saitoella	additional	7023	0d0750259e6182c10deb620713dd32a8b9ff0b15bdfb033cb382e24af4c16c69	data/orthology_inputs/v1/additional/F5606.faa	Included in full-cohort species assignment and gene-tree analysis
F5619	Cryptococcus wingfieldii	ingroup	Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus	additional	8094	f3452ce238aa9e6e6e6552fbcc7f2dbfc3eb5e42a507e4108b2060422c14bcfd	data/orthology_inputs/v1/additional/F5619.faa	Included in full-cohort species assignment and gene-tree analysis
F5630	Laetiporus sulphureus	ingroup	Basidiomycota;Agaricomycetes;Polyporales;Laetiporaceae;Laetiporus	additional	13739	bcbc2ffe9595dd308efe78f529a45e1c8f55d6ea9d30a1534d5c71b92451efe3	data/orthology_inputs/v1/additional/F5630.faa	Included in full-cohort species assignment and gene-tree analysis
F563466	Scedosporium apiospermum	ingroup	Ascomycota;Sordariomycetes;Microascales;Microascaceae;Scedosporium	additional	8376	8519141bb7aefdcfcdb047527f1e240194005ee92838d7240692f4a06060c6cc	data/orthology_inputs/v1/additional/F563466.faa	Included in full-cohort species assignment and gene-tree analysis
F56409	Hanseniaspora vineae	ingroup	Ascomycota;Saccharomycetes;Saccharomycodales;Saccharomycodaceae;Hanseniaspora	additional	4631	ea9799eaf837eddd9b9553c08370b0029f43c5f339954e3eafe34845266b0e65	data/orthology_inputs/v1/additional/F56409.faa	Included in full-cohort species assignment and gene-tree analysis
F56493	Thelephora terrestris	ingroup	Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora	additional	13337	4f4bfd753b0ef40cee1511e9929865725dd91307bdbe489de4550dad563afc1a	data/orthology_inputs/v1/additional/F56493.faa	Included in full-cohort species assignment and gene-tree analysis
F574656	Recurvomyces mirabilis	ingroup	Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Recurvomyces	additional	10917	2a0865c7209df560f455606a149771f707315f8dbb86dbcc2194d13ede90bdfe	data/orthology_inputs/v1/additional/F574656.faa	Included in full-cohort species assignment and gene-tree analysis
F574677	Sympodiomycopsis kandeliae	ingroup	Basidiomycota;Exobasidiomycetes;Microstromatales;Sympodiomycopsis	additional	7074	e34d884333ae29fdd0264f268383ccbe1a7a4477e3ee13f302f8d863515210a3	data/orthology_inputs/v1/additional/F574677.faa	Included in full-cohort species assignment and gene-tree analysis
F574774	Glonium stellatum	ingroup	Ascomycota;Dothideomycetes;Gloniales;Gloniaceae;Glonium	additional	14277	ea48feff082c83316d7aa53c0dd270d5338bb8ae088ee67c55b396fb6b6dc32a	data/orthology_inputs/v1/additional/F574774.faa	Included in full-cohort species assignment and gene-tree analysis
F574789	Mytilinidion resinicola	ingroup	Ascomycota;Dothideomycetes;Mytilinidiales;Mytilinidiaceae;Mytilinidion	additional	16792	5ce73f9a078a3d8a0dde452f4a83feda767fa9385ed67fe0bf9944028a870c9c	data/orthology_inputs/v1/additional/F574789.faa	Included in full-cohort species assignment and gene-tree analysis
F578093	Lineolata rhizophorae	ingroup	Ascomycota;Dothideomycetes;Lineolatales;Lineolataceae;Lineolata	additional	10230	cd2e170f81373736cea070ba25107d2885a275bf8fdb2b785260e15ce18adfe4	data/orthology_inputs/v1/additional/F578093.faa	Included in full-cohort species assignment and gene-tree analysis
F58291	Rhizopus microsporus	ingroup	Mucoromycota;Mucoromycetes;Mucorales;Rhizopodaceae;Rhizopus	additional	10888	422c37945f5c3e9208a461dfbba4b01fefebc724e4b1f9c4adbf0aebe68f416a	data/orthology_inputs/v1/additional/F58291.faa	Included in full-cohort species assignment and gene-tree analysis
