split_id	BRF1_enriched_side_tips	detected_on_enriched_side	undetected_on_enriched_side	detected_on_other_side	undetected_on_other_side	minimum_class_disagreements	SH_aLRT	UFBoot	branch_length
0x4000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000	2	0	2	473	565	475	96.7	91.0	0.2167173411
0x2000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	95.3	97.0	0.0733652835
0x2000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000000000	4	0	4	473	563	477	54.4	52.0	0.0169036129
0x100000440000000000a000000400000000000000000000000000000009080000000000000000000000000000000000200000000000000084000004000000000000000000000000000000000000000000000000000400000000000000000000000000000000000000800000	15	0	15	473	552	488	75.1	77.0	0.0174633601
0x100000440000000000a000000400000000000000000000000000000009080000000000000000000000000000000000200000000000000084000004000800000000000000000000000000000000000000000000000400000000000000000000000000000000000000800000	16	0	16	473	551	489	85.8	81.0	0.0272683217
0x400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000	2	0	2	473	565	475	76.4	59.0	0.0200253905
0x1000000000000000000000010000000000000000000000000000000000000	2	0	2	473	565	475	74.1	53.0	0.0204837152
0x400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000002000000	4	0	4	473	563	477	93.8	96.0	0.0735529818
0x100000440000000000a000000400000000000000400000000000000009080000000000000000000000000000000000200000000000000084000004000800000000000000000000000000000001000000000000000400000010000000000000000000000000000002800000	20	0	20	473	547	493	65.6	63.0	0.0135831267
0x800050010000000000080000000000000100000440000000000a000000400000000055500400000000020000009080000000000000000010000000004000004200000000000000284000004000800029000000000100000000000000001000000000000000400000010000000000000400000000000000002800002	42	0	42	473	525	515	87.5	75.0	0.0470374985
0x1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000	2	0	2	473	565	475	75.1	73.0	0.0209293629
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000	3	0	3	473	564	476	85.7	93.0	0.0782550403
0x22000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475			1e-06
0x32000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	3	0	3	473	564	476	62.9	100.0	0.0321600373
0x20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000	6	0	6	473	561	479	100.0	100.0	0.5728578228
0x14000000000000000000000000000000000000000	2	0	2	473	565	475	41.1	55.0	0.022785898
0x20000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	81.1	77.0	0.0696697075
0x20000000000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000014000000000000000000000000000000000000000	4	0	4	473	563	477	96.9	98.0	0.1816705326
0x20000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000800001000000000032000000000000000000000000000000000000000000000000000000000000000000014000000000000000000000004000000000000000	10	0	10	473	557	483	61.6	62.0	0.0426569309
0x4000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	98.8	100.0	0.2215773348
0x20000000000000000000000000000000020000000000000000000004000000000000000000000000000000000000000000010800001000000000032000000000000000000000000000000000000000000000000000000000000000000014000000000000000000000004000000000000000	12	0	12	473	555	485	89.4	86.0	0.0801833165
0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000	2	0	2	473	565	475	92.5	83.0	0.0709647106
0x20000000000000000000000000000000020000000000000000000004000000000080000000000000000000000000000000010800001000000000032000000000000000000000000000000000000000000000000000000000000000200014000000000000000000000004000000000000000	14	0	14	473	553	487	0.0	48.0	2.104e-06
0x4000000000000000000000020000000000000000000000000000000020000000000000000000004000000000080000000000000000000000000000000010800001000000000032000000000000000000000000000000000000000000000000000000000000000200014000000000000000000000004000000000000000	15	0	15	473	552	488	84.3	65.0	0.0287424505
0x400800050010000000000082000000000000100000440000000000a020000400000000055500404000000020080009080000000000000000010000000014800005200000000032000284000004000800029000000000100000000000000001000000000000000600014010000000000000400000004000000002800002	983	473	510	0	57	510	91.2	76.0	0.0696230566
0x80000000000000000000000000000000000000040000000000000000000	2	0	2	473	565	475	75.5	34.0	0.0198048038
0x80000000000000000000000000000000000000840000000000000000000	3	0	3	473	564	476	81.1	42.0	0.048868309
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000	2	0	2	473	565	475	69.6	34.0	0.0250679473
0x4000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000100000000000000000000000000840000000000000000000	5	0	5	473	562	478	89.6	88.0	0.06947691
0x400800050010000000000482000000000000100000440000000000a020000400000000055500404000000020080009080000000000000000010000000014800005200000000032000284000004000800029000000000100000000000000001080000000000100600014010000000000000400840004000000002800002	978	473	505	0	62	505	89.7	87.0	0.0959002973
0x1000000000000000000000000000004000000000000000000000000000000000000000000000	2	0	2	473	565	475	93.1	99.0	0.1267306237
0x8000000000000000000000000000000000001000000000000000000000000000004000000000000000000000000000000000000000000000	3	0	3	473	564	476	91.8	98.0	0.1171380269
0x140000000000000000000000000000000000000000000000000000000000000000000000	2	0	2	473	565	475	99.7	100.0	0.2277928129
0x8000000000000000000000000000000000001000140000000000000000000000004000000000000000000000000000000000000000000000	5	0	5	473	562	478	32.8	51.0	0.0352915465
