taxon_id	species_name	study_role	manifest_lineage_group	total_markers	recovered_sequence_markers	markers_with_source_model	reuse_candidate_outside_catalog	no_candidate_in_query_snapshot	sequence_present_model_missing	sequence_missing	model_fraction_of_recovered_markers	model_fraction_of_all_markers
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F41759	Aspergillus multicolor	ingroup	Ascomycota	125	125	0	0	125	125	0	0.0	0.0
F162425	Aspergillus nidulans	ingroup	Ascomycota	125	123	117	0	6	6	2	0.9512195121951219	0.936
F5062	Aspergillus oryzae	ingroup	Ascomycota	125	118	114	0	4	4	7	0.9661016949152542	0.912
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F1810928	Aspergillus undulatus	ingroup	Ascomycota	125	125	0	0	125	125	0	0.0	0.0
F315204	Geoglossum umbratile	ingroup	Ascomycota	125	122	0	0	122	122	3	0.0	0.0
F1670608	Glutinoglossum americanum	ingroup	Ascomycota	125	121	117	0	4	4	4	0.9669421487603306	0.936
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	125	120	0	0	120	120	5	0.0	0.0
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	125	124	104	0	20	20	1	0.8387096774193549	0.832
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F34406	Colletotrichum destructivum	ingroup	Ascomycota	125	123	121	0	2	2	2	0.983739837398374	0.968
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	125	120	32	0	88	88	5	0.26666666666666666	0.256
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	125	122	116	0	6	6	3	0.9508196721311475	0.928
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	125	122	118	0	4	4	3	0.9672131147540983	0.944
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	125	124	2	0	122	122	1	0.016129032258064516	0.016
F1095194	Colletotrichum karsti	ingroup	Ascomycota	125	124	120	0	4	4	1	0.967741935483871	0.96
F145971	Colletotrichum lupini	ingroup	Ascomycota	125	123	115	0	8	8	2	0.9349593495934959	0.92
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	125	124	62	0	62	62	1	0.5	0.496
F5570	Cenococcum geophilum	ingroup	Ascomycota	125	121	1	0	120	120	4	0.008264462809917356	0.008
F574774	Glonium stellatum	ingroup	Ascomycota	125	121	119	0	2	2	4	0.9834710743801653	0.952
F5101	Amorphotheca resinae	ingroup	Ascomycota	125	125	122	0	3	3	0	0.976	0.976
F40559	Botrytis cinerea	ingroup	Ascomycota	125	117	115	0	2	2	8	0.9829059829059829	0.92
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	125	125	121	0	4	4	0	0.968	0.968
F195108	Fusarium falciforme	ingroup	Ascomycota	125	121	60	0	61	61	4	0.49586776859504134	0.48
F5127	Fusarium fujikuroi	ingroup	Ascomycota	125	122	119	0	3	3	3	0.9754098360655737	0.952
F5518	Fusarium graminearum	ingroup	Ascomycota	125	124	101	0	23	23	1	0.8145161290322581	0.808
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	125	123	22	0	101	101	2	0.17886178861788618	0.176
F1042133	Fusarium musae	ingroup	Ascomycota	125	122	120	0	2	2	3	0.9836065573770492	0.96
F5507	Fusarium oxysporum	ingroup	Ascomycota	125	125	40	0	85	85	0	0.32	0.32
F36050	Fusarium poae	ingroup	Ascomycota	125	124	75	0	49	49	1	0.6048387096774194	0.6
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	125	123	120	0	3	3	2	0.975609756097561	0.96
F5128	Fusarium sambucinum	ingroup	Ascomycota	125	123	6	0	117	117	2	0.04878048780487805	0.048
F117187	Fusarium verticillioides	ingroup	Ascomycota	125	102	100	0	2	2	23	0.9803921568627451	0.8
F173216	Trichoderma aggressivum	ingroup	Ascomycota	125	122	119	0	3	3	3	0.9754098360655737	0.952
F101201	Trichoderma asperellum	ingroup	Ascomycota	125	121	81	0	40	40	4	0.6694214876033058	0.648
F63577	Trichoderma atroviride	ingroup	Ascomycota	125	117	65	0	52	52	8	0.5555555555555556	0.52
F2034170	Trichoderma breve	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F1738374	Trichoderma camerunense	ingroup	Ascomycota	125	124	32	1	91	92	1	0.25806451612903225	0.256
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	125	125	121	0	4	4	0	0.968	0.968
F549676	Trichoderma evansii	ingroup	Ascomycota	125	123	7	0	116	116	2	0.056910569105691054	0.056
F398673	Trichoderma gamsii	ingroup	Ascomycota	125	117	113	0	4	4	8	0.9658119658119658	0.904
F65468	Trichoderma ghanense	ingroup	Ascomycota	125	122	5	0	117	117	3	0.040983606557377046	0.04
F5544	Trichoderma harzianum	ingroup	Ascomycota	125	124	119	0	5	5	1	0.9596774193548387	0.952
F2732470	Bacidia gigantensis	ingroup	Ascomycota	125	117	0	0	117	117	8	0.0	0.0
F209136	Lepraria neglecta	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F560253	Letharia lupina	ingroup	Ascomycota	125	125	120	0	5	5	0	0.96	0.96
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	125	120	0	0	120	120	5	0.0	0.0
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	125	125	0	0	125	125	0	0.0	0.0
F174425	Lichina confinis	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F318774	Phylliscum demangeonii	ingroup	Ascomycota	125	121	0	0	121	121	4	0.0	0.0
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	125	113	0	0	113	113	12	0.0	0.0
F578093	Lineolata rhizophorae	ingroup	Ascomycota	125	122	120	0	2	2	3	0.9836065573770492	0.96
F1125753	Limtongia smithiae	ingroup	Ascomycota	125	123	0	0	123	123	2	0.0	0.0
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	125	123	0	0	123	123	2	0.0	0.0
F44089	Neoaidaea tothii	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F339359	Zalerion maritima	ingroup	Ascomycota	125	122	117	0	5	5	3	0.9590163934426229	0.936
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	125	122	120	0	2	2	3	0.9836065573770492	0.96
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	125	103	96	0	7	7	22	0.9320388349514563	0.768
F148305	Pyricularia grisea	ingroup	Ascomycota	125	122	118	0	4	4	3	0.9672131147540983	0.944
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	125	123	0	0	123	123	2	0.0	0.0
F563466	Scedosporium apiospermum	ingroup	Ascomycota	125	101	95	0	6	6	24	0.9405940594059405	0.76
F703497	Microthyrium microscopicum	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
F122368	Cercospora beticola	ingroup	Ascomycota	125	125	114	0	11	11	0	0.912	0.912
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	125	125	109	0	16	16	0	0.872	0.872
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	125	125	122	0	3	3	0	0.976	0.976
F2601811	Elsinoe batatas	ingroup	Ascomycota	125	121	120	0	1	1	4	0.9917355371900827	0.96
F147570	Myriangium duriaei	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	125	125	123	0	2	2	0	0.984	0.984
F741139	Lepidopterella palustris	ingroup	Ascomycota	125	125	122	0	3	3	0	0.976	0.976
F390894	Lophium mytilinum	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F574789	Mytilinidion resinicola	ingroup	Ascomycota	125	125	122	0	3	3	0	0.976	0.976
F48691	Neolecta irregularis	ingroup	Ascomycota	125	112	109	0	3	3	13	0.9732142857142857	0.872
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	125	119	0	0	119	119	6	0.0	0.0
F199306	Coccidioides posadasii	ingroup	Ascomycota	125	118	0	0	118	118	7	0.0	0.0
F63402	Nannizzia gypsea	ingroup	Ascomycota	125	123	121	0	2	2	2	0.983739837398374	0.968
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	125	125	124	0	1	1	0	0.992	0.992
F226899	Leptographium clavigerum	ingroup	Ascomycota	125	122	115	0	7	7	3	0.9426229508196722	0.92
F61273	Ophiostoma piceae	ingroup	Ascomycota	125	123	120	0	3	3	2	0.975609756097561	0.96
F29908	Sporothrix schenckii	ingroup	Ascomycota	125	122	33	0	89	89	3	0.27049180327868855	0.264
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	125	117	0	0	117	117	8	0.0	0.0
F2813651	Orbilia oligospora	ingroup	Ascomycota	125	125	122	0	3	3	0	0.976	0.976
F1940652	Gomphillus americanus	ingroup	Ascomycota	125	122	118	0	4	4	3	0.9672131147540983	0.944
F2704026	Stictis urceolata	ingroup	Ascomycota	125	122	0	0	122	122	3	0.0	0.0
F209281	Thelotrema lepadinum	ingroup	Ascomycota	125	114	0	0	114	114	11	0.0	0.0
F703506	Patellaria atrata	ingroup	Ascomycota	125	121	118	0	3	3	4	0.9752066115702479	0.944
F669869	Lobaria immixta	ingroup	Ascomycota	125	122	0	0	122	122	3	0.0	0.0
F52883	Peltigera leucophlebia	ingroup	Ascomycota	125	92	0	0	92	92	33	0.0	0.0
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	125	116	0	0	116	116	9	0.0	0.0
F443868	Agyrium rufum	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F1006475	Circinaria calcarea	ingroup	Ascomycota	125	106	0	0	106	106	19	0.0	0.0
F90408	Icmadophila ericetorum	ingroup	Ascomycota	125	122	0	0	122	122	3	0.0	0.0
F1174673	Morchella importuna	ingroup	Ascomycota	125	124	0	0	124	124	1	0.0	0.0
F43433	Tricharina praecox	ingroup	Ascomycota	125	121	0	0	121	121	4	0.0	0.0
F39416	Tuber melanosporum	ingroup	Ascomycota	125	118	116	0	2	2	7	0.9830508474576272	0.928
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	125	116	113	0	3	3	9	0.9741379310344828	0.904
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	125	124	122	0	2	2	1	0.9838709677419355	0.976
F4927	Hansenula anomala	ingroup	Ascomycota	125	116	114	0	2	2	9	0.9827586206896551	0.912
F599730	Waltiozyma pijperi	ingroup	Ascomycota	125	120	118	0	2	2	5	0.9833333333333333	0.944
F4903	Williopsis jadinii	ingroup	Ascomycota	125	121	119	0	2	2	4	0.9834710743801653	0.952
F1825666	Phyllachora maydis	ingroup	Ascomycota	125	109	104	0	5	5	16	0.9541284403669725	0.832
