marker	fit	warning
5013259at2759	3di_llm	WARNING: States(s) E, K, M rarely appear in alignment and may cause numerical problems
5013539at2759	aa	WARNING: 1 near-zero internal branches (<0.0045) should be treated with caution
5013539at2759	aa	WARNING: 4 sequences contain more than 50% gaps/ambiguity
5013539at2759	3di_af	WARNING: 16 near-zero internal branches (<0.0045) should be treated with caution
5013539at2759	3di_af	WARNING: 4 sequences contain more than 50% gaps/ambiguity
5013539at2759	3di_af_empirical	WARNING: 17 near-zero internal branches (<0.0045) should be treated with caution
5013539at2759	3di_af_empirical	WARNING: 4 sequences contain more than 50% gaps/ambiguity
5013539at2759	3di_llm	WARNING: 16 near-zero internal branches (<0.0045) should be treated with caution
5013539at2759	3di_llm	WARNING: 4 sequences contain more than 50% gaps/ambiguity
5013726at2759	aa	WARNING: 2 sequences contain more than 50% gaps/ambiguity
5013726at2759	aa	WARNING: 7 near-zero internal branches (<0.0061) should be treated with caution
5013726at2759	3di_af	WARNING: 2 sequences contain more than 50% gaps/ambiguity
5013726at2759	3di_af	WARNING: 57 near-zero internal branches (<0.0061) should be treated with caution
5013726at2759	3di_af	WARNING: States(s) E, M, Y rarely appear in alignment and may cause numerical problems
5013726at2759	3di_af_empirical	WARNING: 2 sequences contain more than 50% gaps/ambiguity
5013726at2759	3di_af_empirical	WARNING: 55 near-zero internal branches (<0.0061) should be treated with caution
5013726at2759	3di_af_empirical	WARNING: States(s) E, M, Y rarely appear in alignment and may cause numerical problems
5013726at2759	3di_llm	WARNING: 2 sequences contain more than 50% gaps/ambiguity
5013726at2759	3di_llm	WARNING: 56 near-zero internal branches (<0.0061) should be treated with caution
5013726at2759	3di_llm	WARNING: States(s) E, M, Y rarely appear in alignment and may cause numerical problems
5013738at2759	aa	WARNING: 1 sequences contain more than 50% gaps/ambiguity
5013738at2759	aa	WARNING: 17 near-zero internal branches (<0.0059) should be treated with caution
5013738at2759	3di_af	WARNING: 1 sequences contain more than 50% gaps/ambiguity
5013738at2759	3di_af	WARNING: 57 near-zero internal branches (<0.0059) should be treated with caution
5013738at2759	3di_af	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5013738at2759	3di_af_empirical	WARNING: 1 sequences contain more than 50% gaps/ambiguity
5013738at2759	3di_af_empirical	WARNING: 51 near-zero internal branches (<0.0059) should be treated with caution
5013738at2759	3di_af_empirical	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5013738at2759	3di_llm	WARNING: 1 sequences contain more than 50% gaps/ambiguity
5013738at2759	3di_llm	WARNING: 64 near-zero internal branches (<0.0059) should be treated with caution
5013738at2759	3di_llm	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
5015403at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0032) should be treated with caution
5015403at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0032) should be treated with caution
5015403at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0032) should be treated with caution
5015712at2759	3di_af	WARNING: States(s) E, I, K, M, Y rarely appear in alignment and may cause numerical problems
5015712at2759	3di_af_empirical	WARNING: States(s) E, I, K, M, Y rarely appear in alignment and may cause numerical problems
5015712at2759	3di_llm	WARNING: States(s) E, I, K, M, Y rarely appear in alignment and may cause numerical problems
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.619 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.631 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.643 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.656 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.668 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.680 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.693 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.705 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.717 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.730 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.742 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 0.755 MB
5015742at2759	aa	WARNING: Too low -mem, automatically increased to 2.250 MB
5015742at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.680 MB
5015742at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.680 MB
5015742at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.680 MB
5017019at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0072) should be treated with caution
5017019at2759	3di_af	WARNING: States(s) K, W, Y rarely appear in alignment and may cause numerical problems
5017019at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0072) should be treated with caution
5017019at2759	3di_af_empirical	WARNING: States(s) K, W, Y rarely appear in alignment and may cause numerical problems
5017019at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0072) should be treated with caution
5017019at2759	3di_llm	WARNING: States(s) K, W, Y rarely appear in alignment and may cause numerical problems
529759at2759	aa	WARNING: 18 near-zero internal branches (<0.0044) should be treated with caution
529759at2759	3di_af	WARNING: 46 near-zero internal branches (<0.0044) should be treated with caution
529759at2759	3di_af	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
529759at2759	3di_af_empirical	WARNING: 42 near-zero internal branches (<0.0044) should be treated with caution
529759at2759	3di_af_empirical	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
529759at2759	3di_llm	WARNING: 46 near-zero internal branches (<0.0044) should be treated with caution
529759at2759	3di_llm	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
539632at2759	3di_af	WARNING: 6 near-zero internal branches (<0.0039) should be treated with caution
539632at2759	3di_af_empirical	WARNING: 5 near-zero internal branches (<0.0039) should be treated with caution
539632at2759	3di_llm	WARNING: 4 near-zero internal branches (<0.0039) should be treated with caution
540946at2759	3di_af	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
540946at2759	3di_af_empirical	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
540946at2759	3di_llm	WARNING: States(s) E rarely appear in alignment and may cause numerical problems
541070at2759	aa	WARNING: 2 near-zero internal branches (<0.0045) should be treated with caution
541070at2759	3di_af	WARNING: 16 near-zero internal branches (<0.0045) should be treated with caution
541070at2759	3di_af	WARNING: States(s) I, K, M, W rarely appear in alignment and may cause numerical problems
541070at2759	3di_af_empirical	WARNING: 13 near-zero internal branches (<0.0045) should be treated with caution
541070at2759	3di_af_empirical	WARNING: States(s) I, K, M, W rarely appear in alignment and may cause numerical problems
541070at2759	3di_llm	WARNING: 21 near-zero internal branches (<0.0045) should be treated with caution
541070at2759	3di_llm	WARNING: States(s) I, K, M, W rarely appear in alignment and may cause numerical problems
554735at2759	aa	WARNING: 2 near-zero internal branches (<0.0043) should be treated with caution
554735at2759	3di_af	WARNING: 26 near-zero internal branches (<0.0043) should be treated with caution
554735at2759	3di_af_empirical	WARNING: 29 near-zero internal branches (<0.0043) should be treated with caution
554735at2759	3di_llm	WARNING: 29 near-zero internal branches (<0.0043) should be treated with caution
649304at2759	aa	WARNING: 1 near-zero internal branches (<0.0036) should be treated with caution
649304at2759	3di_af	WARNING: 5 near-zero internal branches (<0.0036) should be treated with caution
649304at2759	3di_af	WARNING: States(s) E, G, I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
649304at2759	3di_af_empirical	WARNING: 3 near-zero internal branches (<0.0036) should be treated with caution
649304at2759	3di_af_empirical	WARNING: States(s) E, G, I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
649304at2759	3di_llm	WARNING: 6 near-zero internal branches (<0.0036) should be treated with caution
649304at2759	3di_llm	WARNING: States(s) E, G, I, K, M, T, W, Y rarely appear in alignment and may cause numerical problems
707076at2759	aa	WARNING: 3 sequences contain more than 50% gaps/ambiguity
707076at2759	aa	WARNING: 7 near-zero internal branches (<0.0044) should be treated with caution
707076at2759	3di_af	WARNING: 27 near-zero internal branches (<0.0044) should be treated with caution
707076at2759	3di_af	WARNING: 3 sequences contain more than 50% gaps/ambiguity
707076at2759	3di_af_empirical	WARNING: 22 near-zero internal branches (<0.0044) should be treated with caution
707076at2759	3di_af_empirical	WARNING: 3 sequences contain more than 50% gaps/ambiguity
707076at2759	3di_llm	WARNING: 24 near-zero internal branches (<0.0044) should be treated with caution
707076at2759	3di_llm	WARNING: 3 sequences contain more than 50% gaps/ambiguity
707202at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0031) should be treated with caution
707202at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0031) should be treated with caution
707202at2759	3di_llm	WARNING: 1 near-zero internal branches (<0.0031) should be treated with caution
727964at2759	aa	WARNING: 1 sequences contain more than 50% gaps/ambiguity
727964at2759	3di_af	WARNING: 1 near-zero internal branches (<0.0041) should be treated with caution
727964at2759	3di_af	WARNING: 1 sequences contain more than 50% gaps/ambiguity
727964at2759	3di_af	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
727964at2759	3di_af_empirical	WARNING: 1 near-zero internal branches (<0.0041) should be treated with caution
727964at2759	3di_af_empirical	WARNING: 1 sequences contain more than 50% gaps/ambiguity
727964at2759	3di_af_empirical	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
727964at2759	3di_llm	WARNING: 1 sequences contain more than 50% gaps/ambiguity
727964at2759	3di_llm	WARNING: 2 near-zero internal branches (<0.0041) should be treated with caution
727964at2759	3di_llm	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
760428at2759	aa	WARNING: 1 sequences contain more than 50% gaps/ambiguity
760428at2759	3di_af	WARNING: 1 sequences contain more than 50% gaps/ambiguity
760428at2759	3di_af	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
760428at2759	3di_af_empirical	WARNING: 1 sequences contain more than 50% gaps/ambiguity
760428at2759	3di_af_empirical	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
760428at2759	3di_llm	WARNING: 1 sequences contain more than 50% gaps/ambiguity
760428at2759	3di_llm	WARNING: States(s) M rarely appear in alignment and may cause numerical problems
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.408 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.421 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.433 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.446 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.458 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.470 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.483 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.495 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 0.507 MB
776280at2759	aa	WARNING: Too low -mem, automatically increased to 1.422 MB
776280at2759	3di_af	WARNING: States(s) I, K, M rarely appear in alignment and may cause numerical problems
776280at2759	3di_af	WARNING: Too low -mem, automatically increased to 0.483 MB
776280at2759	3di_af_empirical	WARNING: States(s) I, K, M rarely appear in alignment and may cause numerical problems
776280at2759	3di_af_empirical	WARNING: Too low -mem, automatically increased to 0.483 MB
776280at2759	3di_llm	WARNING: States(s) I, K, M rarely appear in alignment and may cause numerical problems
776280at2759	3di_llm	WARNING: Too low -mem, automatically increased to 0.483 MB
801816at2759	aa	WARNING: 14 near-zero internal branches (<0.0065) should be treated with caution
801816at2759	3di_af	WARNING: 48 near-zero internal branches (<0.0065) should be treated with caution
801816at2759	3di_af	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
801816at2759	3di_af_empirical	WARNING: 46 near-zero internal branches (<0.0065) should be treated with caution
801816at2759	3di_af_empirical	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
801816at2759	3di_llm	WARNING: 48 near-zero internal branches (<0.0065) should be treated with caution
801816at2759	3di_llm	WARNING: States(s) E, Y rarely appear in alignment and may cause numerical problems
