scope	confidence_regime	comparison_rows	excluded_rows	median_retained_fraction	median_compared_residues	median_uncorrected_3di_difference	median_uncorrected_sequence_difference	median_ca_superposition_rmsd_angstrom	median_local_distance_mean_absolute_change_angstrom
whole_marker	valid_focal70	858	0	1.0	240.0	0.16191077098428724	0.35348837209302325	1.4057744605545062	0.2688105357221525
whole_marker	six_residue70	856	2	0.9279953917050692	221.0	0.14056224899598393	0.3459648493543759	1.2573722718300864	0.2407584086366364
whole_marker	six_residue70_pae10	856	2	0.9268849537810446	221.0	0.1404620109743993	0.3457670906200318	1.2574427681060003	0.2407584086366364
domain	valid_focal70	738	0	1.0	82.0	0.1306122448979592	0.3021061869240895	0.5087878350606556	0.18041919728139078
domain	six_residue70	718	20	0.9420289855072463	80.0	0.10984039210757823	0.29122870605291773	0.43741625009352203	0.16719420628600343
domain	six_residue70_pae10	717	21	0.9411764705882353	80.0	0.10810810810810811	0.2903225806451613	0.4365864260613314	0.16719420628600343
