taxon_id	species_name	study_role	lineage_group	dataset	selection_reason
F5022	Plenodomus lingam	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F4754	Pneumocystis carinii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F263815	Pneumocystis murina	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1453789	Toensbergia leucococca	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F706196	Saccharomyces arboricola	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F114525	Saccharomyces mikatae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F230603	Saccharomyces uvarum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F56409	Hanseniaspora vineae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F5606	Saitoella complicata	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F273283	Sarea resinae	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F400354	Loxospora ochrophaea	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F1042397	Schaereria dolodes	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	ascomycota_odb12.2	Exact manifest-group panel
