taxon_id	species_name	duplicated_markers	duplicated_markers_one_full_sequence	markers_with_identical_distinct_gene_pair	distinct_gene_pairs	exact_identical_distinct_gene_pairs
F1145321	Letrouitia subvulpina	1	0	0	3	0
F116982	Xanthoria calcicola	9	0	0	0	0
F3342545	Pseudogymnoascus australis	1	0	0	1	0
F655981	Pseudogymnoascus destructans	2	1	1	2	1
F342668	Pseudogymnoascus verrucosus	0	0	0	0	0
F1116844	Thelocarpon impressellum	1	0	0	1	0
F2939404	Thelocarpon superellum	0	0	0	0	0
F1093900	Thyridium curvatum	1	0	0	1	0
F223192	Phaeoacremonium minimum	1	0	0	1	0
F2918522	Lignoscripta atroalba	0	0	0	0	0
F129515	Trapelia coarctata	0	0	0	0	0
F51930	Tortispora caseinolytica	1	0	0	3	0
F2939406	Bogoriella megaspora	0	0	0	0	0
F364730	Trypethelium subeluteriae	0	0	0	0	0
F1048519	Viridothelium virens	0	0	0	0	0
F318760	Hypocenomyce scalaris	0	0	0	0	0
F136370	Lasallia pustulata	2	0	0	4	0
F87287	Umbilicaria vellea	0	0	0	0	0
F1048955	Tothia fuscella	0	0	0	0	0
F50376	Venturia effusa	1	0	0	1	0
F253628	Verruconis gallopava	13	5	0	0	0
F364733	Endocarpon pusillum	1	0	0	1	0
F2939408	Vezdaea acicularis	0	0	0	0	0
F2939405	Vezdaea aestivalis	0	0	0	0	0
F326681	Hypoxylon trugodes	0	0	0	0	0
F1682393	Microdochium trichocladiopsis	0	0	0	0	0
F326684	Xylaria bambusicola	0	0	0	0	0
F1130053	Cirrosporium novae-zelandiae	4	3	3	4	3
F1217826	Xylona heveae	0	0	0	0	0
F423460	Basidiobolus meristosporus	18	7	8	24	8
F34480	Basidiobolus ranarum	34	1	1	38	1
F87326	Amanita brunnescens	20	0	0	1	0
F933333	Amanita inopinata	3	0	0	3	0
F41956	Amanita muscaria	3	1	1	5	1
F67723	Amanita phalloides	0	0	0	0	0
F1004511	Amanita polypyramis	13	0	0	0	0
F71933	Amanita rubescens	14	4	4	19	4
F235537	Amanita thiersii	0	0	0	0	0
F89243	Laccaria amethystina	4	0	0	6	0
F29883	Laccaria bicolor	4	0	0	8	0
F44565	Sterigmatomyces hyphaenes	1	0	0	1	0
F2831993	Plicatura crispa	2	0	0	4	0
F1759441	Athelia psychrophila	10	4	4	12	4
F2748771	Athelia sp. TMB	80	19	21	86	23
F80663	Piloderma croceum	3	0	0	3	0
F1938712	Atractiella rhizophila	19	2	3	21	3
F1331295	Auricularia subglabra	6	0	0	28	0
