taxon_id	species_name	study_role	lineage_group	marker_slots	markers_with_model	eligible_markers	usable_markers	matrix_columns	observed	noncanonical_or_missing_sequence	no_structural_mapping	invalid_native_feature	low_feature_plddt	high_feature_pae	observed_fraction_of_matrix
F5580	Aureobasidium pullulans	ingroup	Ascomycota	125	2	2	2	49027	1262	714	46990	0	59	2	0.025740918269524956
F2781224	Neodothiora populina	ingroup	Ascomycota	125	0	0	0	49027	0	3401	45626	0	0	0	0.0
F2024903	Zalaria obscura	ingroup	Ascomycota	125	0	0	0	49027	0	5378	43649	0	0	0	0.0
F1341166	Eremomyces bilateralis	ingroup	Ascomycota	125	3	2	1	49027	641	1286	46914	0	186	0	0.013074428376200868
F182096	Aspergillus chevalieri	ingroup	Ascomycota	125	2	2	2	49027	1330	1686	45955	0	56	0	0.027127909111306015
F5059	Aspergillus flavus	ingroup	Ascomycota	125	3	3	2	49027	567	696	47656	2	106	0	0.011565055989556774
F746128	Aspergillus fumigatus	ingroup	Ascomycota	125	2	2	1	49027	552	689	47746	0	40	0	0.011259102127399188
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	125	3	3	1	49027	849	1047	46940	2	186	3	0.017316988598119403
F41759	Aspergillus multicolor	ingroup	Ascomycota	125	0	0	0	49027	0	732	48295	0	0	0	0.0
F162425	Aspergillus nidulans	ingroup	Ascomycota	125	3	3	2	49027	823	1999	46069	0	136	0	0.01678666857037959
F5062	Aspergillus oryzae	ingroup	Ascomycota	125	2	2	2	49027	580	2020	46290	2	135	0	0.011830216003426684
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	125	3	3	3	49027	689	536	47772	0	29	1	0.014053480735105145
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	125	0	0	0	49027	0	1379	47648	0	0	0	0.0
F1810928	Aspergillus undulatus	ingroup	Ascomycota	125	0	0	0	49027	0	706	48321	0	0	0	0.0
F315204	Geoglossum umbratile	ingroup	Ascomycota	125	0	0	0	49027	0	2048	46979	0	0	0	0.0
F1670608	Glutinoglossum americanum	ingroup	Ascomycota	125	3	3	1	49027	476	3079	45317	0	155	0	0.009708935892467416
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	125	0	0	0	49027	0	3411	45616	0	0	0	0.0
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	125	7	7	6	49027	1935	656	45896	1	539	0	0.03946804821832867
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	125	6	6	6	49027	1446	621	46788	2	170	0	0.029493952311991353
F34406	Colletotrichum destructivum	ingroup	Ascomycota	125	2	2	2	49027	431	1468	46975	0	153	0	0.008791074305994656
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	125	3	3	2	49027	597	2020	46358	1	51	0	0.012176963713871948
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	125	2	2	2	49027	368	1770	46795	0	93	1	0.007506068084932792
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	125	3	3	2	49027	903	1759	46252	0	109	4	0.018418422501886716
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	125	0	0	0	49027	0	1252	47775	0	0	0	0.0
F1095194	Colletotrichum karsti	ingroup	Ascomycota	125	3	3	3	49027	691	1238	46924	0	172	2	0.014094274583392824
F145971	Colletotrichum lupini	ingroup	Ascomycota	125	5	5	3	49027	1472	1258	46061	0	233	3	0.030024272339731168
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	125	6	6	6	49027	1446	658	46751	2	170	0	0.029493952311991353
F5570	Cenococcum geophilum	ingroup	Ascomycota	125	0	0	0	49027	0	2811	46216	0	0	0	0.0
F574774	Glonium stellatum	ingroup	Ascomycota	125	2	2	0	49027	466	2254	46238	0	67	2	0.009504966651029024
F5101	Amorphotheca resinae	ingroup	Ascomycota	125	2	2	0	49027	1232	704	46973	0	117	1	0.025129010545209784
F40559	Botrytis cinerea	ingroup	Ascomycota	125	2	2	2	49027	383	3696	44904	0	44	0	0.007812021947090379
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	125	2	2	1	49027	466	712	47794	0	54	1	0.009504966651029024
F195108	Fusarium falciforme	ingroup	Ascomycota	125	2	2	1	49027	635	2117	46014	0	257	4	0.012952046831337834
F5127	Fusarium fujikuroi	ingroup	Ascomycota	125	2	2	2	49027	410	2125	46457	0	35	0	0.008362738898974034
F5518	Fusarium graminearum	ingroup	Ascomycota	125	2	2	2	49027	400	748	47810	1	68	0	0.008158769657535644
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	125	1	1	1	49027	108	849	48066	0	4	0	0.0022028678075346237
F1042133	Fusarium musae	ingroup	Ascomycota	125	4	4	3	49027	807	1349	46738	1	132	0	0.016460317784078162
F5507	Fusarium oxysporum	ingroup	Ascomycota	125	2	2	2	49027	496	707	47727	0	95	2	0.010116874375344198
F36050	Fusarium poae	ingroup	Ascomycota	125	2	2	0	49027	204	690	48123	0	10	0	0.0041609725253431784
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	125	3	3	2	49027	1235	1085	46577	0	130	0	0.0251902013176413
F5128	Fusarium sambucinum	ingroup	Ascomycota	125	1	1	0	49027	127	883	48010	0	7	0	0.0025904093662675667
F117187	Fusarium verticillioides	ingroup	Ascomycota	125	5	5	5	49027	1495	11293	35977	1	260	1	0.03049340159503947
F173216	Trichoderma aggressivum	ingroup	Ascomycota	125	2	2	2	49027	405	1841	46766	0	15	0	0.00826075427825484
F101201	Trichoderma asperellum	ingroup	Ascomycota	125	3	3	3	49027	1154	2499	45335	1	36	2	0.023538050461990333
F63577	Trichoderma atroviride	ingroup	Ascomycota	125	3	3	2	49027	1220	4254	43466	1	86	0	0.02488424745548371
F2034170	Trichoderma breve	ingroup	Ascomycota	125	2	2	2	49027	315	1122	47573	0	17	0	0.00642503110530932
F1738374	Trichoderma camerunense	ingroup	Ascomycota	125	0	0	0	49027	0	1170	47857	0	0	0	0.0
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	125	2	2	2	49027	445	742	47783	0	57	0	0.009076631244008404
F549676	Trichoderma evansii	ingroup	Ascomycota	125	1	1	1	49027	170	1566	47287	1	3	0	0.0034674771044526484
F398673	Trichoderma gamsii	ingroup	Ascomycota	125	3	3	2	49027	695	3093	45200	1	36	2	0.014175862279968181
F65468	Trichoderma ghanense	ingroup	Ascomycota	125	0	0	0	49027	0	1378	47649	0	0	0	0.0
F5544	Trichoderma harzianum	ingroup	Ascomycota	125	2	2	2	49027	708	657	47491	0	170	1	0.014441022293838089
F2732470	Bacidia gigantensis	ingroup	Ascomycota	125	0	0	0	49027	0	3977	45050	0	0	0	0.0
F209136	Lepraria neglecta	ingroup	Ascomycota	125	2	2	1	49027	720	1264	47030	1	12	0	0.014685785383564158
F560253	Letharia lupina	ingroup	Ascomycota	125	2	2	1	49027	586	755	47605	0	80	1	0.011952597548289718
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	125	0	0	0	49027	0	2444	46583	0	0	0	0.0
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	125	0	0	0	49027	0	1154	47873	0	0	0	0.0
F174425	Lichina confinis	ingroup	Ascomycota	125	0	0	0	49027	0	2778	46249	0	0	0	0.0
F318774	Phylliscum demangeonii	ingroup	Ascomycota	125	0	0	0	49027	0	4136	44891	0	0	0	0.0
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	125	0	0	0	49027	0	4208	44819	0	0	0	0.0
F578093	Lineolata rhizophorae	ingroup	Ascomycota	125	2	2	2	49027	1065	2019	45715	0	227	1	0.02172272421318865
F1125753	Limtongia smithiae	ingroup	Ascomycota	125	0	0	0	49027	0	2279	46748	0	0	0	0.0
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	125	0	0	0	49027	0	2352	46675	0	0	0	0.0
F44089	Neoaidaea tothii	ingroup	Ascomycota	125	0	0	0	49027	0	1600	47427	0	0	0	0.0
F339359	Zalerion maritima	ingroup	Ascomycota	125	2	2	1	49027	547	2358	46004	0	118	0	0.011157117506679992
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	125	2	2	2	49027	602	2129	46165	0	131	0	0.012278948334591144
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	125	3	3	3	49027	720	10547	37719	0	41	0	0.014685785383564158
F148305	Pyricularia grisea	ingroup	Ascomycota	125	3	3	2	49027	1071	1264	46484	0	207	1	0.021845105758051687
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	125	0	0	0	49027	0	1660	47367	0	0	0	0.0
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	125	0	0	0	49027	0	1726	47301	0	0	0	0.0
F563466	Scedosporium apiospermum	ingroup	Ascomycota	125	2	2	0	49027	1123	11350	36316	0	238	0	0.02290574581353132
F703497	Microthyrium microscopicum	ingroup	Ascomycota	125	2	2	2	49027	358	614	48038	1	16	0	0.007302098843494401
F122368	Cercospora beticola	ingroup	Ascomycota	125	3	3	3	49027	977	788	47100	1	158	3	0.01992779488853081
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	125	2	2	0	49027	938	1298	46523	0	266	2	0.019132314846921083
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	125	2	2	1	49027	992	1078	46668	1	288	0	0.020233748750688396
F2601811	Elsinoe batatas	ingroup	Ascomycota	125	2	2	1	49027	543	2176	46251	0	56	1	0.011075529810104637
F147570	Myriangium duriaei	ingroup	Ascomycota	125	3	3	3	49027	1473	955	46492	1	106	0	0.030044669263875008
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	125	2	2	2	49027	297	888	47825	0	17	0	0.006057886470720216
F741139	Lepidopterella palustris	ingroup	Ascomycota	125	2	2	0	49027	688	762	47357	0	217	3	0.014033083810961307
F390894	Lophium mytilinum	ingroup	Ascomycota	125	2	2	0	49027	397	1181	47399	0	50	0	0.008097578885104127
F574789	Mytilinidion resinicola	ingroup	Ascomycota	125	2	2	0	49027	431	827	47622	0	147	0	0.008791074305994656
F48691	Neolecta irregularis	ingroup	Ascomycota	125	2	2	1	49027	388	9792	38703	0	144	0	0.007914006567809575
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	125	0	0	0	49027	0	2656	46371	0	0	0	0.0
F199306	Coccidioides posadasii	ingroup	Ascomycota	125	0	0	0	49027	0	3888	45139	0	0	0	0.0
F63402	Nannizzia gypsea	ingroup	Ascomycota	125	2	2	1	49027	967	1821	45784	0	455	0	0.019723825647092418
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	125	3	3	2	49027	981	907	47073	0	64	2	0.020009382585106168
F226899	Leptographium clavigerum	ingroup	Ascomycota	125	2	2	2	49027	305	3079	45612	0	31	0	0.006221061863870928
F61273	Ophiostoma piceae	ingroup	Ascomycota	125	2	2	1	49027	498	1946	46553	1	29	0	0.010157668223631877
F29908	Sporothrix schenckii	ingroup	Ascomycota	125	2	2	2	49027	684	2521	45813	0	9	0	0.013951496114385951
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	125	2	2	0	49027	500	1017	47478	1	31	0	0.010198462071919554
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	125	0	0	0	49027	0	5251	43776	0	0	0	0.0
F2813651	Orbilia oligospora	ingroup	Ascomycota	125	2	2	2	49027	883	935	47121	0	88	0	0.018010484019009933
F1940652	Gomphillus americanus	ingroup	Ascomycota	125	2	2	2	49027	534	1040	47395	0	57	1	0.010891957492810083
F2704026	Stictis urceolata	ingroup	Ascomycota	125	0	0	0	49027	0	1985	47042	0	0	0	0.0
F209281	Thelotrema lepadinum	ingroup	Ascomycota	125	0	0	0	49027	0	4675	44352	0	0	0	0.0
F703506	Patellaria atrata	ingroup	Ascomycota	125	2	2	2	49027	382	2247	46334	2	62	0	0.00779162502294654
F669869	Lobaria immixta	ingroup	Ascomycota	125	0	0	0	49027	0	2046	46981	0	0	0	0.0
F52883	Peltigera leucophlebia	ingroup	Ascomycota	125	0	0	0	49027	0	10185	38842	0	0	0	0.0
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	125	0	0	0	49027	0	4023	45004	0	0	0	0.0
F443868	Agyrium rufum	ingroup	Ascomycota	125	0	0	0	49027	0	1686	47341	0	0	0	0.0
F1006475	Circinaria calcarea	ingroup	Ascomycota	125	0	0	0	49027	0	8122	40905	0	0	0	0.0
