taxon_id	species_name	study_role	assembly_accession	match_status	queried_genus	source_genus	source_rank	source_record_id	source_excel_rows	source_doi	source_phylum	source_class	source_family	taxon_identity_flags	source_genus_comment_present	source_lifestyle_comment_present	species_verified	eligible_for_confirmatory_tests	candidate_primary_lifestyle	candidate_secondary_lifestyle	candidate_endophytic_capability	candidate_plant_pathogenic_capacity	candidate_decay_substrate	candidate_decay_type	candidate_aquatic_habitat	candidate_animal_biotrophic_capacity	candidate_growth_form	candidate_fruitbody_type
F1498855	Amoeboaphelidium occidentale	ingroup	GCA_023515795.1	genus_candidate_requires_species_verification	Amoeboaphelidium	Amoeboaphelidium	genus	jrk00300	879	https://doi.org/10.1007/s13225-020-00466-2	Aphelidiomycota	Aphelidiomycetes	Aphelidiales family incertae sedis		False	False	False	False	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		partly_aquatic		zoosporic-plasmodium_(aphelid)	none
F1243177	Amoeboaphelidium protococcarum	ingroup	GCA_023515745.1	genus_candidate_requires_species_verification	Amoeboaphelidium	Amoeboaphelidium	genus	jrk00300	879	https://doi.org/10.1007/s13225-020-00466-2	Aphelidiomycota	Aphelidiomycetes	Aphelidiales family incertae sedis		False	False	False	False	algal_parasite		no_endophytic_capacity	algal_parasite	algal_material		partly_aquatic		zoosporic-plasmodium_(aphelid)	none
F2871812	Acarospora aff. strigata	ingroup	GCA_022814355.1	genus_candidate_requires_species_verification	Acarospora	Acarospora	genus	jrk00044	4481	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Acarosporaceae	incompletely_identified_species_label	False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F318763	Pleopsidium flavum	ingroup	GCA_026027315.1	genus_candidate_requires_species_verification	Pleopsidium	Pleopsidium	genus	jrk06739	4487	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Acarosporaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F470096	Pseudovirgaria hyperparasitica	ingroup	GCF_010093815.1	genus_candidate_requires_species_verification	Pseudovirgaria	Pseudovirgaria	genus	jrk07248	438	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Acrospermaceae		False	True	False	False	mycoparasite	fungal_decomposer			fungal_material		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F4918	Pachysolen tannophilus	ingroup	GCA_001661245.1	genus_candidate_requires_species_verification	Pachysolen	Pachysolen	genus	jrk06016	6072	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Pichiaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		non-aquatic	arthropod-associated	yeast	none
F1658444	Neoarthrinium moseri	ingroup	GCF_022829205.1	no_exact_genus_match	Neoarthrinium										False	False	False	False										
F393283	Pestalotiopsis fici	ingroup	GCF_000516985.1	genus_candidate_requires_species_verification	Pestalotiopsis	Pestalotiopsis	genus	jrk06332	6206	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Sporocadaceae		False	False	False	False	plant_pathogen			leaf/fruit/seed_pathogen			partly_aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F1141098	Pseudomassariella vexata	ingroup	GCF_002105095.1	genus_candidate_requires_species_verification	Pseudomassariella	Pseudomassariella	genus	jrk10075	6190	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Pseudomassariaceae		False	False	False	False	unspecified_saprotroph						non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F91480	Alyxoria varia	ingroup	GCA_026054675.1	genus_candidate_requires_species_verification	Alyxoria	Alyxoria	genus	jrk00261	907	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Arthoniomycetes	Lecanographaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F2939400	Chrysothrix sp. TS-e1954	ingroup	GCA_026023555.1	genus_candidate_requires_species_verification	Chrysothrix	Chrysothrix	genus	jrk01747	905	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Arthoniomycetes	Chrysotrichaceae	incompletely_identified_species_label	False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F1542792	Coniocarpon cinnabarinum	ingroup	GCA_051942205.1	genus_candidate_requires_species_verification	Coniocarpon	Coniocarpon	genus	jrk02008	889	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Arthoniomycetes	Arthoniaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F54195	Ascoidea rubescens	ingroup	GCF_001661345.1	genus_candidate_requires_species_verification	Ascoidea	Ascoidea	genus	jrk00665	6027	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Ascoideaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		non-aquatic	arthropod-associated	yeast	none
F43959	Saccharomycopsis crataegensis	ingroup	GCF_037102585.1	genus_candidate_requires_species_verification	Saccharomycopsis	Saccharomycopsis	genus	jrk07743	6123	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycopsidaceae		False	False	False	False	nectar/tap_saprotroph	animal_parasite			animal_material,sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F1176130	Aulographum hederae	ingroup	GCA_010015705.1	genus_candidate_requires_species_verification	Aulographum	Aulographum	genus	jrk00787	2797	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Aulographaceae		False	False	False	False	litter_saprotroph				leaf/fruit/seed		non-aquatic		filamentous_mycelium	thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)
F1504668	Rhizodiscina lignyota	ingroup	GCA_010015805.1	genus_candidate_requires_species_verification	Rhizodiscina	Rhizodiscina	genus	jrk07555	3284	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Patellariaceae		False	False	False	False	wood_saprotroph		no_endophytic_capacity		wood		non-aquatic		filamentous_mycelium	apothecium_(hymenium_on_surface)
F1397036	Lambiella insularis	ingroup	GCA_022814265.1	genus_candidate_requires_species_verification	Lambiella	Lambiella	genus	jrk04447	4523	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Xylographaceae		False	True	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F223409	Ptychographa xylographoides	ingroup	GCA_022814105.1	genus_candidate_requires_species_verification	Ptychographa	Ptychographa	genus	jrk07291	4525	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Xylographaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F1590129	Xylographa bjoerkii	ingroup	GCA_022813905.1	genus_candidate_requires_species_verification	Xylographa	Xylographa	genus	jrk09488	4526	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Xylographaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F462254	Aplosporella prunicola	ingroup	GCF_010093885.1	genus_candidate_requires_species_verification	Aplosporella	Aplosporella	genus	jrk00507	2390	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Aplosporellaceae		False	False	False	False	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic		filamentous_mycelium	
F236234	Diplodia corticola	ingroup	GCF_001883845.1	genus_candidate_requires_species_verification	Diplodia	Diplodia	genus	jrk02673	2401	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Botryosphaeriaceae		False	False	False	False	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		partly_aquatic		filamentous_mycelium	
F121624	Phyllosticta capitalensis	ingroup	GCF_038381095.1	genus_candidate_requires_species_verification	Phyllosticta	Phyllosticta	genus	jrk06582	2439	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Phyllostictaceae		False	False	False	False	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	non-aquatic		filamentous_mycelium	
F3058885	Dirinaria sp. TL-2023a	ingroup	GCA_051941275.1	genus_candidate_requires_species_verification	Dirinaria	Dirinaria	genus	jrk02698	4546	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Caliciaceae	incompletely_identified_species_label	False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F116794	Heterodermia speciosa	ingroup	GCA_905337345.1	genus_candidate_requires_species_verification	Heterodermia	Heterodermia	genus	jrk03840	4567	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Physciaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F116821	Physcia stellaris	ingroup	GCA_018902385.1	genus_candidate_requires_species_verification	Physcia	Physcia	genus	jrk06591	4576	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Lecanoromycetes	Physciaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F41990	Pleurostoma richardsiae	ingroup	GCA_030052745.1	genus_candidate_requires_species_verification	Pleurostoma	Pleurostoma	genus	jrk06769	6258	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Pleurostomataceae		False	False	False	False	wood_saprotroph				wood		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F460848	Candelaria pacifica	ingroup	GCA_026023815.1	genus_candidate_requires_species_verification	Candelaria	Candelaria	genus	jrk01398	2352	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Candelariomycetes	Candelariaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F460854	Candelina submexicana	ingroup	GCA_026023795.1	genus_candidate_requires_species_verification	Candelina	Candelina	genus	jrk01400	2354	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Candelariomycetes	Candelariaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F1453791	Pycnora praestabilis	ingroup	GCA_026026765.1	genus_candidate_requires_species_verification	Pycnora	Pycnora	genus	jrk07339	2357	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Candelariomycetes	Pycnoraceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	apothecium_(hymenium_on_surface)
F147573	Piedraia hortae	ingroup	GCA_010093745.1	genus_candidate_requires_species_verification	Piedraia	Piedraia	genus	jrk06612	2683	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Piedraiaceae		False	False	False	False	animal_parasite	animal_decomposer			animal_material		non-aquatic	animal_parasite	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F705562	Polychaeton citri	ingroup	GCA_010093785.1	genus_candidate_requires_species_verification	Polychaeton	Polychaeton	genus	jrk09667	2461	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Capnodiaceae		False	False	False	False	sooty_mold	litter_saprotroph			leaf/fruit/seed,sugar-rich_substrates		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F1093897	Phialemonium atrogriseum	ingroup	GCF_030411735.1	genus_candidate_requires_species_verification	Phialemonium	Phialemonium	genus	jrk06478	6263	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Cephalothecaceae		False	False	False	False	animal_parasite	animal_decomposer			animal_material		partly_aquatic	animal_parasite	filamentous_mycelium	none
F223376	Phialemonium thermophilum	ingroup	GCA_042366435.1	genus_candidate_requires_species_verification	Phialemonium	Phialemonium	genus	jrk06478	6263	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Cephalothecaceae		False	False	False	False	animal_parasite	animal_decomposer			animal_material		partly_aquatic	animal_parasite	filamentous_mycelium	none
F1506992	Thozetella sp. PMI_491	ingroup	GCA_021432635.1	genus_candidate_requires_species_verification	Thozetella	Thozetella	genus	jrk08815	6313	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Chaetosphaeriaceae	incompletely_identified_species_label	False	False	False	False	litter_saprotroph				leaf/fruit/seed		non-aquatic		filamentous_mycelium	none
F293227	Cyphellophora europaea	ingroup	GCF_000365145.1	genus_candidate_requires_species_verification	Cyphellophora	Cyphellophora	genus	jrk02322	4057	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Cyphellophoraceae		False	False	False	False	litter_saprotroph	animal_parasite			leaf/fruit/seed,animal_material		non-aquatic	animal_parasite/opportunistic_human_parasite	dimorphic_yeast	none
F2486360	Exophiala viscosa	ingroup	GCF_022695815.1	genus_candidate_requires_species_verification	Exophiala	Exophiala	genus	jrk03104	4068	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Herpotrichiellaceae		False	False	False	False	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material		partly_aquatic	animal_parasite/opportunistic_human_parasite	dimorphic_yeast	
F1690604	Lithohypha guttulata	ingroup	GCF_036872675.1	genus_candidate_requires_species_verification	Lithohypha	Lithohypha	genus	jrk04746	4094	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Trichomeriaceae		False	False	False	False	unspecified_saprotroph	rock-inhabiting			soil		non-aquatic			
F1052096	Cladosporium halotolerans	ingroup	GCF_011745625.1	genus_candidate_requires_species_verification	Cladosporium	Cladosporium	genus	jrk01811	2486	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Cladosporiaceae		False	True	False	False	litter_saprotroph	plant_pathogen	foliar_endophyte	leaf/fruit/seed_pathogen	wood,leaf/fruit/seed,soil,dung,animal_material		partly_aquatic	animal_parasite	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F1507870	Cryoendolithus antarcticus	ingroup	GCA_002077065.1	no_exact_genus_match	Cryoendolithus										False	False	False	False										
F1507873	Rachicladosporium monterosium	ingroup	GCA_035927975.1	genus_candidate_requires_species_verification	Rachicladosporium	Rachicladosporium	genus	jrk07405	2492	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Cladosporiaceae		False	False	False	False	litter_saprotroph				leaf/fruit/seed		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F91930	Coniochaeta hoffmannii	ingroup	GCA_055755465.1	genus_candidate_requires_species_verification	Coniochaeta	Coniochaeta	genus	jrk02010	6336	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Coniochaetaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,soil,dung,animal_material		non-aquatic	animal_parasite	filamentous_mycelium	cleistothecium_(closed,_spherical)
F177197	Coniochaeta ligniaria	ingroup	GCA_001879275.1	genus_candidate_requires_species_verification	Coniochaeta	Coniochaeta	genus	jrk02010	6336	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Coniochaetaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,soil,dung,animal_material		non-aquatic	animal_parasite	filamentous_mycelium	cleistothecium_(closed,_spherical)
F177199	Coniochaeta pulveracea	ingroup	GCA_003635345.1	genus_candidate_requires_species_verification	Coniochaeta	Coniochaeta	genus	jrk02010	6336	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Coniochaetaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,soil,dung,animal_material		non-aquatic	animal_parasite	filamentous_mycelium	cleistothecium_(closed,_spherical)
F164576	Chaenotheca gracillima	ingroup	GCA_026023695.1	genus_candidate_requires_species_verification	Chaenotheca	Chaenotheca	genus	jrk01599	2359	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Coniocybomycetes	Coniocybaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	mazaedium_(pushpin-like)
F2939403	Sclerophora amabilis	ingroup	GCA_026025825.1	genus_candidate_requires_species_verification	Sclerophora	Sclerophora	genus	jrk07892	2356	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Candelariomycetes	Candelariaceae		False	False	False	False	lichenized						non-aquatic		thallus_photosynthetic	mazaedium_(pushpin-like)
F5116	Cryphonectria parasitica	ingroup	GCF_011745365.1	genus_candidate_requires_species_verification	Cryphonectria	Cryphonectria	genus	jrk02182	6410	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Cryphonectriaceae		False	False	False	False	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F1214568	Diaporthe amygdali	ingroup	GCF_026229845.1	genus_candidate_requires_species_verification	Diaporthe	Diaporthe	genus	jrk02536	6434	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Diaporthaceae		False	False	False	False	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed		partly_aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F148313	Discula destructiva	ingroup	GCA_965644035.1	genus_candidate_requires_species_verification	Discula	Discula	genus	jrk09968	6511	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Gnomoniaceae		False	False	False	False	plant_pathogen			leaf/fruit/seed_pathogen		soft_rot	non-aquatic		filamentous_mycelium	
F2268995	Blastobotrys vanleenenianus	ingroup	GCF_965637985.1	genus_candidate_requires_species_verification	Blastobotrys	Blastobotrys	genus	jrk01059	6124	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Trichomonascaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	animal-associated	yeast	none
F2606893	Magnusiomyces paraingens	ingroup	GCF_902498895.1	genus_candidate_requires_species_verification	Magnusiomyces	Magnusiomyces	genus	jrk04881	6047	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Dipodascaceae		False	False	False	False	animal_parasite	nectar/tap_saprotroph			animal_material,sugar-rich_substrates		non-aquatic	opportunistic_human_parasite	yeast	none
F796027	Sugiyamaella lignohabitans	ingroup	GCF_001640025.1	genus_candidate_requires_species_verification	Sugiyamaella	Sugiyamaella	genus	jrk08506	6129	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Trichomonascaceae		False	False	False	False	animal_endosymbiont	nectar/tap_saprotroph			sugar-rich_substrates		non-aquatic	animal_endosymbiont	yeast	none
F5580	Aureobasidium pullulans	ingroup	GCF_000721785.1	genus_candidate_requires_species_verification	Aureobasidium	Aureobasidium	genus	jrk00798	2783	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Saccotheciaceae		False	True	False	False	sooty_mold	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,roots,animal_material,sugar-rich_substrates		partly_aquatic	animal_parasite	dimorphic_yeast	
F2781224	Neodothiora populina	ingroup	GCF_041146345.1	no_exact_genus_match	Neodothiora										False	False	False	False										
F2024903	Zalaria obscura	ingroup	GCA_024184665.2	genus_candidate_requires_species_verification	Zalaria	Zalaria	genus	jrk08579	2792	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Zalariaceae		False	False	False	False	unspecified_saprotroph		no_endophytic_capacity				non-aquatic		yeast	
F1341166	Eremomyces bilateralis	ingroup	GCF_010015585.1	genus_candidate_requires_species_verification	Eremomyces	Eremomyces	genus	jrk03013	3087	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Eremomycetaceae		False	False	False	False	soil_saprotroph	dung_saprotroph	no_endophytic_capacity		soil,dung		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F182096	Aspergillus chevalieri	ingroup	GCF_016861735.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F5059	Aspergillus flavus	ingroup	GCF_009017415.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F746128	Aspergillus fumigatus	ingroup	GCF_000002655.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F1069201	Aspergillus luchuensis	ingroup	GCF_016861625.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F41759	Aspergillus multicolor	ingroup	GCF_047715735.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F162425	Aspergillus nidulans	ingroup	GCF_000011425.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F5062	Aspergillus oryzae	ingroup	GCF_000184455.2	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F1220207	Aspergillus puulaauensis	ingroup	GCF_016861865.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F1810926	Aspergillus stella-maris	ingroup	GCF_047715825.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F1810928	Aspergillus undulatus	ingroup	GCF_047715775.1	genus_candidate_requires_species_verification	Aspergillus	Aspergillus	genus	jrk00692	4108	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Aspergillaceae		False	True	False	False	unspecified_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil,dung,animal_material	mold	partly_aquatic	animal_parasite/opportunistic_human_parasite	filamentous_mycelium	
F315204	Geoglossum umbratile	ingroup	GCA_026024515.1	genus_candidate_requires_species_verification	Geoglossum	Geoglossum	genus	jrk03376	837	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Geoglossomycetes	Geoglossaceae		False	True	False	False	soil_saprotroph	unspecified_symbiotroph	root-associated	root-associated	roots,soil		non-aquatic		filamentous_mycelium	clavarioid
F1670608	Glutinoglossum americanum	ingroup	GCA_020080175.1	genus_candidate_requires_species_verification	Glutinoglossum	Glutinoglossum	genus	jrk03484	838	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Geoglossomycetes	Geoglossaceae		False	True	False	False	soil_saprotroph	unspecified_symbiotroph	root-associated	root-associated	roots,soil		non-aquatic		filamentous_mycelium	clavarioid
F265104	Trichoglossum hirsutum	ingroup	GCA_026026815.1	genus_candidate_requires_species_verification	Trichoglossum	Trichoglossum	genus	jrk08983	844	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Geoglossomycetes	Geoglossaceae		False	True	False	False	soil_saprotroph	unspecified_symbiotroph	root-associated	root-associated	roots,soil		non-aquatic		filamentous_mycelium	clavarioid
F1671311	Colletotrichum abscissum	ingroup	GCF_030869225.1	genus_candidate_requires_species_verification	Colletotrichum	Colletotrichum	genus	jrk01963	6636	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Glomerellaceae		False	False	False	False	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed				filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F1209916	Colletotrichum costaricense	ingroup	GCF_030867565.1	genus_candidate_requires_species_verification	Colletotrichum	Colletotrichum	genus	jrk01963	6636	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Glomerellaceae		False	False	False	False	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed				filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F34406	Colletotrichum destructivum	ingroup	GCF_034447905.1	genus_candidate_requires_species_verification	Colletotrichum	Colletotrichum	genus	jrk01963	6636	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Glomerellaceae		False	False	False	False	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed				filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F710243	Colletotrichum fioriniae	ingroup	GCF_027942845.1	genus_candidate_requires_species_verification	Colletotrichum	Colletotrichum	genus	jrk01963	6636	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Glomerellaceae		False	False	False	False	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed				filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
