taxon_id	species_name	study_role	assembly_accession	match_status	queried_genus	source_genus	source_rank	source_record_id	source_excel_rows	source_doi	source_phylum	source_class	source_family	taxon_identity_flags	source_genus_comment_present	source_lifestyle_comment_present	species_verified	eligible_for_confirmatory_tests	candidate_primary_lifestyle	candidate_secondary_lifestyle	candidate_endophytic_capability	candidate_plant_pathogenic_capacity	candidate_decay_substrate	candidate_decay_type	candidate_aquatic_habitat	candidate_animal_biotrophic_capacity	candidate_growth_form	candidate_fruitbody_type
F1174673	Morchella importuna	ingroup	GCF_003444635.1	genus_candidate_requires_species_verification	Morchella	Morchella	genus	jrk05288	5808	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Pezizomycetes	Morchellaceae		False	False	False	False	soil_saprotroph	root-associated	root-associated	root-associated	roots,soil		non-aquatic		filamentous_mycelium	apothecium_(hymenium_on_surface)
F43433	Tricharina praecox	ingroup	GCF_024521635.1	genus_candidate_requires_species_verification	Tricharina	Tricharina	genus	jrk08965	5950	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Pezizomycetes	Pyronemataceae		False	False	False	False	soil_saprotroph	foliar_endophyte	foliar_endophyte		leaf/fruit/seed,soil		non-aquatic		filamentous_mycelium	apothecium_(hymenium_on_surface)
F39416	Tuber melanosporum	ingroup	GCF_000151645.1	genus_candidate_requires_species_verification	Tuber	Tuber	genus	jrk09099	5994	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Pezizomycetes	Tuberaceae		False	False	False	False	ectomycorrhizal						non-aquatic		filamentous_mycelium	gasteroid-hypogeous
F158046	Phaeomoniella chlamydospora	ingroup	GCA_001006345.1	genus_candidate_requires_species_verification	Phaeomoniella	Phaeomoniella	genus	jrk06402	4248	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Eurotiomycetes	Celotheliaceae		False	False	False	False	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		dimorphic_yeast	
F703511	Trichodelitschia bisporula	ingroup	GCA_010356995.1	genus_candidate_requires_species_verification	Trichodelitschia	Trichodelitschia	genus	jrk08976	3292	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Phaeotrichaceae		False	False	False	False	dung_saprotroph				dung		non-aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F4927	Hansenula anomala	ingroup	GCF_001661255.1	no_exact_genus_match	Hansenula										False	False	False	False										
F599730	Waltiozyma pijperi	ingroup	GCA_020536225.1	no_exact_genus_match	Waltiozyma										False	False	False	False										
F4903	Williopsis jadinii	ingroup	GCF_001661405.1	genus_candidate_requires_species_verification	Williopsis	Williopsis	genus	jrk09957	6093	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Saccharomycetaceae		False	False	False	False	soil_saprotroph	litter_saprotroph	foliar_endophyte		leaf/fruit/seed,soil		non-aquatic		yeast	none
F1825666	Phyllachora maydis	ingroup	GCA_029339225.1	genus_candidate_requires_species_verification	Phyllachora	Phyllachora	genus	jrk06556	7275	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Phyllachoraceae		False	False	False	False	plant_pathogen			leaf/fruit/seed_pathogen			partly_aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F1276059	Polystigma amygdalinum	ingroup	GCA_057190395.1	genus_candidate_requires_species_verification	Polystigma	Polystigma	genus	jrk06874	7692	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Sordariomycetes	Polystigmataceae		False	False	False	False	plant_pathogen			unspecified_plant_pathogen					filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
F13502	Brettanomyces nanus	ingroup	GCF_011074865.1	genus_candidate_requires_species_verification	Brettanomyces	Brettanomyces	genus	jrk01169	6064	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Pichiaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F1005962	Ogataea parapolymorpha	ingroup	GCF_000187245.1	genus_candidate_requires_species_verification	Ogataea	Ogataea	genus	jrk05880	6071	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Pichiaceae		False	False	False	False	nectar/tap_saprotroph				sugar-rich_substrates		partly_aquatic	arthropod-associated	yeast	none
F4909	Pichia kudriavzevii	ingroup	GCF_003054445.1	genus_candidate_requires_species_verification	Pichia	Pichia	genus	jrk06608	6073	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Saccharomycetes	Pichiaceae		False	False	False	False	nectar/tap_saprotroph	animal_parasite			animal_material,sugar-rich_substrates		partly_aquatic	animal_parasite/opportunistic_human_parasite	yeast	none
F48095	Alternaria dauci	ingroup	GCF_042100115.1	genus_candidate_requires_species_verification	Alternaria	Alternaria	genus	jrk00252	3714	https://doi.org/10.1007/s13225-020-00466-2	Ascomycota	Dothideomycetes	Pleosporaceae		False	False	False	False	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	soft_rot	partly_aquatic		filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)
