model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	baseline_mean_rsa	baseline_mean_aa_log1p_rate	baseline_estimate	sensitivity_estimate	sensitivity_minus_baseline	paired_draws	excluded_singular_draws	percentile_lower	percentile_upper
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_at_baseline_mean_RSA	0.2641317052464556	0.6161796552545296	0.21277396628893122	0.2134108280359984	0.0006368617470671745	2000	0	-0.0007913885842987989	0.0022441428398228234
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6161796552545296	-0.26896159281052207	-0.2695057616970753	-0.0005441688865532313	2000	0	-0.0022440339937325362	0.0010157402598380862
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_at_RSA_025	0.2641317052464556	0.6161796552545296	0.09937959957365693	0.09964890872507384	0.000269309151416916	2000	0	-0.00612843823474844	0.006576562774599641
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_at_aa_log_rate_0	0.2641317052464556	0.6161796552545296	-0.30660681498925696	-0.3124278672682879	-0.005821052279030958	2000	0	-0.013013909400755926	-0.00015646831933823592
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	interaction	0.2641317052464556	0.6161796552545296	-0.017476465530846353	-0.009458184391183908	0.008018281139662445	2000	0	-0.00011213547781526077	0.018346027477438284
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_at_baseline_mean_RSA	0.2641317052464556	0.6161796552545296	0.09913262731402517	0.099515248451091	0.00038262113706583056	2000	0	-0.0060506324422309994	0.00669340887931193
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.2641317052464556	0.6161796552545296	-0.3173754574951215	-0.3182558080657814	-0.0008803505706598824	2000	0	-0.002899195750072052	0.0008943134716265438
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_at_RSA_025	0.30877860698116194	0.6161796552545296	0.21275407710641586	0.21311301639374597	0.0003589392873301067	2000	0	-0.001035296117248944	0.0017585027692119592
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_at_aa_log_rate_0	0.30877860698116194	0.6161796552545296	-0.21194898891371683	-0.21596347286669856	-0.0040144839529817344	2000	0	-0.009818207385597756	0.0006640494063009299
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	interaction	0.30877860698116194	0.6161796552545296	-0.01907348768259177	-0.013553162964594254	0.005520324717997517	2000	0	-0.0009648565522396141	0.013570609702188598
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_at_baseline_mean_RSA	0.30877860698116194	0.6161796552545296	0.21163296407016077	0.21231638035449843	0.0006834162843376568	2000	0	-0.0007673919658184424	0.0023078935226254612
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6161796552545296	-0.22370168397847776	-0.2243146561498307	-0.000612972171352949	2000	0	-0.002122975218341302	0.0007547015468814557
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_at_RSA_025	0.30877860698116194	0.6161796552545296	0.0989923929482308	0.09903596271653897	4.356976830817427e-05	2000	0	-0.006314214226680601	0.006307992337017132
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_at_aa_log_rate_0	0.30877860698116194	0.6161796552545296	-0.26643146075785995	-0.2712697517515055	-0.004838290993645522	2000	0	-0.010783985992177307	-6.660948341776975e-05
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	interaction	0.30877860698116194	0.6161796552545296	-0.006593561485812817	-0.00018318723295531435	0.006410374252857502	2000	0	-0.00043947378681416684	0.01496732221114139
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_at_baseline_mean_RSA	0.30877860698116194	0.6161796552545296	0.09860483258905008	0.09902519522616912	0.00042036263711904553	2000	0	-0.00602550612518544	0.0067462318235124415
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_at_baseline_mean_aa_log_rate	0.30877860698116194	0.6161796552545296	-0.27049427920108765	-0.2713826279975549	-0.0008883487964672643	2000	0	-0.002709385875051829	0.000658826183739901
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_at_RSA_025	0.2641317052464556	0.6044291063503936	0.1935327277007391	0.19394145283506808	0.00040872513432899105	2000	0	-0.0007219630970245333	0.0015991998883983078
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	rsa_at_aa_log_rate_0	0.2641317052464556	0.6044291063503936	-0.17261263218459205	-0.17515023453464454	-0.002537602350052487	2000	0	-0.005955717239597368	0.0003047371570956447
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	interaction	0.2641317052464556	0.6044291063503936	-0.01259920430410782	-0.008939181425855383	0.0036600228782524367	2000	0	-0.0013157132420736324	0.009534033567004975
3di_af_empirical__gamma__tien2013__coverage_confidence	3di_af_empirical	gamma	tien2013	coverage_confidence	aa_at_baseline_mean_RSA	0.2641317052464556	0.6044291063503936	0.19335467945917356	0.1938151269580133	0.00046044749883975	2000	0	-0.0006663545418173712	0.0016664789188238227
