plddt_cutoff	total_controls	compared_controls	coverage_excluded_controls	median_ca_rmsd_angstrom	median_local_distance_change_angstrom	controls_with_pae10_local_pairs	median_pae10_local_distance_change_angstrom
0	266	266	0	11.847503808807295	0.8905332603673322	266	0.31567134511376077
70	266	209	57	1.1140372311101618	0.2361241735548316	209	0.21918951636583683
90	266	88	178	0.5349081622901999	0.15728144654008036	88	0.1572333274546422
