cohort	model_id	contrast	point	lower	upper
omission	3di_llm__freerate__miller1987__composition_adjusted	aa_at_RSA_025	0.0008347955076937197	-0.005698843866597987	0.00676489339902346
full	3di_af__gamma__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	-0.00040981760121067135	-0.002278136967118882	0.0008934205880113775
omission	3di_af__gamma__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	-0.00041591309489857897	-0.002208047612264059	0.000958676711849326
full	3di_af__gamma__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	-0.0027330479778070182	-0.0066354095185421815	0.0005642439821478745
omission	3di_af__gamma__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	-0.002806836980696434	-0.007024580679791156	0.0005789120443390639
full	3di_af__gamma__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	-0.00036306266293401057	-0.0022253250656722972	0.0009285614665826281
omission	3di_af__gamma__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	-0.0003681892178825641	-0.0021497199472611567	0.0009932478647885071
full	3di_af__gamma__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	-0.0026833683986446644	-0.0066122217907271675	0.0006131415483031731
omission	3di_af__gamma__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	-0.0027556536742640303	-0.0069713872508517	0.0006462940048908534
full	3di_af__freerate__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	0.0006385252871728975	-0.0008160844204587454	0.0022241459764780567
omission	3di_af__freerate__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	0.0006368617470671745	-0.0007913885842987989	0.0022441428398228234
full	3di_af__freerate__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	0.0004111577718029641	-0.006062176985356937	0.006541254217739934
omission	3di_af__freerate__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	0.00038262113706583056	-0.0060506324422309994	0.00669340887931193
full	3di_af__freerate__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	0.0006844413443548303	-0.0007636762409170748	0.0022894323890136187
omission	3di_af__freerate__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	0.0006834162843376568	-0.0007673919658184424	0.0023078935226254612
full	3di_af__freerate__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	0.00044887726120157456	-0.006066268671957622	0.006660572002528841
omission	3di_af__freerate__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	0.00042036263711904553	-0.00602550612518544	0.0067462318235124415
full	3di_af_empirical__gamma__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	0.00046801377137770106	-0.0007148745742838854	0.0016799733998277967
omission	3di_af_empirical__gamma__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	0.00046044749883975	-0.0006663545418173712	0.0016664789188238227
full	3di_af_empirical__gamma__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	0.0013320936879665096	-0.0026391150507690817	0.00550628165552556
omission	3di_af_empirical__gamma__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	0.0013429806717178971	-0.002340278062911395	0.005587425715825634
full	3di_af_empirical__gamma__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	0.0005017210298624009	-0.00070773251510181	0.0017462039899967452
omission	3di_af_empirical__gamma__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	0.0004950343040856786	-0.000650463216465136	0.0017332698905047652
full	3di_af_empirical__gamma__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	0.0013863602586536017	-0.0026074493752455173	0.005567137005007609
omission	3di_af_empirical__gamma__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	0.00139895649381995	-0.0023108846987025793	0.005707760161979146
full	3di_af_empirical__freerate__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	-7.372304904090798e-05	-0.0016137811014586116	0.0014546711636760235
omission	3di_af_empirical__freerate__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	-8.137712191585988e-05	-0.0016155789939192092	0.001396323572541878
full	3di_af_empirical__freerate__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	0.0002255287941949069	-0.006970192291622796	0.0076863072010998805
omission	3di_af_empirical__freerate__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	0.00020804692468621988	-0.006893194119083839	0.007355288664788353
full	3di_af_empirical__freerate__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	-3.396759866061694e-05	-0.0015704278115499571	0.0015191011649802663
omission	3di_af_empirical__freerate__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	-4.11625050972253e-05	-0.0015753237722755918	0.0014553760168634078
full	3di_af_empirical__freerate__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	0.0002472015895459978	-0.006932455716409769	0.007758646783297638
omission	3di_af_empirical__freerate__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	0.00022947005420335953	-0.006897994504213872	0.007383493262168657
full	3di_llm__gamma__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	-0.00027288848610182437	-0.0026257362513970404	0.0015814190017328187
omission	3di_llm__gamma__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	-0.0002812834482468496	-0.0025299754153417357	0.0016523325485663788
full	3di_llm__gamma__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	-0.0016103116829934566	-0.0057139472058902125	0.0018687314036382407
omission	3di_llm__gamma__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	-0.0016809099151871149	-0.005721138925126984	0.0018922789970915416
full	3di_llm__gamma__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	-0.00026533593453934023	-0.0026061813150484625	0.0015873276503303223
omission	3di_llm__gamma__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	-0.0002735118585724394	-0.0025192851720375184	0.0016749594533807725
full	3di_llm__gamma__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	-0.0015916664852120427	-0.005709873521515617	0.0019269705006645607
omission	3di_llm__gamma__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	-0.0016617714074683848	-0.005694904752087022	0.00195119585087353
full	3di_llm__freerate__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	0.0007279782985938343	-0.0006575162710462147	0.002183218920682736
omission	3di_llm__freerate__tien2013__coverage_confidence	aa_at_baseline_mean_RSA	0.0007270653109128777	-0.0006337867754569417	0.002196071558336888
full	3di_llm__freerate__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	0.001177122266250441	-0.005253656627958621	0.007300952431349476
omission	3di_llm__freerate__tien2013__composition_adjusted	aa_at_baseline_mean_RSA	0.0011601020938396545	-0.005296330988641304	0.007263784052203896
full	3di_llm__freerate__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	0.0007630327309529061	-0.000619190321303662	0.0022248078500344873
omission	3di_llm__freerate__miller1987__coverage_confidence	aa_at_baseline_mean_RSA	0.0007627831685682873	-0.000600572987666765	0.0022444078843047353
full	3di_llm__freerate__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	0.001216766899149499	-0.00521848194116565	0.007381678416173284
omission	3di_llm__freerate__miller1987__composition_adjusted	aa_at_baseline_mean_RSA	0.001199997079896431	-0.005273153796217077	0.00734790061472419
full	3di_af__gamma__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.0021758615223600175	-0.006062240649087487	0.001553165703317961
omission	3di_af__gamma__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.002212530271929164	-0.006044551888024477	0.0013650663872888575
full	3di_af__gamma__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.0034963267580553348	-0.008775573664513625	0.0009686436419578696
omission	3di_af__gamma__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.0035757102225743576	-0.00902227076422496	0.0007487130570396563
full	3di_af__gamma__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.0017799475055901848	-0.005161278064437096	0.001470423828649266
omission	3di_af__gamma__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.0018122240328682648	-0.005161059872942606	0.0013071020158684846
full	3di_af__gamma__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.002867707688340271	-0.007374642839062674	0.0009148578296862466
omission	3di_af__gamma__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.002935444551484534	-0.007576622819525652	0.0007705516787715995
full	3di_af__freerate__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.004820050722256636	-0.01201195084865211	0.000673015432579516
omission	3di_af__freerate__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.004846126015253027	-0.011661274595871907	0.0007014363850127536
full	3di_af__freerate__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.005779603972171643	-0.013321937930499824	-8.707602147731619e-05
omission	3di_af__freerate__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.005821052279030958	-0.013013909400755926	-0.00015646831933823592
full	3di_af__freerate__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.003991778791794409	-0.010198983958277905	0.0006433959859012933
omission	3di_af__freerate__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.0040144839529817344	-0.009818207385597756	0.0006640494063009299
full	3di_af__freerate__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.004802386665974767	-0.011146602302153606	-2.558817361301451e-05
omission	3di_af__freerate__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.004838290993645522	-0.010783985992177307	-6.660948341776975e-05
full	3di_af_empirical__gamma__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.002516794592162558	-0.0058939053499993494	0.00015726751725814533
omission	3di_af_empirical__gamma__tien2013__coverage_confidence	rsa_at_aa_log_rate_0	-0.002537602350052487	-0.005955717239597368	0.0003047371570956447
full	3di_af_empirical__gamma__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.0031597682016847595	-0.007161370284932567	1.3241056203539826e-05
omission	3di_af_empirical__gamma__tien2013__composition_adjusted	rsa_at_aa_log_rate_0	-0.0031896417064783134	-0.007240272917735367	1.965077483392991e-05
full	3di_af_empirical__gamma__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.0018914338802710484	-0.004799578894736883	0.00043849617823627743
omission	3di_af_empirical__gamma__miller1987__coverage_confidence	rsa_at_aa_log_rate_0	-0.0019076047398752238	-0.0047985205110460775	0.0005335154828975177
full	3di_af_empirical__gamma__miller1987__composition_adjusted	rsa_at_aa_log_rate_0	-0.002423515974876972	-0.0056896567604448	0.0002382760610512335
