taxon_id	species_name	study_role	marker_slots	recovered_sequence_links	missing_marker_sequences	both	esmfold_only	alphafold_only	neither_catalog	curated_state
F1750568	Cantharellus anzutake	ingroup	125	106	19	0	97	0	9	ectomycorrhizal
F139363	Hydnum rufescens	ingroup	125	118	7	0	0	116	2	ectomycorrhizal
F264124	Botryobasidium botryosum	ingroup	125	123	2	0	0	121	2	saprotrophic
F156515	Tulasnella calospora	ingroup	125	105	20	0	0	104	1	orchid_mycorrhizal
F68786	Sphaerobolus stellatus	ingroup	125	101	24	0	42	57	2	saprotrophic
