species_id	taxon_id	proteins	outside_retained_partition	singleton_family_proteins	two_member_family_proteins	tree_eligible_family_proteins	outside_fraction	intermediate_unassigned_proteins	intermediate_unassigned_now_in_partition	intermediate_unassigned_still_outside	outside_not_in_intermediate
182	F158046	6907	542	0	0	6365	0.07847111625886781	542	0	542	0
183	F1590129	9650	1276	0	3	8371	0.1322279792746114	1276	0	1276	0
184	F1604274	15890	6368	0	11	9511	0.4007551919446193	6368	0	6368	0
185	F162425	10453	1259	0	2	9192	0.12044389170573042	1259	0	1259	0
186	F1658444	13929	2095	0	4	11830	0.15040562854476272	2095	0	2095	0
187	F1670608	7646	982	0	7	6657	0.1284331676693696	982	0	982	0
188	F1671311	17223	5016	0	2	12205	0.2912384601985717	5016	0	5016	0
189	F1673888	8058	1965	0	2	6091	0.24385703648548027	1965	0	1965	0
190	F1682393	16023	4149	0	4	11870	0.2589402733570492	4149	0	4149	0
191	F1684307	6681	1330	0	3	5348	0.19907199521029786	1330	0	1330	0
192	F1690604	8740	1362	0	2	7376	0.15583524027459955	1362	0	1362	0
193	F1690608	11205	1993	0	0	9212	0.1778670236501562	1993	0	1993	0
194	F169141	9958	2153	0	3	7802	0.2162080739104238	2153	0	2153	0
195	F170000	19617	8294	0	9	11314	0.4227965540092777	8294	0	8294	0
196	F170446	29016	8033	0	2	20981	0.2768472566859664	8033	0	8033	0
197	F1708541	5277	347	0	71	4859	0.06575705893500094	347	0	347	0
198	F1712513	6118	694	0	33	5391	0.11343576332134685	694	0	694	0
199	F173216	10998	1368	0	1	9629	0.12438625204582651	1368	0	1368	0
200	F1738374	13063	2303	0	2	10758	0.17629947179055347	2303	0	2303	0
201	F174425	6269	836	0	0	5433	0.13335460200988994	836	0	836	0
202	F174680	2331	1123	0	2	1206	0.48176748176748174	1123	0	1123	0
203	F174688	3537	2057	0	5	1475	0.5815662991235511	2057	0	2057	0
204	F1750568	16954	7468	0	3	9483	0.44048602099799455	7468	0	7468	0
205	F1754190	20200	4049	0	11	16140	0.20044554455445546	4049	0	4049	0
206	F1754192	12823	2657	0	11	10155	0.20720580207439757	2657	0	2657	0
207	F1759441	32847	14421	0	2	18424	0.4390355283587542	14421	0	14421	0
208	F177197	13658	2712	0	158	10788	0.19856494362278518	2712	0	2712	0
209	F177199	9535	1115	0	8	8412	0.11693759832197169	1115	0	1115	0
210	F1774096	10332	3251	0	20	7061	0.3146535036778939	3251	0	3251	0
211	F1806994	6304	368	0	1	5935	0.0583756345177665	368	0	368	0
212	F1810926	12536	1902	0	2	10632	0.1517230376515635	1902	0	1902	0
213	F1810928	11798	1896	0	3	9899	0.16070520427191048	1896	0	1896	0
214	F181123	133973	63833	0	5	70135	0.4764616751136423	63833	0	63833	0
215	F1814901	10528	1992	0	137	8399	0.189209726443769	1992	0	1992	0
216	F182096	10329	1292	0	8	9029	0.12508471294413787	1292	0	1292	0
217	F1825666	8654	2039	0	0	6615	0.23561358909174948	2039	0	2039	0
218	F183962	7657	1102	0	8	6547	0.14392059553349876	1102	0	1102	0
219	F1851185	8032	1017	0	136	6879	0.12661852589641434	1017	0	1017	0
220	F1858805	10237	1705	0	62	8470	0.16655270098661717	1705	0	1705	0
221	F1859096	6408	324	0	0	6084	0.05056179775280899	324	0	324	0
222	F1859121	6646	539	0	0	6107	0.08110141438459223	539	0	539	0
223	F1859122	6557	542	0	1	6014	0.0826597529357938	542	0	542	0
224	F1890679	7058	1055	0	3	6000	0.14947577217342023	1055	0	1055	0
225	F1897645	13339	2717	0	9	10613	0.20368843241622311	2717	0	2717	0
226	F1904413	15528	4468	0	1	11059	0.28773827923750644	4468	0	4468	0
227	F1907219	4301	1021	0	2	3278	0.23738665426644967	1021	0	1021	0
228	F1912936	16509	5444	0	0	11065	0.3297595251075171	5444	0	5444	0
229	F1912939	18510	6290	0	3	12217	0.33981631550513236	6290	0	6290	0
230	F1938712	17590	7068	0	4	10518	0.40181921546333144	7068	0	7068	0
231	F1938954	5719	643	0	8	5068	0.11243224339919566	643	0	643	0
232	F1940652	8300	1201	0	0	7099	0.1446987951807229	1201	0	1201	0
233	F195108	14574	1692	0	2	12880	0.11609715932482503	1692	0	1692	0
234	F199306	8299	1106	0	5	7188	0.13326906856247742	1106	0	1106	0
235	F2019550	7505	1028	0	0	6477	0.13697534976682213	1028	0	1028	0
236	F2020955	9368	3332	0	791	5245	0.3556789069171648	3332	0	3332	0
237	F2020962	3964	210	0	6	3748	0.052976791120080725	210	0	210	0
238	F2024903	7859	1707	0	0	6152	0.21720320651482378	1707	0	1707	0
239	F202697	16375	5362	0	2	11011	0.32745038167938934	5362	0	5362	0
