taxon_id	annotation_status	proteins	modeled	without_model	modeled_fraction
F76775	with_pfam_hit	3784	949	2835	0.25079281183932345
F76775	without_pfam_hit	622	103	519	0.16559485530546625
F76777	with_pfam_hit	2944	63	2881	0.021399456521739132
F76777	without_pfam_hit	374	0	374	0.0
F77020	with_pfam_hit	3639	3462	177	0.9513602638087386
F77020	without_pfam_hit	563	551	12	0.9786856127886323
F78915	with_pfam_hit	5085	4964	121	0.976204523107178
F78915	without_pfam_hit	1772	1751	21	0.9881489841986456
F78921	with_pfam_hit	9228	23	9205	0.002492414390983962
F78921	without_pfam_hit	2922	0	2922	0.0
F796027	with_pfam_hit	4593	4451	142	0.9690833877639887
F796027	without_pfam_hit	535	525	10	0.9813084112149533
F796604	with_pfam_hit	7252	6204	1048	0.8554881412024269
F796604	without_pfam_hit	5989	5931	58	0.9903155785606946
F80663	with_pfam_hit	9722	9379	343	0.9647191935815675
F80663	without_pfam_hit	11797	11764	33	0.9972026786471136
F80884	with_pfam_hit	10183	5902	4281	0.5795934400471374
F80884	without_pfam_hit	4468	3253	1215	0.7280662488809311
F82268	with_pfam_hit	9778	0	9778	0.0
F82268	without_pfam_hit	5395	0	5395	0.0
F82508	with_pfam_hit	5168	53	5115	0.010255417956656347
F82508	without_pfam_hit	3143	0	3143	0.0
F84751	with_pfam_hit	5233	3341	1892	0.6384483088094783
F84751	without_pfam_hit	1644	803	841	0.4884428223844282
F84753	with_pfam_hit	5090	4198	892	0.82475442043222
F84753	without_pfam_hit	1674	1443	231	0.8620071684587813
F87287	with_pfam_hit	5312	15	5297	0.0028237951807228916
F87287	without_pfam_hit	1772	0	1772	0.0
F87326	with_pfam_hit	8371	8	8363	0.0009556803249313105
F87326	without_pfam_hit	6135	0	6135	0.0
F89243	with_pfam_hit	8304	6899	1405	0.8308044315992292
F89243	without_pfam_hit	9246	6792	2454	0.7345879299156391
F89922	with_pfam_hit	4918	0	4918	0.0
F89922	without_pfam_hit	2287	0	2287	0.0
F90408	with_pfam_hit	7311	2	7309	0.0002735603884557516
F90408	without_pfam_hit	3575	0	3575	0.0
F911321	with_pfam_hit	8535	4	8531	0.00046865846514352667
F911321	without_pfam_hit	3187	0	3187	0.0
F91480	with_pfam_hit	5523	3	5520	0.0005431830526887561
F91480	without_pfam_hit	2055	0	2055	0.0
F91625	with_pfam_hit	7380	118	7262	0.015989159891598916
F91625	without_pfam_hit	1653	1	1652	0.0006049606775559589
F91930	with_pfam_hit	8671	27	8644	0.0031138277015338484
F91930	without_pfam_hit	3604	0	3604	0.0
F92988	with_pfam_hit	7073	7	7066	0.0009896790612187191
F92988	without_pfam_hit	2005	0	2005	0.0
F933333	with_pfam_hit	5432	7	5425	0.001288659793814433
F933333	without_pfam_hit	2132	0	2132	0.0
F945690	with_pfam_hit	4461	0	4461	0.0
F945690	without_pfam_hit	3147	0	3147	0.0
F97331	with_pfam_hit	6791	6452	339	0.950080989544986
F97331	without_pfam_hit	3106	3059	47	0.98486799742434
F979620	with_pfam_hit	8364	12	8352	0.0014347202295552368
F979620	without_pfam_hit	4214	0	4214	0.0
F979690	with_pfam_hit	8292	5	8287	0.000602990834539315
F979690	without_pfam_hit	3787	0	3787	0.0
F979761	with_pfam_hit	7096	112	6984	0.015783540022547914
F979761	without_pfam_hit	3855	1	3854	0.00025940337224383917
F984962	with_pfam_hit	7377	132	7245	0.017893452623017485
F984962	without_pfam_hit	5892	1	5891	0.00016972165648336727
F994334	with_pfam_hit	7128	6888	240	0.9663299663299664
F994334	without_pfam_hit	5996	5968	28	0.9953302201467645
O10228	with_pfam_hit	9506	123	9383	0.012939196297075531
O10228	without_pfam_hit	1798	0	1798	0.0
O133409	with_pfam_hit	7638	121	7517	0.015841843414506417
O133409	without_pfam_hit	2930	0	2930	0.0
O1890364	with_pfam_hit	10211	9130	1081	0.8941337772989912
O1890364	without_pfam_hit	6913	6836	77	0.9888615651670766
O192875	with_pfam_hit	7018	4295	2723	0.6119977201481903
O192875	without_pfam_hit	1603	901	702	0.5620711166562695
O225164	with_pfam_hit	15435	148	15287	0.009588597343699384
O225164	without_pfam_hit	8383	0	8383	0.0
O2700040	with_pfam_hit	20223	5	20218	0.0002472432378974435
O2700040	without_pfam_hit	3572	0	3572	0.0
O27923	with_pfam_hit	12374	2	12372	0.00016162922256343946
O27923	without_pfam_hit	7251	0	7251	0.0
O283909	with_pfam_hit	21166	131	21035	0.0061891713124822825
O283909	without_pfam_hit	10811	0	10811	0.0
O400682	with_pfam_hit	14760	6777	7983	0.45914634146341465
O400682	without_pfam_hit	5455	1467	3988	0.2689275893675527
O44689	with_pfam_hit	8563	122	8441	0.014247343220833819
O44689	without_pfam_hit	4728	1	4727	0.00021150592216582064
O45351	with_pfam_hit	15857	102	15755	0.006432490382796242
O45351	without_pfam_hit	3374	1	3373	0.0002963841138114997
O529818	with_pfam_hit	7505	6626	879	0.8828780812791472
O529818	without_pfam_hit	3010	2845	165	0.9451827242524917
O5755	with_pfam_hit	10070	110	9960	0.010923535253227408
O5755	without_pfam_hit	4898	3	4895	0.0006124948958758677
O5786	with_pfam_hit	8318	115	8203	0.013825438807405626
O5786	without_pfam_hit	4077	1	4076	0.0002452783909737552
O6239	with_pfam_hit	14198	591	13607	0.041625581067756025
O6239	without_pfam_hit	5785	344	5441	0.05946413137424374
O691883	with_pfam_hit	3831	3318	513	0.8660924040720438
O691883	without_pfam_hit	2070	1834	236	0.8859903381642512
O72019	with_pfam_hit	8064	7825	239	0.9703621031746031
O72019	without_pfam_hit	10149	10034	115	0.988668834367918
