source_tier	cohort	joint_predicted_plddt_cutoff	metric	proteins	proteins_with_metric	median	q25	q75	positive	negative	approximately_zero
combined	same_proteins_all_thresholds	70	af_experiment_local_mean_absolute_difference_angstrom	18	18	0.37357912506248925	0.30566009910857384	0.4551832398443721			
combined	same_proteins_all_thresholds	70	af_experiment_local_rms_difference_angstrom	18	18	0.5753636754408544	0.43409761619610593	0.715340959646114			
combined	same_proteins_all_thresholds	70	esm_experiment_rmsd_angstrom	18	18	1.592196520015047	1.0859056306565733	2.6055019545054363			
combined	same_proteins_all_thresholds	70	esm_experiment_local_mean_absolute_difference_angstrom	18	18	0.4245709121527358	0.3967950153126066	0.6140255118649962			
combined	same_proteins_all_thresholds	70	esm_experiment_local_rms_difference_angstrom	18	18	0.7721957370566073	0.6142332101478891	0.9034415655688759			
combined	same_proteins_all_thresholds	70	af_esm_rmsd_angstrom	18	18	1.1569740887216537	0.7643700649058044	1.9396149867253714			
combined	same_proteins_all_thresholds	70	af_esm_local_mean_absolute_difference_angstrom	18	18	0.2529070647753114	0.2183413617132095	0.303111031342327			
combined	same_proteins_all_thresholds	70	af_esm_local_rms_difference_angstrom	18	18	0.4650502708600056	0.33147245301088585	0.6985393760428296			
combined	same_proteins_all_thresholds	70	paired_delta_rmsd_angstrom	18	18	0.47109993940593986	0.08869519328674993	0.8855290177958	15	3	0
combined	same_proteins_all_thresholds	70	paired_delta_local_mean_absolute_difference_angstrom	18	18	0.08380201872219656	0.04624183738818484	0.1536563966807336	18	0	0
combined	same_proteins_all_thresholds	70	paired_delta_local_rms_difference_angstrom	18	18	0.1213519516543265	0.08797711238868497	0.32048435786425467	17	1	0
combined	same_proteins_all_thresholds	90	af_experiment_rmsd_angstrom	18	18	0.9600851670715004	0.5854278076449547	1.3257464122622815			
combined	same_proteins_all_thresholds	90	af_experiment_local_mean_absolute_difference_angstrom	18	18	0.2982362355043058	0.23379984278720214	0.38292944160219966			
combined	same_proteins_all_thresholds	90	af_experiment_local_rms_difference_angstrom	18	18	0.399655290146349	0.3207282371597921	0.5806662942137355			
combined	same_proteins_all_thresholds	90	esm_experiment_rmsd_angstrom	18	18	1.4409236455869263	0.7913330195554907	2.2648894582453503			
combined	same_proteins_all_thresholds	90	esm_experiment_local_mean_absolute_difference_angstrom	18	18	0.3676427483252668	0.2829520351986973	0.4152876101512836			
combined	same_proteins_all_thresholds	90	esm_experiment_local_rms_difference_angstrom	18	18	0.4985733634952084	0.39487046752682714	0.6946370952149301			
combined	same_proteins_all_thresholds	90	af_esm_rmsd_angstrom	18	18	0.8073651574406447	0.45535797000633604	1.2300029798498202			
combined	same_proteins_all_thresholds	90	af_esm_local_mean_absolute_difference_angstrom	18	18	0.18316946295348768	0.15065918128683708	0.21724683126159003			
combined	same_proteins_all_thresholds	90	af_esm_local_rms_difference_angstrom	18	18	0.27286282963906416	0.22660797048514036	0.3224787397310183			
combined	same_proteins_all_thresholds	90	paired_delta_rmsd_angstrom	18	18	0.2994818961107869	0.07897813659502043	0.6414332360782304	16	2	0
combined	same_proteins_all_thresholds	90	paired_delta_local_mean_absolute_difference_angstrom	18	18	0.05423054114020673	0.024720472568076968	0.07366661086690517	18	0	0
combined	same_proteins_all_thresholds	90	paired_delta_local_rms_difference_angstrom	18	18	0.08755654082519565	0.026253257007423092	0.12182612203148793	18	0	0
predictor-controls-summary-v1	all_available	0	af_experiment_rmsd_angstrom	39	39	1.846263041326998	0.9571191513357549	3.5732565241479586			
predictor-controls-summary-v1	all_available	0	af_experiment_local_mean_absolute_difference_angstrom	39	39	0.5563895538151789	0.36629616798212983	0.7833326469247628			
predictor-controls-summary-v1	all_available	0	af_experiment_local_rms_difference_angstrom	39	39	0.7855108057101792	0.529886061398919	1.3230114189072073			
predictor-controls-summary-v1	all_available	0	esm_experiment_rmsd_angstrom	39	39	2.837161389790606	1.587849706043263	9.809595547728922			
predictor-controls-summary-v1	all_available	0	esm_experiment_local_mean_absolute_difference_angstrom	39	39	0.8258377506811375	0.5049474727314184	1.3705778996073932			
predictor-controls-summary-v1	all_available	0	esm_experiment_local_rms_difference_angstrom	39	39	1.3838249813392363	0.8368522017066597	2.820864439992692			
predictor-controls-summary-v1	all_available	0	af_esm_rmsd_angstrom	39	39	2.016969356753689	1.2071437030686334	7.136549458431409			
predictor-controls-summary-v1	all_available	0	af_esm_local_mean_absolute_difference_angstrom	39	39	0.357202847000044	0.2774014983870102	0.7483604367492014			
predictor-controls-summary-v1	all_available	0	af_esm_local_rms_difference_angstrom	39	39	0.8522757569473991	0.5494106315999845	1.9258812102417222			
predictor-controls-summary-v1	all_available	0	paired_delta_rmsd_angstrom	39	39	0.6154078827104688	0.2993660589697533	4.517899719073392	34	5	0
predictor-controls-summary-v1	all_available	0	paired_delta_local_mean_absolute_difference_angstrom	39	39	0.11610100283729843	0.07747316418163336	0.3366731762787001	37	2	0
predictor-controls-summary-v1	all_available	0	paired_delta_local_rms_difference_angstrom	39	39	0.234223457868255	0.10788376995240567	0.7694563983675555	36	3	0
predictor-controls-summary-v1	all_available	70	af_experiment_rmsd_angstrom	36	36	1.2156612910328004	0.8485263140841964	1.9700985191712403			
predictor-controls-summary-v1	all_available	70	af_experiment_local_mean_absolute_difference_angstrom	36	36	0.3969335948473812	0.3120738835745337	0.5554127009163969			
predictor-controls-summary-v1	all_available	70	af_experiment_local_rms_difference_angstrom	36	36	0.5920626456113867	0.4742741682529798	0.7725324487097114			
predictor-controls-summary-v1	all_available	70	esm_experiment_rmsd_angstrom	36	36	1.7857826641409509	1.190224690867797	4.28966594981832			
predictor-controls-summary-v1	all_available	70	esm_experiment_local_mean_absolute_difference_angstrom	36	36	0.5012036415678762	0.4051670637418993	0.8831608698081383			
predictor-controls-summary-v1	all_available	70	esm_experiment_local_rms_difference_angstrom	36	36	0.7971800951281178	0.6322134178190241	1.2506187430088849			
predictor-controls-summary-v1	all_available	70	af_esm_rmsd_angstrom	36	36	1.117023342754905	0.7383734441477753	2.391768098975823			
predictor-controls-summary-v1	all_available	70	af_esm_local_mean_absolute_difference_angstrom	36	36	0.2630308802999581	0.2157845957246204	0.3102025998447998			
predictor-controls-summary-v1	all_available	70	af_esm_local_rms_difference_angstrom	36	36	0.4411372277496899	0.3479008778701319	0.6742808922918617			
predictor-controls-summary-v1	all_available	70	paired_delta_rmsd_angstrom	36	36	0.4688373468324512	0.18254096118026414	1.3377847049486615	34	2	0
predictor-controls-summary-v1	all_available	70	paired_delta_local_mean_absolute_difference_angstrom	36	36	0.08180188392436691	0.05988838300935409	0.12416868397337846	36	0	0
predictor-controls-summary-v1	all_available	70	paired_delta_local_rms_difference_angstrom	36	36	0.12429284808149962	0.08327526755814663	0.22063978680373794	36	0	0
predictor-controls-summary-v1	all_available	90	af_experiment_rmsd_angstrom	16	16	0.823201214122433	0.5276339857544241	1.2897153982959528			
