dataset	taxa	markers	complete_percent_median	single_copy_percent_median	duplicated_percent_median	fragmented_percent_median	missing_percent_median
ascomycota_odb12.2	234	2557	95.58075870160343	94.91591709034024	0.27375831052014077	0.9385999217833398	3.08955807587016
basidiomycota_odb12.2	157	1811	96.68691330756488	95.19602429596908	0.8282716731087797	0.7178354500276091	2.59525124240751
chytridiomycota_odb12.2	12	1300	93.76923076923077	91.84615384615384	1.6923076923076923	2.8846153846153846	2.9615384615384617
fungi_odb12.2	74	1019	86.89892051030422	79.93130520117762	2.4533856722276743	2.011776251226693	10.991167811579981
microsporidia_odb12.2	12	514	96.30350194552528	93.67704280155642	0.8754863813229572	0.9727626459143969	2.0428015564202333
mucoromycota_odb12.2	12	1541	95.00324464633356	94.64633354964309	0.5191434133679429	1.8170019467878	3.5691109669046073
