fit	fits	median_site_rate_spearman	minimum_site_rate_spearman	median_branch_length_spearman	freerate_lower_likelihood_fits
3di_af	124	0.9908836789894067	0.94357334058072	0.9990120402269878	1
3di_af_empirical	124	0.9889522651105995	0.8479114356639831	0.9986093061537614	1
3di_llm	124	0.990043896646202	0.8434991865045234	0.9991275988395525	1
aa	124	0.9970776637413796	0.9828810204723488	0.9997187965791265	2
