model_id	alphabet_model	rate_model	rsa_scale	controls	contrast	point_estimate	bootstrap_percentile_lower	bootstrap_percentile_upper	bootstrap_estimable_draws	bootstrap_singular_draws	loo_minimum	loo_maximum	loo_sign_reversals	most_influential_marker	largest_absolute_loo_change	observed_mean_log1p_aa_rate	observed_mean_rsa
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16510662801548814	0.1357626353640223	0.19639520374175207	2000	0	0.15858101574935285	0.16843108786946623	0	649304at2759	0.0065256122661352944	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.2047396445248375	-0.2789467790601736	-0.12999330941461743	2000	0	-0.22592582643619097	-0.19077985471262188	0	649304at2759	0.021186181911353463	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	interaction	0.037639440978802334	-0.06596805933970981	0.14297129187270294	2000	0	0.017609959191411718	0.06339203891947875	0	649304at2759	0.02575259794067642	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16572141096426507	0.1359906750519965	0.1964097741463832	2000	0	0.15961642816788071	0.1691431872665822	0	649304at2759	0.006104982796384356	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__coverage_confidence	3di_af	gamma	tien2013	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.18194852369363124	-0.23291945933923633	-0.13431482362058766	2000	0	-0.18924886678890881	-0.17394450742728804	0	5013539at2759	0.0080040162663432	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.06309342477076971	0.01206647333707945	0.11421603752371395	2000	0	0.05437061478355216	0.07279388940437308	0	5013259at2759	0.00970046463360337	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.23553750926849396	-0.30988354365719456	-0.1639568779743542	2000	0	-0.25370838559237396	-0.22367397840571407	0	649304at2759	0.01817087632388001	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	interaction	0.05194711981597528	-0.04794129602119275	0.15350836963558773	2000	0	0.035523415007531256	0.07736266035427888	0	649304at2759	0.025415540538303603	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.06394190186475522	0.012528576170438229	0.11425093655042863	2000	0	0.055316647131005134	0.07365011865641669	0	5013259at2759	0.009708216791661464	0.6055116717605261	0.2663334771396619
3di_af__gamma__tien2013__composition_adjusted	3di_af	gamma	tien2013	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.20408292190557842	-0.25598871183599964	-0.15776092633598027	2000	0	-0.21195917522277247	-0.19626885495083723	0	5000452at2759	0.007876253317194049	0.6055116717605261	0.2663334771396619
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16250964587256933	0.1319097804630648	0.19523898753492303	2000	0	0.15519161966694364	0.16613319578411687	0	649304at2759	0.007318026205625688	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.17230263380744865	-0.23646282916367162	-0.1069122398970089	2000	0	-0.19115500788680723	-0.16001283332743632	0	649304at2759	0.01885237407935858	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	interaction	0.03684468178725093	-0.051267519726046845	0.12766611843303705	2000	0	0.020036928190348993	0.059031154852955355	0	649304at2759	0.022186473065704426	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16477148949318518	0.13537861355621983	0.195291127138162	2000	0	0.15881545992135843	0.1681685475618749	0	649304at2759	0.005956029571826754	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__coverage_confidence	3di_af	gamma	miller1987	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.14999274894296571	-0.19397124936636945	-0.10954618678638699	2000	0	-0.15642124423795425	-0.14325697765325193	0	5013539at2759	0.006735771289713782	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.060433731100840174	0.008885707962895374	0.11248751880154917	2000	0	0.05149598208416376	0.07009185940452314	0	5013259at2759	0.00965812830368297	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.20086108291260724	-0.26446152388759386	-0.1397847770918328	2000	0	-0.2164161508623409	-0.1904602255951419	0	649304at2759	0.015555067949733659	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	interaction	0.0471913889225081	-0.03874489961422034	0.1355060813857986	2000	0	0.033388959511882074	0.06882422324518345	0	649304at2759	0.02163283432267535	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.06333074463996405	0.01225879093035408	0.11382132558328949	2000	0	0.054710137638727625	0.0730243144209278	0	5013259at2759	0.009693569780963751	0.6055116717605261	0.31138860510931327
3di_af__gamma__miller1987__composition_adjusted	3di_af	gamma	miller1987	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.17228614611343818	-0.2174558242378834	-0.13240173544907438	2000	0	-0.17910328882241275	-0.1659202045297978	0	5000452at2759	0.006817142708974572	0.6055116717605261	0.31138860510931327
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16759257042691075	0.13698898618556293	0.20203707138380023	2000	0	0.1602038740521038	0.1714910325962236	0	649304at2759	0.007388696374806963	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.20642067002164485	-0.289156811473988	-0.12525585492575883	2000	0	-0.2285723566485308	-0.19198653663916557	0	649304at2759	0.022151686626885936	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	interaction	0.019548351631479763	-0.08785104314975052	0.1260528795633988	2000	0	-0.00017566771300669298	0.04688121846039531	1	649304at2759	0.027332866828915545	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.1679118629814016	0.13763193757796843	0.2011018333028036	2000	0	0.16096960736210614	0.17176444936382254	0	649304at2759	0.0069422556192954565	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__coverage_confidence	3di_af	freerate	tien2013	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.19435755436870505	-0.2518745593119873	-0.14287653795047237	2000	0	-0.20259737831301974	-0.1856362270920402	0	529759at2759	0.008721327276664859	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.06668985578413456	0.017595053580306292	0.11533329952903333	2000	0	0.05813121099504347	0.07450795374211006	0	4970387at2759	0.008558644789091088	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.2434580536622828	-0.32752147923962827	-0.16659583321217433	2000	0	-0.2624235699287754	-0.22749199582055446	0	649304at2759	0.01896551626649262	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	interaction	0.03755149718409873	-0.0703443194441967	0.14169641277580222	2000	0	0.02109703635378856	0.06425226258337344	0	649304at2759	0.026700765399274705	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.06730320230495111	0.01825160185039705	0.115714068674243	2000	0	0.058840643932018544	0.07507589915896234	0	4970387at2759	0.008462558372932569	0.6170911942014549	0.2663334771396619
3di_af__freerate__tien2013__composition_adjusted	3di_af	freerate	tien2013	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.22028535542089472	-0.27949797938166715	-0.1684635235704456	2000	0	-0.22906111607237556	-0.2114714095440487	0	529759at2759	0.00881394587684603	0.6170911942014549	0.2663334771396619
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate_at_RSA_0.25	0.16523658935576396	0.13341923443328202	0.20195618909884247	2000	0	0.15700081813238861	0.16947906180042227	0	649304at2759	0.008235771223375349	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_at_aa_log1p_rate_0	-0.1753505683550434	-0.24720221534681755	-0.10416540065618901	2000	0	-0.19484767790783375	-0.16251242593785178	0	649304at2759	0.019497109552790354	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	interaction	0.024542451476137307	-0.06691135414259246	0.11600392168002857	2000	0	0.007988592810580133	0.04786995793773183	0	649304at2759	0.02332750646159452	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	aa_log1p_rate_at_observed_mean_RSA	0.16674321621784705	0.13658595518687638	0.20032827708644227	2000	0	0.15993948807682748	0.17070990240324785	0	649304at2759	0.006803728141019566	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__coverage_confidence	3di_af	freerate	miller1987	coverage_confidence	rsa_at_observed_mean_aa_log1p_rate	-0.16020563766500256	-0.20933923885882116	-0.11623064082748619	2000	0	-0.16745811409679942	-0.1530497231060769	0	5000452at2759	0.007252476431796856	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate_at_RSA_0.25	0.06409705465116725	0.01314160583071921	0.11418346227356561	2000	0	0.05531040263706967	0.07198008281181707	0	4970387at2759	0.008786652014097576	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_at_aa_log1p_rate_0	-0.20985943851368724	-0.2806098000144737	-0.14393937058217876	2000	0	-0.22594647441527912	-0.1960599529461448	0	649304at2759	0.016087035901591884	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	interaction	0.03780193985295073	-0.05442934444267889	0.12679075902839182	2000	0	0.02394852920724494	0.06034017459584877	0	649304at2759	0.02253823474289804	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	aa_log1p_rate_at_observed_mean_RSA	0.06641766300916604	0.017356432461438545	0.11506827541557348	2000	0	0.05795069158246331	0.07417250511183153	0	4970387at2759	0.008466971426702732	0.6170911942014549	0.31138860510931327
3di_af__freerate__miller1987__composition_adjusted	3di_af	freerate	miller1987	composition_adjusted	rsa_at_observed_mean_aa_log1p_rate	-0.18653219430669832	-0.23778435109145496	-0.14174339790232374	2000	0	-0.19413996577139836	-0.17922167475217515	0	5000452at2759	0.007607771464700042	0.6170911942014549	0.31138860510931327
